Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;11,017,907;6,025,914;4,970,697;21,296;4,971,183;6,001,246;45,478
Age ;;;;;;;
    18 - 24;1,465,782;839,515;626,267;-;727,551;738,231;-
    25 - 39;3,016,390;1,850,544;1,158,853;6,993;1,543,030;1,466,367;6,993
    40 - 54;2,751,640;1,718,038;1,022,086;11,515;1,464,579;1,275,106;11,954
    55 - 64;1,666,766;930,385;735,473;908;691,174;974,683;908
    65 and above;2,117,329;687,432;1,428,018;1,879;544,848;1,546,859;25,622
Sex ;;;;;;;
    Male;5,795,837;3,145,483;2,641,632;8,722;2,678,667;3,101,299;15,870
    Female;5,222,070;2,880,431;2,329,065;12,574;2,292,515;2,899,947;29,608
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);4,347,578;2,850,347;1,490,238;6,993;2,510,850;1,829,296;7,432
    White alone, not Hispanic;3,648,054;1,735,197;1,902,126;10,731;1,324,124;2,312,255;11,675
    Black alone, not Hispanic;582,755;269,361;312,485;908;220,082;344,600;18,072
    Asian alone, not Hispanic;1,936,751;943,129;990,958;2,663;752,441;1,182,852;1,458
    Two or more races + Other races, not Hispanic;502,769;227,880;274,889;-;163,686;332,244;6,840
Education ;;;;;;;
    Less than high school;1,992,073;1,089,169;902,904;-;1,204,120;787,953;-
    High school or GED;2,020,951;1,057,051;956,907;6,993;901,460;1,105,658;13,833
    Some college/associate’s degree;3,430,494;2,227,899;1,195,245;7,350;1,626,510;1,779,471;24,514
    Bachelor’s degree or higher;3,574,389;1,651,795;1,915,640;6,953;1,239,093;2,328,164;7,131
Marital status ;;;;;;;
    Married;5,023,503;2,728,096;2,295,408;-;2,080,116;2,936,108;7,279
    Widowed;392,255;166,181;224,869;1,205;191,506;200,114;636
    Divorced/separated;1,421,980;898,659;522,647;674;822,561;598,745;674
    Never married;4,141,328;2,219,581;1,921,748;-;1,863,602;2,260,253;17,473
    Did not report;38,840;13,397;6,026;19,417;13,397;6,026;19,417
Presence of children under 18 years old ;;;;;;;
    Children in household;4,223,515;2,561,408;1,661,198;908;2,070,376;2,152,230;908
    No children;6,794,392;3,464,506;3,309,499;20,387;2,900,807;3,849,016;44,569
Health status ;;;;;;;
    Excellent;1,995,340;803,217;1,192,123;-;639,731;1,355,608;-
    Very good;3,454,491;1,986,890;1,467,600;-;1,540,478;1,906,425;7,588
    Good;2,685,132;1,636,789;1,047,669;674;1,443,775;1,240,682;674
    Fair;1,027,896;614,898;411,792;1,205;534,336;492,925;636
    Poor;253,158;107,132;146,026;-;137,258;115,900;-
    Did not report;1,601,891;876,987;705,487;19,417;675,604;889,706;36,581
Household income ;;;;;;;
    Less than $25,000;1,243,545;817,999;425,546;-;795,919;440,151;7,475
    $25,000 - $34,999;1,001,177;676,944;324,233;-;752,596;248,581;-
    $35,000 - $49,999;937,502;645,690;291,812;-;457,899;479,602;-
    $50,000 - $74,999;1,379,272;820,199;558,399;674;744,614;633,545;1,113
    $75,000 - $99,999;1,335,223;787,389;547,834;-;576,133;759,090;-
    $100,000 - $149,999;1,212,224;571,507;640,717;-;423,557;788,358;309
    $150,000 - $199,999;655,631;266,172;389,459;-;190,361;465,270;-
    $200,000 and above;909,703;326,576;583,127;-;155,465;754,239;-
    Did not report;2,343,630;1,113,438;1,209,570;20,622;874,637;1,432,412;36,581
