Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;183,387;136,307;47,081;-;79,442;103,945;-
    25 - 39;1,002,045;549,578;452,468;-;455,322;546,290;433
    40 - 54;820,960;425,739;390,119;5,102;376,193;439,170;5,597
    55 - 64;526,962;251,342;273,922;1,698;199,676;324,215;3,071
    65 and above;769,373;160,763;603,374;5,235;119,289;643,385;6,699
Sex ;;;;;;;
    Male;1,614,146;755,843;857,314;989;623,992;987,950;2,203
    Female;1,688,581;767,886;909,649;11,046;605,930;1,069,055;13,596
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);378,921;218,664;158,754;1,503;189,950;187,468;1,503
    White alone, not Hispanic;2,563,559;1,144,902;1,408,785;9,873;851,769;1,698,153;13,637
    Black alone, not Hispanic;52,216;16,965;35,251;-;31,209;21,007;-
    Asian alone, not Hispanic;117,091;60,288;56,143;660;59,914;56,517;660
    Two or more races + Other races, not Hispanic;190,940;82,910;108,030;-;97,080;93,860;-
Education ;;;;;;;
    Less than high school;103,003;60,679;42,324;-;52,888;50,115;-
    High school or GED;986,982;541,935;436,621;8,426;372,316;606,239;8,426
    Some college/associate’s degree;1,167,882;539,399;625,991;2,492;504,684;660,212;2,987
    Bachelor’s degree or higher;1,044,860;381,715;662,028;1,118;300,033;740,440;4,387
Marital status ;;;;;;;
    Married;1,774,829;779,918;993,409;1,503;606,520;1,165,592;2,717
    Widowed;165,870;53,877;111,993;-;40,013;125,113;744
    Divorced/separated;499,692;217,268;282,425;-;174,906;323,415;1,372
    Never married;844,233;470,836;372,939;457;408,483;434,859;891
    Did not report;18,102;1,830;6,197;10,076;-;8,027;10,076
Presence of children under 18 years old ;;;;;;;
    Children in household;1,097,410;613,607;483,803;-;471,522;625,888;-
    No children;2,205,317;910,121;1,283,160;12,036;758,400;1,431,117;15,800
Health status ;;;;;;;
    Excellent;506,583;180,475;326,108;-;163,521;342,343;720
    Very good;1,044,285;451,369;592,916;-;363,620;678,548;2,116
    Good;1,070,047;606,622;463,425;-;450,871;618,742;433
    Fair;371,232;137,692;232,038;1,503;133,809;235,426;1,997
    Poor;88,679;54,142;34,538;-;58,437;30,243;-
    Did not report;221,902;93,430;117,939;10,533;59,665;151,704;10,533
Household income ;;;;;;;
    Less than $25,000;428,046;231,648;196,398;-;209,277;218,769;-
    $25,000 - $34,999;296,348;152,106;144,242;-;130,706;165,642;-
    $35,000 - $49,999;315,932;197,825;116,605;1,503;159,343;154,159;2,431
    $50,000 - $74,999;690,276;347,118;343,158;-;265,202;425,074;-
    $75,000 - $99,999;497,632;217,340;280,292;-;174,429;321,086;2,116
    $100,000 - $149,999;424,396;158,624;265,772;-;113,022;310,655;720
    $150,000 - $199,999;153,845;40,887;112,957;-;50,223;103,622;-
    $200,000 and above;172,320;50,535;121,785;-;42,070;130,250;-
    Did not report;323,932;127,645;185,754;10,533;85,650;227,749;10,533
