Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;4,260,691;2,579,535;1,675,054;6,102;1,924,276;2,323,850;12,566
Age ;;;;;;;
    18 - 24;363,066;217,919;145,147;-;174,970;188,095;-
    25 - 39;1,180,493;752,498;427,994;-;506,641;673,851;-
    40 - 54;1,021,389;698,724;321,819;846;493,415;527,128;846
    55 - 64;748,414;369,324;374,633;4,457;299,690;444,267;4,457
    65 and above;947,330;541,070;405,461;799;449,560;490,508;7,262
Sex ;;;;;;;
    Male;2,391,226;1,414,013;973,023;4,190;1,180,166;1,207,130;3,930
    Female;1,869,466;1,165,522;702,031;1,912;744,110;1,116,720;8,636
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,899,471;1,399,823;495,977;3,670;1,036,456;859,344;3,670
    White alone, not Hispanic;1,325,048;569,894;753,510;1,645;415,001;906,746;3,301
    Black alone, not Hispanic;425,364;172,055;253,309;-;145,141;280,223;-
    Asian alone, not Hispanic;353,822;276,202;76,833;787;212,077;136,151;5,595
    Two or more races + Other races, not Hispanic;256,986;161,561;95,425;-;115,601;141,386;-
Education ;;;;;;;
    Less than high school;1,062,675;884,991;174,014;3,670;747,702;311,302;3,670
    High school or GED;936,498;486,727;449,771;-;369,346;567,152;-
    Some college/associate’s degree;1,339,342;728,735;609,814;793;497,682;834,143;7,517
    Bachelor’s degree or higher;922,176;479,083;441,455;1,639;309,545;611,252;1,379
Marital status ;;;;;;;
    Married;2,263,650;1,309,241;954,150;260;1,015,230;1,243,613;4,807
    Widowed;165,159;108,624;56,536;-;98,641;64,602;1,916
    Divorced/separated;634,938;365,069;269,591;279;248,411;386,248;279
    Never married;1,182,693;795,226;387,467;-;560,357;622,336;-
    Did not report;14,251;1,376;7,311;5,563;1,636;7,051;5,563
Presence of children under 18 years old ;;;;;;;
    Children in household;1,713,337;1,173,957;538,952;428;905,575;807,334;428
    No children;2,547,355;1,405,578;1,136,103;5,674;1,018,701;1,516,516;12,138
Health status ;;;;;;;
    Excellent;607,122;303,678;303,445;-;259,754;347,369;-
    Very good;914,852;478,159;436,433;260;292,790;622,062;-
    Good;1,031,305;675,487;355,818;-;472,441;556,947;1,916
    Fair;484,384;223,420;260,964;-;195,208;289,176;-
    Poor;204,172;128,983;75,189;-;106,444;97,727;-
    Did not report;1,018,856;769,808;243,206;5,842;597,638;410,569;10,649
Household income ;;;;;;;
    Less than $25,000;543,772;330,086;213,686;-;291,176;252,596;-
    $25,000 - $34,999;450,284;339,697;110,587;-;284,317;165,967;-
    $35,000 - $49,999;308,407;158,552;149,856;-;120,187;186,304;1,916
    $50,000 - $74,999;443,701;277,988;165,453;260;210,653;233,048;-
    $75,000 - $99,999;516,438;296,940;219,498;-;177,531;338,907;-
    $100,000 - $149,999;421,332;217,467;203,865;-;118,218;303,114;-
    $150,000 - $199,999;285,485;77,736;207,748;-;40,546;244,939;-
    $200,000 and above;111,653;22,101;89,552;-;13,237;98,417;-
    Did not report;1,179,619;858,969;314,808;5,842;668,412;500,558;10,649
