Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;217,312;139,361;77,951;-;68,650;148,663;-
    25 - 39;1,142,779;589,035;540,804;12,940;504,155;637,701;924
    40 - 54;748,442;386,330;362,112;-;325,765;422,368;309
    55 - 64;485,146;252,022;228,973;4,151;234,615;245,615;4,915
    65 and above;601,476;133,613;465,278;2,586;107,981;491,764;1,732
Sex ;;;;;;;
    Male;1,691,241;802,534;874,036;14,672;642,837;1,046,602;1,802
    Female;1,503,914;697,828;801,082;5,005;598,328;899,508;6,079
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);310,774;188,915;120,553;1,305;194,661;114,807;1,305
    White alone, not Hispanic;2,066,512;900,051;1,163,442;3,019;694,032;1,369,240;3,240
    Black alone, not Hispanic;122,958;52,273;70,685;-;55,926;67,032;-
    Asian alone, not Hispanic;408,763;176,161;217,250;15,352;189,352;216,075;3,336
    Two or more races + Other races, not Hispanic;286,148;182,961;103,187;-;107,193;178,955;-
Education ;;;;;;;
    Less than high school;139,213;95,865;43,348;-;102,536;36,678;-
    High school or GED;833,058;423,652;409,407;-;321,078;511,980;-
    Some college/associate’s degree;984,127;540,332;430,403;13,391;448,916;533,071;2,140
    Bachelor’s degree or higher;1,238,757;440,513;791,959;6,285;368,635;864,381;5,741
Marital status ;;;;;;;
    Married;1,756,336;746,060;1,010,276;-;629,236;1,126,791;309
    Widowed;73,879;17,818;56,061;-;19,184;54,695;-
    Divorced/separated;474,441;261,485;212,956;-;232,318;241,358;765
    Never married;865,220;458,862;394,342;12,016;349,722;515,498;-
    Did not report;25,279;16,137;1,481;7,660;10,705;7,768;6,806
Presence of children under 18 years old ;;;;;;;
    Children in household;1,033,524;531,245;502,279;-;414,888;618,327;309
    No children;2,161,632;969,117;1,172,838;19,676;826,277;1,327,783;7,571
Health status ;;;;;;;
    Excellent;772,593;357,320;403,257;12,016;268,211;504,383;-
    Very good;1,137,240;497,145;640,095;-;424,614;712,317;309
    Good;818,613;402,935;414,825;854;351,852;465,996;765
    Fair;203,980;109,814;94,166;-;109,513;94,467;-
    Poor;53,549;15,802;37,747;-;15,937;37,612;-
    Did not report;209,180;117,346;85,027;6,806;71,038;131,336;6,806
Household income ;;;;;;;
    Less than $25,000;242,124;137,124;105,001;-;120,923;120,437;765
    $25,000 - $34,999;187,347;90,433;96,914;-;73,849;113,498;-
    $35,000 - $49,999;317,232;208,739;107,640;854;144,394;172,838;-
    $50,000 - $74,999;532,785;246,259;274,509;12,016;230,330;302,454;-
    $75,000 - $99,999;356,963;179,651;177,312;-;186,630;170,332;-
    $100,000 - $149,999;571,498;219,733;351,765;-;204,131;367,366;-
    $150,000 - $199,999;277,596;138,820;138,777;-;74,300;203,296;-
    $200,000 and above;409,244;123,441;285,803;-;92,910;316,024;309
    Did not report;300,367;156,163;137,397;6,806;113,697;179,863;6,806
