Standard Error Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;103,467;102,474;88,292;5,559;86,062;104,144;27,402
Age ;;;;;;;
    18 - 24;64,833;78,640;30,551;-;17,078;64,655;-
    25 - 39;80,265;61,298;56,560;5,028;46,815;65,094;27,730
    40 - 54;50,310;44,470;43,645;577;43,017;45,581;669
    55 - 64;58,070;46,930;43,107;-;44,027;40,342;-
    65 and above;45,777;19,178;39,646;1,094;18,802;40,951;1,094
Sex ;;;;;;;
    Male;80,415;91,495;78,525;5,620;77,829;90,846;27,453
    Female;82,265;58,010;58,429;613;51,333;68,719;747
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);52,568;53,971;40,234;-;24,357;45,009;27,725
    White alone, not Hispanic;88,444;82,896;79,889;784;65,284;94,186;953
    Black alone, not Hispanic;30,988;27,224;12,416;-;20,756;23,236;-
    Asian alone, not Hispanic;52,246;40,490;38,539;5,110;34,871;39,299;874
    Two or more races + Other races, not Hispanic;36,384;33,674;17,433;-;33,039;19,967;-
Education ;;;;;;;
    Less than high school;38,090;17,426;34,669;-;9,254;37,903;-
    High school or GED;80,102;76,651;66,739;-;65,816;83,815;27,725
    Some college/associate’s degree;58,244;49,737;48,769;1,020;43,716;58,416;1,020
    Bachelor’s degree or higher;46,178;43,624;50,641;5,462;27,945;49,061;888
Marital status ;;;;;;;
    Married;88,449;71,851;61,628;5,028;62,213;79,504;-
    Widowed;35,212;9,949;33,469;-;6,468;34,023;-
    Divorced/separated;36,204;28,291;21,708;-;25,771;26,059;207
    Never married;77,321;86,814;49,801;164;53,142;79,083;27,730
    Did not report;6,204;-;6,023;1,271;-;6,023;1,271
Presence of children under 18 years old ;;;;;;;
    Children in household;74,607;58,026;43,099;5,028;50,858;63,615;207
    No children;104,524;100,007;82,271;1,236;59,454;100,813;27,448
Health status ;;;;;;;
    Excellent;60,959;41,228;56,256;5,028;31,154;56,825;-
    Very good;91,786;64,927;65,007;-;58,792;74,308;535
    Good;93,887;108,513;52,904;-;51,587;91,116;27,725
    Fair;48,190;44,286;20,973;-;39,972;26,258;-
    Poor;17,143;7,419;15,742;164;14,483;8,504;-
    Did not report;46,824;31,100;26,334;1,271;10,136;42,575;1,271
Household income ;;;;;;;
    Less than $25,000;42,788;28,109;24,060;-;28,505;24,568;-
    $25,000 - $34,999;78,531;79,183;12,847;-;15,709;78,409;495
    $35,000 - $49,999;52,810;47,628;32,798;-;37,331;45,381;-
    $50,000 - $74,999;61,916;42,580;44,843;-;34,587;51,855;-
    $75,000 - $99,999;64,966;53,852;32,054;-;40,478;46,666;-
    $100,000 - $149,999;59,465;48,539;37,579;-;47,159;47,770;207
    $150,000 - $199,999;66,020;15,327;63,493;4,972;15,509;53,320;27,725
    $200,000 and above;36,065;14,378;35,445;-;13,478;35,421;-
    Did not report;51,980;36,454;28,301;1,271;12,736;46,850;1,271
