Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;1,029,156;17,324;474,671;-;8,506;22,018;23,908;482,728;-
    25 - 39;3,954,314;220,551;1,784,654;200,268;231,930;31,692;12,215;1,440,449;32,555
    40 - 54;2,779,769;256,442;727,508;188,712;227,811;25,638;3,330;1,320,777;29,550
    55 - 64;1,419,674;125,250;372,977;51,144;207,402;106,572;3,140;553,189;-
    65 and above;1,882,262;220,669;227,084;27,316;184,449;28,284;-;1,187,772;6,687
Sex ;;;;;;;;;
    Male;5,398,279;323,618;2,042,985;152,769;602,388;46,987;23,908;2,171,102;34,521
    Female;5,666,896;516,618;1,543,910;314,671;257,710;167,217;18,685;2,813,814;34,271
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);4,613,885;352,204;1,734,986;177,567;247,821;15,384;36,123;2,022,188;27,613
    White alone, not Hispanic;3,167,384;206,763;868,427;130,043;419,966;140,387;6,471;1,395,327;-
    Black alone, not Hispanic;726,822;124,146;161,271;40,752;37,752;276;-;362,625;-
    Asian alone, not Hispanic;2,169,546;118,386;677,223;112,374;134,384;44,497;-;1,041,504;41,179
    Two or more races + Other races, not Hispanic;387,538;38,738;144,988;6,705;20,175;13,660;-;163,272;-
Education ;;;;;;;;;
    Less than high school;1,737,083;206,006;435,448;-;312,259;82,999;-;700,371;-
    High school or GED;2,546,780;99,750;676,008;67,126;165,697;9,612;-;1,528,587;-
    Some college/associate’s degree;3,258,468;172,755;1,004,962;89,647;163,836;67,650;42,594;1,659,139;57,886
    Bachelor’s degree or higher;3,522,844;361,726;1,470,478;310,667;218,305;53,943;-;1,096,819;10,906
Marital status ;;;;;;;;;
    Married;5,397,694;511,731;1,666,878;260,767;606,460;171,694;15,545;2,123,411;41,208
    Widowed;241,479;4,872;58,163;-;-;7,795;-;170,649;-
    Divorced/separated;1,562,231;59,412;453,280;54,024;74,004;15,835;3,140;902,535;-
    Never married;3,726,145;260,192;1,389,361;152,649;175,236;18,880;23,908;1,705,918;-
    Did not report;137,626;4,028;19,212;-;4,398;-;-;82,404;27,584
Presence of children under 18 years old ;;;;;;;;;
    Children in household;4,860,133;245,251;1,738,538;239,210;396,543;32,309;39,454;2,168,829;-
    No children;6,205,042;594,985;1,848,357;228,230;463,555;181,895;3,140;2,816,087;68,792
Health status ;;;;;;;;;
    Excellent;2,085,348;127,915;846,966;143,641;262,780;24,966;23,908;655,171;-
    Very good;3,195,877;241,640;1,281,619;164,067;138,266;47,627;15,355;1,300,615;6,687
    Good;3,339,654;146,803;1,063,709;126,384;311,770;105,226;3,330;1,582,432;-
    Fair;1,298,563;251,718;115,002;16,815;44,918;23,633;-;840,041;6,436
    Poor;263,041;9,335;33,395;16,533;68,920;-;-;134,859;-
    Did not report;882,692;62,827;246,204;-;33,444;12,752;-;471,797;55,668
Household income ;;;;;;;;;
    Less than $25,000;1,686,160;301,422;267,620;16,077;149,675;-;3,140;941,790;6,436
    $25,000 - $34,999;1,132,012;48,329;312,017;36,335;20,984;4,886;-;709,461;-
    $35,000 - $49,999;1,145,986;5,475;395,862;45,631;272,370;3,077;-;423,571;-
    $50,000 - $74,999;1,745,387;134,795;546,375;79,620;69,803;119,303;12,215;783,276;-
    $75,000 - $99,999;1,216,401;71,496;563,780;82,064;28,775;30,340;-;439,945;-
    $100,000 - $149,999;1,209,891;95,636;406,656;104,036;68,530;1,666;27,239;506,127;-
    $150,000 - $199,999;797,591;62,328;357,972;49,229;36,424;1,671;-;289,967;-
    $200,000 and above;873,691;50,281;401,921;49,905;180,092;40,509;-;150,983;-
    Did not report;1,258,057;70,475;334,691;4,544;33,444;12,752;-;739,796;62,356
