Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;11,090,032;640,907;3,420,548;622,452;675,044;273,181;99,680;5,303,140;55,080
Age ;;;;;;;;;
    18 - 24;589,556;20,847;108,849;-;212,073;70,924;-;176,863;-
    25 - 39;3,980,255;115,937;1,556,278;357,044;182,007;18,252;27,711;1,723,026;-
    40 - 54;2,940,455;369,674;866,244;120,212;115,837;166,074;71,969;1,230,445;-
    55 - 64;1,808,734;90,132;778,440;19,465;30,729;-;-;877,634;12,334
    65 and above;1,771,032;44,317;110,737;125,731;134,399;17,931;-;1,295,171;42,746
Sex ;;;;;;;;;
    Male;5,404,322;343,651;1,751,397;226,973;465,481;28,708;48,351;2,538,102;1,658
    Female;5,685,709;297,256;1,669,151;395,479;209,563;244,473;51,329;2,765,037;53,422
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);4,737,770;216,489;1,560,473;219,685;51,701;144,708;70,249;2,474,467;-
    White alone, not Hispanic;3,416,493;260,340;993,724;170,988;327,873;45,658;23,878;1,568,768;25,264
    Black alone, not Hispanic;634,572;44,114;295,864;125,480;44,220;-;-;120,840;4,055
    Asian alone, not Hispanic;2,028,289;119,965;426,706;83,338;188,321;82,815;1,506;1,099,875;25,762
    Two or more races + Other races, not Hispanic;272,907;-;143,780;22,961;62,929;-;4,048;39,190;-
Education ;;;;;;;;;
    Less than high school;1,617,931;-;287,962;-;-;187,482;66,416;1,076,070;-
    High school or GED;3,018,652;142,904;885,523;189,736;190,350;-;-;1,598,866;11,272
    Some college/associate’s degree;3,130,642;189,676;1,094,158;63,286;323,497;15,627;4,048;1,428,017;12,334
    Bachelor’s degree or higher;3,322,807;308,326;1,152,905;369,429;161,198;70,072;29,217;1,200,186;31,474
Marital status ;;;;;;;;;
    Married;5,041,411;288,807;1,653,805;188,922;202,719;171,778;27,925;2,477,638;29,816
    Widowed;353,079;7,008;7,441;-;51,793;11,044;-;275,793;-
    Divorced/separated;1,468,289;83,908;329,012;172,433;21,928;19,435;18,064;823,509;-
    Never married;4,187,620;261,184;1,430,290;255,431;389,901;70,924;53,690;1,726,200;-
    Did not report;39,633;-;-;5,666;8,704;-;-;-;25,264
Presence of children under 18 years old ;;;;;;;;;
    Children in household;3,927,395;186,012;1,277,664;225,673;353,083;206,681;66,416;1,607,812;4,055
    No children;7,162,636;454,895;2,142,884;396,779;321,961;66,500;33,264;3,695,328;51,025
Health status ;;;;;;;;;
    Excellent;1,734,566;106,699;554,236;210,777;82,700;144,013;-;636,141;-
    Very good;2,519,299;176,471;806,104;169,498;95,303;113,269;72,229;1,082,370;4,055
    Good;3,583,252;185,777;1,513,525;78,872;383,750;8,592;23,618;1,389,118;-
    Fair;2,118,665;35,910;330,526;71,665;82,683;-;-;1,572,119;25,762
    Poor;213,268;6,017;53,655;2,953;1,719;-;-;148,923;-
    Did not report;920,982;130,034;162,501;88,686;28,889;7,307;3,833;474,468;25,264
Household income ;;;;;;;;;
    Less than $25,000;1,493,942;90,438;397,729;24,374;37,015;-;-;944,387;-
    $25,000 - $34,999;1,080,775;13,008;150,013;158,373;90,184;2,688;48,351;618,158;-
    $35,000 - $49,999;1,520,728;26,902;295,125;61,284;245,509;-;18,064;873,844;-
    $50,000 - $74,999;1,611,295;44,624;849,602;29,351;53,429;5,907;-;628,383;-
    $75,000 - $99,999;1,707,220;127,990;470,804;40,811;63,135;15,564;-;963,155;25,762
    $100,000 - $149,999;1,023,747;90,899;396,859;52,633;22,754;25,461;4,048;431,092;-
    $150,000 - $199,999;528,194;78,038;229,518;80,062;4,930;4,856;23,878;102,857;4,055
    $200,000 and above;834,192;36,423;419,111;54,026;118,735;8,288;1,506;196,102;-
    Did not report;1,289,939;132,585;211,786;121,538;39,353;210,417;3,833;545,163;25,264
