Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,284,848;257,272;1,254,888;193,895;193,815;35,154;44,258;1,278,298;27,268
Age ;;;;;;;;;
    18 - 24;308,446;31,002;129,315;42,296;8,709;5,735;-;90,510;881
    25 - 39;1,176,876;105,041;536,217;95,141;62,938;10,528;5,326;357,915;3,771
    40 - 54;807,457;70,234;360,198;27,502;81,489;4,158;37,803;225,637;436
    55 - 64;495,533;38,162;185,569;21,917;25,506;12,545;1,128;206,194;4,513
    65 and above;496,535;12,834;43,589;7,040;15,174;2,189;-;398,042;17,666
Sex ;;;;;;;;;
    Male;1,777,449;135,298;764,662;85,572;116,791;20,607;5,505;634,301;14,713
    Female;1,507,399;121,974;490,226;108,324;77,024;14,547;38,753;643,997;12,555
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);369,894;37,988;164,365;4,110;58,285;3,846;-;98,410;2,891
    White alone, not Hispanic;2,109,528;178,960;860,448;130,690;99,283;25,207;9,806;783,205;21,930
    Black alone, not Hispanic;170,150;6,802;75,694;19,615;10,035;-;3,981;54,023;-
    Asian alone, not Hispanic;299,992;10,662;112,600;22,280;20,164;6,101;2,093;124,526;1,567
    Two or more races + Other races, not Hispanic;335,283;22,861;41,781;17,201;6,049;-;28,378;218,134;881
Education ;;;;;;;;;
    Less than high school;249,776;-;82,146;1,614;6,080;2,658;-;157,279;-
    High school or GED;789,987;32,964;232,220;20,038;42,822;8,626;32,358;411,560;9,399
    Some college/associate’s degree;984,385;71,390;387,959;32,413;74,237;9,248;6,865;398,507;3,765
    Bachelor’s degree or higher;1,260,699;152,918;552,562;139,830;70,676;14,622;5,034;310,953;14,103
Marital status ;;;;;;;;;
    Married;1,580,019;121,240;592,573;77,456;128,701;22,455;33,797;594,647;9,149
    Widowed;95,548;1,750;24,338;378;1,297;488;-;67,297;-
    Divorced/separated;415,773;37,592;137,693;23,475;19,970;-;-;197,043;-
    Never married;1,173,027;96,690;499,364;92,586;43,847;11,242;10,461;418,837;-
    Did not report;20,482;-;920;-;-;969;-;475;18,118
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,022,540;88,908;474,956;52,084;64,072;11,889;10,277;319,279;1,075
    No children;2,262,308;168,364;779,932;141,812;129,744;23,265;33,980;959,020;26,192
Health status ;;;;;;;;;
    Excellent;695,452;42,087;369,356;37,628;54,281;14,625;4,778;172,011;686
    Very good;1,128,654;117,461;424,627;58,253;75,475;9,817;32,847;410,174;-
    Good;797,393;62,600;297,797;68,271;32,433;2,251;-;324,696;9,344
    Fair;214,735;21,574;94,648;12,478;7,407;2,139;4,529;71,961;-
    Poor;180,216;430;7,921;9,686;1,183;-;-;160,997;-
    Did not report;268,397;13,121;60,538;7,580;23,036;6,322;2,104;138,459;17,238
Household income ;;;;;;;;;
    Less than $25,000;318,849;2,130;67,291;2,004;18,720;-;-;228,704;-
    $25,000 - $34,999;231,253;32,911;83,911;5,081;1,002;661;-;107,688;-
    $35,000 - $49,999;286,899;5,333;53,747;58,627;53,439;735;3,981;111,038;-
    $50,000 - $74,999;434,402;33,876;147,070;13,463;31,595;366;28,925;170,644;8,463
    $75,000 - $99,999;337,610;28,347;131,164;22,192;11,280;4,474;-;140,153;-
    $100,000 - $149,999;593,855;76,630;287,385;34,164;15,025;2,059;278;177,627;686
    $150,000 - $199,999;356,335;34,374;176,326;24,099;13,629;11,900;1,847;94,160;-
    $200,000 and above;336,358;25,500;194,855;26,156;23,456;1,478;7,122;57,790;-
    Did not report;389,285;18,171;113,138;8,109;25,670;13,481;2,104;190,494;18,118
