Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Oregon;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;1,550,084;27,495;69,046;498,562;428,820;177,346;187,621;161,195
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;95,223;-;1,118;40,078;43,897;1,476;5,088;3,566
    I did not work because I am/was sick with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;1,871;-;-;-;-;-;-;1,871
    I did not work because I am/was caring for children not in school or daycare;65,561;559;1,272;18,339;27,565;4,963;10,001;2,861
    I did not work because I am/was caring for an elderly person;18,367;-;3,866;10,581;1,349;795;-;1,777
    I am/was sick (not coronavirus related) or disabled;71,432;-;9,267;12,616;31,707;9,615;3,448;4,778
    I am retired;555,369;14,804;8,450;172,860;122,181;69,952;74,492;92,629
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);219,033;1,535;13,701;45,968;70,020;35,354;31,742;20,713
    I am/was laid off due to coronavirus pandemic;182,779;-;9,932;86,210;47,584;7,536;20,399;11,117
    My employment closed temporarily due to the coronavirus pandemic;146,001;8,052;3,401;41,532;41,836;26,595;19,422;5,163
    My employment went out of business due to the coronavirus pandemic;32,105;-;-;16,428;9,896;4,268;993;520
    Other reason;153,771;2,544;18,039;51,518;31,068;16,327;22,036;12,238
    Did not report reason;8,571;-;-;2,430;1,716;464;-;3,961
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;15,234;-;-;-;3,531;8,157;1,809;1,737
    Yes, I received full pay but do not have to take leave;57,792;-;-;30,954;17,076;915;4,348;4,499
    Yes, I received partial pay;58,348;-;-;23,240;15,514;6,092;9,340;4,162
    No, I received no pay;1,363,966;27,495;69,046;433,218;374,321;149,046;167,608;143,232
    Did not report;54,745;-;-;11,149;18,378;13,136;4,515;7,566
