Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;57,497;1,881;16,798;24,062;10,997;3,141;539;77
    I did not work because I am/was sick with coronavirus symptoms;9,867;-;-;1,088;7,611;953;216;-
    I did not work because I am/was caring for someone with coronavirus symptoms;1,189;-;-;-;964;-;-;226
    I did not work because I am/was caring for children not in school or daycare;146,128;-;6,384;27,793;78,466;20,111;8,132;5,242
    I did not work because I am/was caring for an elderly person;28,175;-;7,109;1,802;11,912;6,275;499;578
    I am/was sick (not coronavirus related) or disabled;62,306;9,465;-;11,531;21,341;17,005;1,382;1,581
    I am retired;551,198;78,949;16,406;142,925;137,618;27,629;40,373;107,299
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);254,934;3,763;43,849;46,444;85,972;16,639;31,021;27,246
    I am/was laid off due to coronavirus pandemic;296,465;8,490;37,632;132,199;83,981;23,977;7,749;2,436
    My employment closed temporarily due to the coronavirus pandemic;465,762;16,936;68,462;146,428;126,424;30,012;56,741;20,758
    My employment went out of business due to the coronavirus pandemic;29,574;5,866;-;8,391;7,373;2,060;3,408;2,475
    Other reason;155,994;15,420;30,781;53,621;33,412;9,552;6,567;6,641
    Did not report reason;20,587;3,408;12,588;1,193;869;-;2,529;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;58,165;-;6,994;-;49,807;382;710;271
    Yes, I received full pay but do not have to take leave;64,911;3,408;2,562;5,742;24,973;16,698;5,359;6,170
    Yes, I received partial pay;182,293;11,217;67,290;42,583;25,619;25,116;4,414;6,054
    No, I received no pay;1,715,875;125,716;146,253;539,474;490,377;113,651;144,800;155,604
    Did not report;58,433;3,838;16,911;9,680;16,164;1,507;3,873;6,460
