Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;60,866;-;-;16,863;18,705;-;11,972;13,326
    I did not work because I am/was sick with coronavirus symptoms;4,131;-;-;-;-;-;4,131;-
    I did not work because I am/was caring for someone with coronavirus symptoms;-;-;-;-;-;-;-;-
    I did not work because I am/was caring for children not in school or daycare;46,592;2,634;8,711;4,361;9,793;5,291;11,272;4,530
    I did not work because I am/was caring for an elderly person;31,796;-;-;27,125;1,355;3,317;-;-
    I am/was sick (not coronavirus related) or disabled;28,352;-;-;11,553;3,941;11,628;1,229;-
    I am retired;358,536;-;-;38,739;63,734;35,629;105,876;114,558
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);295,239;-;12,989;50,794;81,245;84,339;48,225;17,646
    I am/was laid off due to coronavirus pandemic;107,051;18,237;3,941;42,671;9,903;6,020;17,726;8,553
    My employment closed temporarily due to the coronavirus pandemic;190,088;-;-;30,928;37,896;45,834;27,324;48,106
    My employment went out of business due to the coronavirus pandemic;21,331;-;-;7,566;5,911;2,483;2,337;3,033
    Other reason;169,635;-;33,292;9,258;48,176;3,950;43,252;31,707
    Did not report reason;22,801;-;-;18,109;-;-;4,692;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;7,629;-;-;-;-;-;5,105;2,524
    Yes, I received full pay but do not have to take leave;69,130;-;-;-;38,890;12,278;13,332;4,630
    Yes, I received partial pay;66,378;-;3,558;3,336;21,279;2,847;11,606;23,752
    No, I received no pay;1,133,889;20,871;55,374;232,137;208,312;176,210;236,603;204,381
    Did not report;59,392;-;-;22,494;12,177;7,156;11,391;6,173
