Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;
Age ;;;;;;
    18 - 29;760,768;1,498,053;270,018;726,651;1,532,170;270,018
    30 - 39;768,044;1,530,339;156,248;564,007;1,734,376;156,248
    40 - 49;693,070;912,144;178,480;565,072;1,040,142;178,480
    50 - 59;669,307;1,025,396;185,627;496,574;1,198,129;185,627
    60 - 69;612,533;640,730;101,579;481,779;771,484;101,579
    70 - 79;222,905;363,743;47,636;213,998;373,950;46,336
    80 and above;40,401;375,129;13,025;44,396;378,145;6,013
Sex ;;;;;;
    Male;1,830,713;3,194,943;372,622;1,261,795;3,770,874;365,610
    Female;1,936,314;3,150,591;579,991;1,830,682;3,257,524;578,691
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);1,396,245;2,713,099;504,541;1,237,983;2,878,373;497,529
    White alone, not Hispanic;1,244,847;1,733,221;189,316;1,013,545;1,965,823;188,016
    Black alone, not Hispanic;325,180;307,068;94,573;188,254;443,994;94,573
    Asian alone, not Hispanic;610,144;1,403,677;155,725;467,233;1,546,588;155,725
    Two or more races + Other races, not Hispanic;190,611;188,470;8,458;185,462;193,618;8,458
Education ;;;;;;
    Less than high school;420,489;1,188,985;127,610;344,329;1,265,145;127,610
    High school or GED;862,249;1,386,176;298,355;818,093;1,430,332;298,355
    Some college/associate’s degree;1,020,224;1,917,329;320,914;887,567;2,056,999;313,902
    Bachelor’s degree or higher;1,464,066;1,853,045;205,734;1,042,489;2,275,921;204,433
Marital status ;;;;;;
    Married;1,825,196;3,145,930;426,567;1,606,089;3,372,050;419,555
    Widowed;111,258;100,418;29,804;59,003;153,973;28,503
    Divorced/separated;548,904;852,447;160,880;431,903;969,448;160,880
    Never married;1,219,124;2,204,976;302,045;957,104;2,466,996;302,045
    Did not report;62,546;41,763;33,317;38,379;65,931;33,317
Presence of children under 18 years old ;;;;;;
    Children in household;1,651,835;2,763,962;444,336;1,359,633;3,056,164;444,336
    No children;2,115,192;3,581,572;508,277;1,732,844;3,972,233;499,965
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;2,272,596;3,569,856;586,292;1,872,212;3,970,240;586,292
    No;1,493,132;2,766,573;310,653;1,220,265;3,047,753;302,340
    Did not report;1,300;9,105;55,668;-;10,405;55,668
Respondent currently employed ;;;;;;
    Yes;2,184,344;3,462,850;364,273;1,601,721;4,045,473;364,273
    No;1,582,683;2,869,561;532,672;1,484,320;2,976,237;524,359
    Did not report;-;13,123;55,668;6,436;6,687;55,668
Household income ;;;;;;
    Less than $25,000;491,255;1,194,906;-;437,190;1,248,970;-
    $25,000 - $34,999;357,164;767,836;7,012;357,213;774,799;-
    $35,000 - $49,999;583,148;562,838;-;462,840;683,147;-
    $50,000 - $74,999;483,730;1,261,656;-;492,375;1,253,012;-
    $75,000 - $99,999;425,072;790,028;1,300;333,119;883,281;-
    $100,000 - $149,999;608,313;601,577;-;487,298;722,592;-
    $150,000 - $199,999;346,727;450,864;-;264,573;533,018;-
    $200,000 and above;324,214;549,477;-;208,630;665,061;-
    Did not report;147,403;166,353;944,301;49,238;264,518;944,301
