Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Oregon;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,355,255;1,524,389;423,083;1,026,541;1,885,053;391,133
Age ;;;;;;
    18 - 29;200,028;265,605;157,659;112,688;352,945;157,659
    30 - 39;285,622;259,550;36,554;221,518;326,077;34,132
    40 - 49;264,392;247,070;16,895;201,696;309,766;16,895
    50 - 59;198,262;240,288;71,514;171,399;266,986;71,679
    60 - 69;221,553;257,981;90,529;205,263;303,560;61,240
    70 - 79;141,037;231,886;47,348;95,071;278,255;46,945
    80 and above;44,361;22,009;2,584;18,905;47,465;2,584
Sex ;;;;;;
    Male;595,800;788,985;229,361;452,248;953,887;208,011
    Female;759,455;735,403;193,722;574,292;931,166;183,122
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);126,024;227,829;25,068;102,632;251,581;24,708
    White alone, not Hispanic;1,121,225;1,120,374;321,961;825,853;1,435,890;301,816
    Black alone, not Hispanic;19,092;24,381;11,419;18,355;25,345;11,192
    Asian alone, not Hispanic;28,381;59,738;10,154;28,454;59,803;10,017
    Two or more races + Other races, not Hispanic;60,534;92,066;54,481;51,248;112,434;43,400
Education ;;;;;;
    Less than high school;41,341;117,357;26,532;24,128;134,570;26,532
    High school or GED;283,298;440,556;181,106;236,181;515,482;153,297
    Some college/associate’s degree;548,244;491,617;127,754;435,153;608,506;123,956
    Bachelor’s degree or higher;482,373;474,859;87,691;331,078;626,496;87,348
Marital status ;;;;;;
    Married;740,401;808,398;120,725;570,727;981,490;117,307
    Widowed;47,388;63,446;13,483;28,589;90,392;5,336
    Divorced/separated;237,508;261,861;69,474;214,982;304,049;49,813
    Never married;328,015;388,205;208,217;209,518;507,065;207,853
    Did not report;1,944;2,478;11,183;2,724;2,057;10,824
Presence of children under 18 years old ;;;;;;
    Children in household;434,378;449,724;213,759;337,654;556,879;203,327
    No children;920,878;1,074,665;209,324;688,886;1,328,174;187,806
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;818,907;633,898;218,643;645,271;817,298;208,880
    No;534,530;890,491;195,018;379,379;1,067,755;172,903
    Did not report;1,818;-;9,422;1,890;-;9,350
Respondent currently employed ;;;;;;
    Yes;750,609;798,099;192,041;544,094;1,012,804;183,850
    No;602,174;726,290;221,620;479,901;872,249;197,934
    Did not report;2,473;-;9,422;2,545;-;9,350
Household income ;;;;;;
    Less than $25,000;202,731;188,416;2,365;151,012;242,500;-
    $25,000 - $34,999;173,526;154,275;425;141,629;186,597;-
    $35,000 - $49,999;169,625;253,344;227;134,430;288,766;-
    $50,000 - $74,999;220,611;224,207;28,675;163,849;308,594;1,049
    $75,000 - $99,999;160,922;210,607;1,595;120,047;253,077;-
    $100,000 - $149,999;235,076;216,638;-;182,054;269,660;-
    $150,000 - $199,999;89,721;94,826;-;52,801;131,746;-
    $200,000 and above;68,434;95,506;-;50,822;113,119;-
    Did not report;34,608;86,570;389,797;29,897;90,993;390,084
