Standard Error Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;131,134;222,878;109,615;128,519;230,952;109,582
Age ;;;;;;
    18 - 29;39,244;155,394;77,969;46,516;153,190;77,969
    30 - 39;50,949;99,563;45,574;52,162;100,434;45,574
    40 - 49;59,747;87,085;22,158;66,276;91,611;21,906
    50 - 59;43,055;104,375;24,104;71,236;104,730;24,104
    60 - 69;79,918;40,552;47,236;76,997;42,410;47,236
    70 - 79;17,304;33,125;15,844;15,153;33,662;15,844
    80 and above;65,801;15,216;1,893;63,585;29,616;1,893
Sex ;;;;;;
    Male;106,716;217,596;88,254;93,572;222,497;88,254
    Female;96,909;105,035;58,815;109,104;98,334;58,855
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);112,201;185,764;96,454;108,197;190,638;96,454
    White alone, not Hispanic;81,851;130,296;41,297;84,554;127,542;41,367
    Black alone, not Hispanic;38,269;55,273;15,040;36,889;55,448;15,040
    Asian alone, not Hispanic;24,176;45,659;27,736;24,162;46,768;27,736
    Two or more races + Other races, not Hispanic;41,119;30,984;23,266;21,144;58,034;23,266
Education ;;;;;;
    Less than high school;53,341;119,327;57,382;94,584;102,748;57,382
    High school or GED;102,279;188,186;74,083;98,108;198,667;74,083
    Some college/associate’s degree;56,874;52,270;42,305;51,394;55,243;42,305
    Bachelor’s degree or higher;45,935;63,326;10,042;37,619;66,388;10,008
Marital status ;;;;;;
    Married;117,295;132,040;46,699;99,861;149,998;46,561
    Widowed;68,018;31,275;1,699;74,886;25,204;1,699
    Divorced/separated;54,390;84,497;15,828;56,638;88,478;15,828
    Never married;38,153;166,216;102,130;59,514;160,292;102,130
    Did not report;-;15,241;9,114;1,637;15,144;9,114
Presence of children under 18 years old ;;;;;;
    Children in household;96,668;145,073;87,385;105,360;153,981;87,329
    No children;101,738;175,341;67,780;104,417;171,779;67,780
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;121,269;172,072;88,344;126,744;170,407;88,279
    No;85,454;137,815;55,693;104,846;138,785;55,693
    Did not report;-;1,058;7,580;-;1,058;7,580
Respondent currently employed ;;;;;;
    Yes;92,709;180,497;52,655;74,609;181,126;52,655
    No;106,562;164,141;92,926;113,999;169,322;92,913
    Did not report;-;1,058;8,454;-;1,058;8,454
Household income ;;;;;;
    Less than $25,000;48,723;83,237;-;71,903;61,525;-
    $25,000 - $34,999;58,938;118,957;-;59,259;121,365;-
    $35,000 - $49,999;39,089;110,796;3,075;43,544;110,583;3,075
    $50,000 - $74,999;69,557;85,770;-;74,387;88,539;-
    $75,000 - $99,999;47,452;52,694;-;37,619;65,549;-
    $100,000 - $149,999;31,051;31,483;-;27,923;32,327;-
    $150,000 - $199,999;27,445;24,087;-;21,295;24,483;-
    $200,000 and above;14,981;52,822;748;14,813;52,830;-
    Did not report;65,212;83,609;109,527;65,204;84,021;109,527
