Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;2,737,043;3,653,327;1,307,216;1,518,940;1,295,779;3,607,991;3,051,716;1,345,594;1,231,654;1,275,350
Age ;;;;;;;;;;
    18 - 29;262,572;392,754;442,219;407,568;465,811;436,492;395,561;411,726;283,369;443,776
    30 - 39;468,660;715,381;255,000;225,744;214,170;682,670;553,489;224,602;201,771;216,424
    40 - 49;448,213;770,894;274,461;216,558;123,300;656,726;645,414;258,408;149,154;123,724
    50 - 59;523,298;744,040;163,139;132,158;78,814;697,267;597,244;115,748;152,376;78,814
    60 - 69;552,113;543,413;149,101;186,644;152,621;530,066;513,569;290,466;98,241;151,549
    70 - 79;346,076;432,538;20,686;74,387;245,535;460,249;297,870;42,239;73,328;245,535
    80 and above;136,111;54,307;2,610;275,881;15,528;144,521;48,568;2,406;273,414;15,528
Sex ;;;;;;;;;;
    Male;1,518,618;1,750,240;715,042;507,047;603,854;2,018,636;1,338,002;844,941;311,315;581,908
    Female;1,218,424;1,903,086;592,174;1,011,893;691,925;1,589,355;1,713,714;500,654;920,339;693,441
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,018,093;1,543,975;678,985;736,157;392,463;1,261,589;1,260,086;871,112;586,253;390,634
    White alone, not Hispanic;877,873;1,142,300;315,482;425,559;527,408;1,359,312;898,180;222,054;302,857;506,220
    Black alone, not Hispanic;162,757;218,738;99,100;94,483;46,562;258,090;168,886;71,767;76,335;46,562
    Asian alone, not Hispanic;487,829;592,923;169,303;153,237;287,844;570,568;533,442;132,634;164,060;290,433
    Two or more races + Other races, not Hispanic;190,492;155,390;44,346;109,504;41,501;158,431;191,123;48,027;102,150;41,501
Education ;;;;;;;;;;
    Less than high school;431,190;536,696;261,361;468,997;237,926;497,467;508,882;297,239;394,656;237,926
    High school or GED;566,948;857,346;127,765;125,233;313,990;681,118;718,315;188,081;89,779;313,990
    Some college/associate’s degree;713,026;848,654;571,500;562,788;484,299;915,661;775,412;523,654;503,278;462,264
    Bachelor’s degree or higher;1,025,878;1,410,631;346,590;361,921;259,563;1,513,745;1,049,107;336,622;243,941;261,169
Marital status ;;;;;;;;;;
    Married;1,572,783;2,032,177;341,607;587,519;494,340;2,068,359;1,554,675;569,120;343,338;492,934
    Widowed;265,069;49,603;51,155;344,557;55,722;287,447;70,294;16,093;336,549;55,722
    Divorced/separated;241,439;447,113;242,312;93,648;106,463;287,806;425,326;218,640;91,984;107,220
    Never married;657,752;1,110,465;671,006;492,482;595,843;960,978;989,951;541,008;459,549;576,062
    Did not report;-;13,968;1,136;733;43,412;3,401;11,470;733;233;43,412
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;727,395;1,655,885;444,821;511,997;565,857;1,241,172;1,311,851;375,032;413,873;564,027
    No children;2,009,647;1,997,442;862,396;1,006,943;729,922;2,366,819;1,739,865;970,563;817,781;711,322
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,307,759;2,308,776;1,006,345;1,194,506;824,058;1,874,896;2,026,495;938,120;998,728;803,206
    No;1,426,564;1,344,551;300,871;324,434;444,277;1,730,375;1,025,221;407,474;232,926;444,701
    Did not report;2,720;-;-;-;27,443;2,720;-;-;-;27,443
Respondent currently employed ;;;;;;;;;;
    Yes;1,374,992;1,737,106;427,376;782,830;653,656;1,915,920;1,319,105;535,140;570,740;635,056
    No;1,360,801;1,914,764;879,840;736,110;611,179;1,690,821;1,732,611;810,455;659,457;609,350
    Did not report;1,250;1,457;-;-;30,944;1,250;-;-;1,457;30,944
Household income ;;;;;;;;;;
    Less than $25,000;414,986;363,483;500,117;444,591;-;544,569;268,043;529,813;379,995;757
    $25,000 - $34,999;262,720;435,970;181,291;217,346;22,035;363,442;471,466;116,704;167,417;334
    $35,000 - $49,999;285,002;448,109;142,356;89,269;-;305,680;437,704;136,535;84,816;-
    $50,000 - $74,999;258,908;635,481;90,084;179,476;-;409,091;498,740;70,822;183,042;2,254
    $75,000 - $99,999;403,458;363,928;174,662;168,589;-;401,793;414,137;189,983;104,723;-
    $100,000 - $149,999;439,353;588,202;80,343;162,427;-;633,476;443,004;50,715;143,130;-
    $150,000 - $199,999;205,092;273,756;58,731;74,292;-;313,021;185,178;82,415;31,167;89
    $200,000 and above;335,579;408,959;51,509;79,162;-;485,869;185,270;135,255;68,816;-
    Did not report;131,944;135,437;28,124;103,788;1,273,744;151,050;148,173;33,352;68,547;1,271,915
