Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,049,595;970,686;335,654;571,174;375,618;1,445,126;735,818;350,989;395,468;375,325
Age ;;;;;;;;;;
    18 - 29;79,233;151,261;48,686;188,085;123,060;147,820;98,208;121,186;100,052;123,060
    30 - 39;160,950;211,498;87,635;143,628;52,922;249,660;158,214;75,674;120,548;52,537
    40 - 49;154,507;215,654;73,008;51,955;48,043;258,240;145,094;46,058;45,731;48,043
    50 - 59;178,321;134,737;50,015;53,828;63,622;210,830;124,236;46,680;34,352;64,424
    60 - 69;225,550;176,391;40,644;86,861;63,923;307,846;114,132;40,715;67,464;63,213
    70 - 79;194,525;67,645;20,335;45,845;22,096;210,820;74,242;15,966;27,322;22,096
    80 and above;56,509;13,501;15,330;971;1,953;59,909;21,693;4,710;-;1,953
Sex ;;;;;;;;;;
    Male;593,821;488,019;149,264;156,662;226,381;842,550;306,336;137,066;101,195;226,998
    Female;455,775;482,667;186,391;414,511;149,237;602,576;429,482;213,923;294,274;148,327
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);153,178;90,961;25,627;89,801;19,353;190,886;66,955;57,673;44,054;19,353
    White alone, not Hispanic;805,191;757,460;282,129;430,937;287,842;1,104,326;597,681;265,349;309,457;286,746
    Black alone, not Hispanic;15,422;12,258;5,718;4,603;13,929;14,537;12,036;6,757;3,869;14,731
    Asian alone, not Hispanic;28,270;70,094;6,402;15,956;32,633;73,582;28,972;1,294;16,874;32,633
    Two or more races + Other races, not Hispanic;47,534;39,912;15,779;29,877;21,862;61,796;30,175;19,917;21,214;21,862
Education ;;;;;;;;;;
    Less than high school;34,983;86,796;11,333;36,632;8,346;87,740;44,451;7,226;30,327;8,346
    High school or GED;296,340;229,408;116,728;122,354;147,557;373,690;201,770;120,012;69,357;147,557
    Some college/associate’s degree;325,033;338,598;117,011;256,689;130,390;455,391;236,756;150,307;195,447;129,820
    Bachelor’s degree or higher;393,239;315,884;90,583;155,499;89,325;528,306;252,842;73,444;100,337;89,602
Marital status ;;;;;;;;;;
    Married;688,977;539,256;178,355;194,707;183,311;905,657;421,463;136,199;136,392;184,895
    Widowed;49,521;32,054;12,451;7,561;2,870;61,214;31,016;5,580;4,162;2,485
    Divorced/separated;157,428;136,189;47,944;99,436;54,360;204,288;101,666;62,689;72,355;54,360
    Never married;153,116;257,946;95,882;267,531;126,088;271,219;177,135;145,926;180,194;126,088
    Did not report;553;5,242;1,023;1,938;8,989;2,748;4,539;595;2,365;7,497
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;345,259;376,942;98,018;194,257;147,013;515,126;271,776;123,891;104,068;146,628
    No children;704,336;593,744;237,636;376,916;228,605;930,000;464,043;227,098;291,400;228,697
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;328,138;501,711;189,017;396,003;147,868;550,346;362,809;222,224;278,291;149,068
    No;721,457;468,975;146,637;175,171;220,001;893,288;373,009;128,766;117,177;220,001
    Did not report;-;-;-;-;7,749;1,492;-;-;-;6,256
Respondent currently employed ;;;;;;;;;;
    Yes;470,281;603,380;194,536;250,553;224,995;753,793;422,737;165,574;175,844;225,797
    No;578,700;366,692;141,118;319,278;144,252;689,227;312,467;185,415;218,282;144,648
    Did not report;614;614;-;1,343;6,372;2,106;614;-;1,343;4,879
Household income ;;;;;;;;;;
    Less than $25,000;56,691;111,782;53,160;210,375;911;87,755;114,899;92,736;137,529;-
    $25,000 - $34,999;184,719;85,874;43,234;72,862;-;192,474;82,762;53,051;57,095;1,307
    $35,000 - $49,999;111,349;105,461;52,131;51,306;-;127,632;84,149;65,971;42,495;-
    $50,000 - $74,999;176,934;149,148;47,935;92,373;-;237,293;94,666;64,440;69,990;-
    $75,000 - $99,999;150,980;197,639;37,258;56,829;-;281,935;98,037;31,797;30,938;-
    $100,000 - $149,999;170,547;123,306;58,278;54,872;-;247,214;93,422;23,712;42,655;-
    $150,000 - $199,999;124,470;49,470;11,824;16,418;-;149,562;35,286;7,262;10,073;-
    $200,000 and above;37,489;83,950;14,509;7,116;-;64,895;73,005;3,071;2,093;-
    Did not report;36,415;64,054;17,325;9,022;374,707;56,366;59,592;8,949;2,600;374,018
