Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,123,802;1,261,846;401,624;451,996;1,021,423;1,328,897;1,152,661;333,471;423,703;1,021,960
Age ;;;;;;;;;;
    18 - 29;139,474;194,921;36,900;79,330;256,643;207,600;138,849;63,994;40,182;256,643
    30 - 39;199,574;295,745;124,179;133,369;83,423;240,569;237,824;97,939;176,534;83,423
    40 - 49;306,336;202,389;32,885;83,745;75,260;332,121;187,274;30,096;75,865;75,260
    50 - 59;185,715;220,441;74,396;78,576;101,209;195,444;237,518;55,461;70,432;101,483
    60 - 69;117,203;265,411;72,705;53,873;134,522;140,108;272,757;49,844;44,136;136,868
    70 - 79;131,578;71,297;57,375;17,204;364,036;168,879;65,463;29,473;15,721;361,953
    80 and above;43,922;11,642;3,183;5,899;6,329;44,176;12,975;6,664;831;6,329
Sex ;;;;;;;;;;
    Male;722,157;581,123;173,759;227,717;686,469;841,602;489,906;149,972;223,003;686,743
    Female;401,645;680,723;227,864;224,279;334,954;487,295;662,755;183,498;200,700;335,217
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);302,844;650,449;151,683;187,893;606,602;332,781;682,235;128,361;149,492;606,602
    White alone, not Hispanic;436,422;430,786;140,915;124,802;192,123;547,440;326,103;121,382;140,084;190,040
    Black alone, not Hispanic;230,220;68,202;35,668;11,223;80,051;234,427;73,426;26,239;11,777;79,497
    Asian alone, not Hispanic;75,657;64,512;37,944;48,961;126,749;80,192;44,931;40,501;58,274;129,923
    Two or more races + Other races, not Hispanic;78,659;47,897;35,414;79,118;15,899;134,057;25,967;16,988;64,076;15,899
Education ;;;;;;;;;;
    Less than high school;148,173;312,683;46,454;101,783;453,581;134,598;368,656;28,128;77,711;453,581
    High school or GED;227,062;297,529;161,484;72,733;177,691;294,936;222,793;141,068;97,110;180,591
    Some college/associate’s degree;387,877;415,317;121,984;207,293;206,872;482,733;347,464;107,165;197,746;204,234
    Bachelor’s degree or higher;360,689;236,318;71,701;70,188;183,279;416,629;213,748;57,110;51,135;183,553
Marital status ;;;;;;;;;;
    Married;721,635;628,419;173,534;137,328;602,735;813,929;610,014;119,141;117,558;603,009
    Widowed;61,011;41,117;21,806;6,009;35,217;54,187;46,196;5,095;21,560;38,121
    Divorced/separated;135,084;164,253;100,224;150,143;85,235;147,168;204,039;86,976;114,162;82,593
    Never married;205,416;427,482;106,061;151,793;291,941;312,958;291,837;116,490;169,467;291,941
    Did not report;655;575;-;6,724;6,295;655;575;5,769;956;6,295
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;457,237;570,457;165,917;216,674;303,051;514,100;514,806;175,308;206,352;302,770
    No children;666,565;691,389;235,707;235,322;718,373;814,797;637,855;158,163;217,351;719,189
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;449,498;750,427;275,377;331,231;773,003;544,655;713,910;217,854;333,035;770,082
    No;674,045;511,420;126,247;120,765;242,578;783,982;438,751;115,617;90,668;246,036
    Did not report;260;-;-;-;5,842;260;-;-;-;5,842
Respondent currently employed ;;;;;;;;;;
    Yes;672,577;643,146;159,826;190,806;565,050;785,801;555,306;125,976;199,271;565,050
    No;451,225;618,700;241,798;261,190;441,479;543,096;597,355;207,495;224,431;442,015
    Did not report;-;-;-;-;14,895;-;-;-;-;14,895
Household income ;;;;;;;;;;
    Less than $25,000;90,677;257,884;84,085;111,126;-;117,881;250,015;104,567;68,408;2,900
    $25,000 - $34,999;170,835;147,813;71,953;59,683;-;165,531;134,683;56,007;94,063;-
    $35,000 - $49,999;60,768;146,290;41,706;59,643;-;80,363;155,651;16,219;56,175;-
    $50,000 - $74,999;144,648;146,826;51,353;100,875;-;169,580;128,777;43,434;101,910;-
    $75,000 - $99,999;120,847;307,006;63,403;24,628;554;150,381;289,075;52,951;23,757;274
    $100,000 - $149,999;210,132;139,494;33,235;38,470;-;268,494;101,521;13,630;37,688;-
    $150,000 - $199,999;176,800;49,570;27,549;28,925;2,641;200,764;50,649;9,518;24,554;-
    $200,000 and above;83,238;17,963;2,383;8,070;-;94,756;8,390;3,527;4,979;-
    Did not report;65,858;49,001;25,956;20,577;1,018,228;81,147;33,900;33,617;12,169;1,018,786
