Health Table 2a. Symptoms of Anxiety Experienced in the Last 7 days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of feeling nervous, anxious, or on edge;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying;Frequency of not being able to stop or control worrying
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;132,128;203,596;78,916;111,100;57,151;222,495;159,044;66,410;77,791;57,151
    30 - 39;169,872;288,912;136,185;153,055;29,176;276,713;285,173;75,254;110,885;29,176
    40 - 49;155,708;159,500;76,388;88,398;22,788;225,217;139,595;60,774;54,906;22,292
    50 - 59;162,174;167,302;84,543;44,821;43,159;220,406;144,797;49,406;43,841;43,548
    60 - 69;155,762;151,300;56,478;43,157;34,814;201,034;139,366;37,818;28,479;34,814
    70 - 79;185,572;79,416;22,717;22,874;21,566;214,578;66,284;10,752;21,357;19,174
    80 and above;27,715;17,436;5,183;4,082;2,210;29,749;19,320;1,898;3,449;2,210
Sex ;;;;;;;;;;
    Male;667,607;538,249;230,950;160,205;94,230;898,398;456,538;105,168;137,555;93,582
    Female;321,325;529,213;229,460;307,282;116,634;491,794;497,041;197,144;203,153;114,783
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);88,907;83,286;81,896;38,385;18,299;119,972;107,298;37,236;27,970;18,299
    White alone, not Hispanic;636,395;680,224;268,837;336,882;144,174;963,799;539,875;197,336;222,084;143,419
    Black alone, not Hispanic;26,977;39,699;24,010;21,972;10,299;33,755;43,193;12,224;23,487;10,299
    Asian alone, not Hispanic;126,142;189,460;33,982;37,133;22,047;153,612;178,744;21,883;34,222;20,303
    Two or more races + Other races, not Hispanic;110,511;74,793;51,684;33,115;16,046;119,054;84,470;33,633;32,945;16,046
Education ;;;;;;;;;;
    Less than high school;27,513;34,325;51,655;20,590;5,131;57,385;41,476;16,313;18,909;5,131
    High school or GED;318,500;231,007;120,068;91,897;71,586;348,593;240,019;90,819;82,042;71,586
    Some college/associate’s degree;251,478;361,531;133,727;170,952;66,439;381,512;306,457;109,171;120,159;66,828
    Bachelor’s degree or higher;391,440;440,599;154,960;184,049;67,709;602,702;365,627;86,009;119,597;64,821
Marital status ;;;;;;;;;;
    Married;648,840;604,436;234,704;166,052;102,304;897,066;515,813;140,539;102,357;100,560
    Widowed;37,294;22,832;2,382;10,402;969;39,456;17,886;8,305;7,264;969
    Divorced/separated;114,186;159,690;106,452;69,827;24,285;166,200;165,755;45,904;72,556;24,026
    Never married;184,500;272,839;116,872;218,983;72,026;283,360;246,460;107,563;156,307;71,530
    Did not report;4,111;7,665;-;2,223;11,280;4,111;7,665;-;2,223;11,280
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;310,797;367,911;159,862;147,452;47,502;396,478;369,449;116,937;103,158;47,502
    No children;678,135;699,551;300,548;320,035;163,363;993,714;584,130;185,374;237,550;160,864
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;355,416;484,743;304,891;240,226;115,086;543,821;488,649;167,897;185,404;114,590
    No;632,662;570,703;155,519;227,262;88,972;845,517;452,914;134,414;155,303;86,969
    Did not report;854;12,016;-;-;6,806;854;12,016;-;-;6,806
Respondent currently employed ;;;;;;;;;;
    Yes;571,101;617,332;236,378;287,461;119,216;817,804;514,510;193,439;186,130;119,605
    No;417,830;450,130;224,033;180,026;84,237;572,388;439,069;108,872;154,577;81,349
    Did not report;-;-;-;-;7,411;-;-;-;-;7,411
Household income ;;;;;;;;;;
    Less than $25,000;77,539;75,466;56,009;33,110;-;84,102;83,389;50,174;24,460;-
    $25,000 - $34,999;43,488;66,623;32,822;44,414;-;47,322;68,390;22,507;48,738;389
    $35,000 - $49,999;97,729;114,047;62,642;42,814;-;127,090;103,432;32,788;53,923;-
    $50,000 - $74,999;194,341;152,254;117,442;68,251;496;255,265;172,524;56,242;48,753;-
    $75,000 - $99,999;123,556;103,783;47,879;79,831;1,913;162,946;114,283;24,513;53,957;1,265
    $100,000 - $149,999;217,254;202,750;65,571;85,923;-;294,964;179,953;47,721;48,860;-
    $150,000 - $199,999;73,987;137,645;30,317;35,647;-;159,758;72,188;22,034;23,615;-
    $200,000 and above;143,858;185,002;29,495;49,144;1,744;236,124;126,541;26,966;19,612;-
    Did not report;17,179;29,893;18,232;28,351;206,711;22,621;32,879;19,366;18,790;206,711
