Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Oregon;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not respond;Not at all;Several days;More than half the days;Nearly everyday;Did not respond
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 29;172,315;113,488;106,119;63,808;59,580;156,378;152,248;95,218;51,886;59,580
    30 - 39;204,217;306,022;84,619;43,550;31,714;228,997;301,912;47,939;58,850;32,424
    40 - 49;254,278;190,322;54,641;55,330;26,925;279,708;175,043;53,323;46,497;26,925
    50 - 59;229,113;159,978;33,669;37,549;50,318;224,811;167,047;33,875;34,576;50,318
    60 - 69;234,109;145,014;70,193;27,811;38,084;285,705;126,094;45,731;22,857;34,824
    70 - 79;180,277;73,262;17,206;37,384;16,768;184,034;77,292;16,111;30,692;16,768
    80 and above;87,282;75,911;7,250;3,054;11,564;120,541;52,936;-;1,527;10,058
Sex ;;;;;;;;;;
    Male;755,257;518,196;140,430;125,658;74,606;835,075;516,983;82,315;102,936;76,837
    Female;606,336;545,802;233,267;142,828;160,348;645,099;535,589;209,883;143,950;154,060
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);145,636;111,311;65,636;24,863;31,476;118,786;165,308;39,888;23,464;31,476
    White alone, not Hispanic;1,109,161;823,442;235,829;205,550;189,578;1,210,092;801,889;193,863;174,785;182,930
    Black alone, not Hispanic;16,079;6,083;24,370;3,886;1,799;16,228;5,298;22,414;3,886;4,390
    Asian alone, not Hispanic;31,671;42,033;20,118;16,757;6,513;40,967;32,654;18,165;18,793;6,513
    Two or more races + Other races, not Hispanic;59,046;81,129;27,744;17,431;5,589;94,102;47,423;17,867;25,959;5,589
Education ;;;;;;;;;;
    Less than high school;42,392;16,157;9,332;25,023;10,098;45,133;14,491;8,257;25,023;10,098
    High school or GED;462,818;285,017;74,022;55,601;109,524;523,254;253,659;66,429;39,705;103,935
    Some college/associate’s degree;391,151;386,496;200,647;128,827;60,761;439,287;387,191;155,474;122,577;63,353
    Bachelor’s degree or higher;465,232;376,328;89,696;59,035;54,569;472,501;397,231;62,038;59,580;53,511
Marital status ;;;;;;;;;;
    Married;863,078;545,355;137,833;118,992;109,570;955,855;505,466;89,525;117,673;106,310
    Widowed;61,049;62,178;13,461;19,403;9,779;66,899;62,795;16,142;12,122;7,912
    Divorced/separated;186,787;166,648;67,464;40,249;38,546;214,453;142,765;69,535;33,324;39,616
    Never married;248,594;286,084;153,109;89,842;66,604;237,151;339,716;116,997;83,766;66,604
    Did not report;2,085;3,732;1,830;-;10,455;5,817;1,830;-;-;10,455
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;441,911;334,185;177,481;57,510;86,323;496,660;318,916;122,226;72,575;87,033
    No children;919,682;729,813;196,216;210,976;148,631;983,515;733,656;169,972;174,311;143,864
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;500,147;511,217;247,690;165,318;99,356;570,667;538,889;175,060;141,248;97,865
    No;861,446;551,278;126,006;103,168;125,064;909,507;512,181;117,138;105,638;122,499
    Did not report;-;1,503;-;-;10,533;-;1,503;-;-;10,533
Respondent currently employed ;;;;;;;;;;
    Yes;723,585;591,041;199,643;127,643;112,626;782,889;579,082;173,839;108,651;110,076
    No;635,791;472,957;174,054;140,843;111,795;696,541;472,017;118,359;138,235;110,288
    Did not report;2,217;-;-;-;10,533;744;1,473;-;-;10,533
Household income ;;;;;;;;;;
    Less than $25,000;144,231;118,354;59,600;105,862;-;155,289;117,247;62,401;92,749;360
    $25,000 - $34,999;141,118;81,459;39,694;32,210;1,866;156,279;81,053;40,485;18,531;-
    $35,000 - $49,999;137,409;102,070;36,104;40,349;-;139,576;118,038;21,366;36,243;710
    $50,000 - $74,999;294,826;260,982;93,732;40,735;-;310,262;275,292;65,922;36,210;2,591
    $75,000 - $99,999;188,279;237,819;53,856;17,678;-;211,317;217,482;44,092;24,740;-
    $100,000 - $149,999;230,044;134,158;45,636;10,116;4,442;269,080;113,880;28,867;12,569;-
    $150,000 - $199,999;87,515;41,152;19,116;4,653;1,409;94,392;46,827;9,688;2,938;-
    $200,000 and above;76,842;68,385;11,065;16,027;-;84,133;58,056;8,081;22,050;-
    Did not report;61,327;19,620;14,893;856;227,236;59,846;24,697;11,297;856;227,236
