Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,315,388;1,151,037;457,309;315,271;1,021,686;1,374,595;1,192,543;380,649;291,218;1,021,686
Age ;;;;;;;;;;
    18 - 29;191,692;116,174;100,554;42,204;256,643;166,482;187,714;73,361;23,068;256,643
    30 - 39;276,774;240,032;108,749;127,312;83,423;301,329;177,855;173,332;100,351;83,423
    40 - 49;286,662;247,442;29,609;61,642;75,260;297,136;239,050;27,202;61,967;75,260
    50 - 59;225,402;217,912;66,243;49,572;101,209;285,309;186,181;33,267;54,372;101,209
    60 - 69;152,566;245,822;81,755;26,702;136,868;136,626;272,143;51,624;46,453;136,868
    70 - 79;159,988;76,569;37,578;5,403;361,953;140,209;120,786;16,415;2,129;361,953
    80 and above;22,304;7,086;32,820;2,436;6,329;47,505;8,814;5,449;2,878;6,329
Sex ;;;;;;;;;;
    Male;742,550;563,943;233,464;164,799;686,469;772,607;563,937;237,924;130,289;686,469
    Female;572,838;587,093;223,845;150,472;335,217;601,987;628,606;142,726;160,929;335,217
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);361,241;568,812;234,995;127,821;606,602;421,174;614,539;137,852;119,304;606,602
    White alone, not Hispanic;516,571;410,690;144,476;63,272;190,040;527,737;387,761;156,990;62,520;190,040
    Black alone, not Hispanic;241,595;52,394;21,504;30,375;79,497;245,364;77,379;14,496;8,628;79,497
    Asian alone, not Hispanic;85,841;85,375;32,499;20,458;129,649;87,816;61,176;36,803;38,377;129,649
    Two or more races + Other races, not Hispanic;110,141;33,767;23,835;73,345;15,899;92,503;51,688;34,509;62,387;15,899
Education ;;;;;;;;;;
    Less than high school;131,487;319,576;121,143;36,888;453,581;219,520;267,666;36,596;85,312;453,581
    High school or GED;279,714;279,849;136,810;59,534;180,591;262,861;294,669;149,235;49,142;180,591
    Some college/associate’s degree;460,956;348,181;158,992;166,979;204,234;461,674;423,741;125,416;124,277;204,234
    Bachelor’s degree or higher;443,231;203,431;40,364;51,871;183,279;430,540;206,467;69,403;32,487;183,279
Marital status ;;;;;;;;;;
    Married;839,694;555,210;174,558;91,453;602,735;869,479;610,128;118,246;63,062;602,735
    Widowed;27,662;48,157;45,355;5,865;38,121;49,874;50,770;3,760;22,635;38,121
    Divorced/separated;139,268;185,894;109,552;117,630;82,593;152,726;203,746;101,698;94,175;82,593
    Never married;306,893;361,460;122,075;100,324;291,941;296,352;327,064;156,945;110,390;291,941
    Did not report;1,871;316;5,769;-;6,295;6,164;835;-;956;6,295
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;489,486;550,558;227,162;143,634;302,496;529,831;542,207;212,345;126,458;302,496
    No children;825,903;600,478;230,147;171,637;719,189;844,764;650,337;168,304;164,760;719,189
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;550,538;761,022;282,581;215,585;769,808;594,164;717,050;280,693;217,820;769,808
    No;764,590;390,015;174,728;99,686;246,036;780,170;475,493;99,957;73,398;246,036
    Did not report;260;-;-;-;5,842;260;-;-;-;5,842
Respondent currently employed ;;;;;;;;;;
    Yes;817,205;532,372;179,852;136,926;565,050;824,992;564,786;172,624;103,953;565,050
    No;498,183;618,665;277,457;178,345;441,741;549,603;627,758;208,025;187,265;441,741
    Did not report;-;-;-;-;14,895;-;-;-;-;14,895
Household income ;;;;;;;;;;
    Less than $25,000;110,948;234,283;153,072;42,568;2,900;127,051;256,969;71,809;85,044;2,900
    $25,000 - $34,999;131,375;208,388;67,001;43,519;-;139,375;167,720;91,913;51,276;-
    $35,000 - $49,999;76,214;150,000;38,118;44,076;-;62,472;190,105;13,386;42,445;-
    $50,000 - $74,999;190,348;115,355;59,385;78,612;-;187,914;126,368;84,952;44,467;-
    $75,000 - $99,999;186,289;219,398;93,540;17,211;-;266,771;200,690;34,443;14,534;-
    $100,000 - $149,999;257,114;118,146;17,766;28,305;-;230,737;141,481;35,637;13,477;-
    $150,000 - $199,999;192,721;32,265;13,591;46,909;-;202,827;53,885;5,371;23,402;-
    $200,000 and above;89,956;18,288;-;3,409;-;85,276;13,178;7,825;5,375;-
    Did not report;80,423;54,914;14,836;10,661;1,018,786;72,172;42,149;35,313;11,200;1,018,786
