Health Table 2b. Symptoms of Depression Experienced in the Last 7 Days, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;;
Select characteristics;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…;Over the last seven days…
;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of having little interest or pleasure in doing things;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless;Frequency of feeling down, depressed, or hopeless
;Not at all;Several days;More than half the days;Nearly everyday;Did not report;Not at all;Several days;More than half the days;Nearly everyday;Did not report
;;;;;;;;;;
Total;1,348,221;1,011,242;349,438;249,567;366,306;1,374,732;1,008,364;308,191;265,963;367,525
Age ;;;;;;;;;;
    18 - 29;210,581;145,737;110,653;108,398;119,502;168,314;185,819;111,227;110,008;119,502
    30 - 39;352,997;266,423;83,199;51,880;63,356;302,372;328,565;62,693;59,846;64,379
    40 - 49;166,048;196,178;25,833;44,469;74,252;168,539;187,339;29,597;46,663;74,642
    50 - 59;195,351;219,482;45,801;23,589;58,704;276,595;141,895;32,593;33,139;58,704
    60 - 69;222,517;130,253;61,498;16,614;26,919;252,401;104,845;61,896;12,422;26,237
    70 - 79;157,760;46,855;20,967;4,441;21,538;159,943;56,187;10,185;3,708;21,538
    80 and above;42,968;6,314;1,488;176;2,034;46,566;3,715;-;176;2,522
Sex ;;;;;;;;;;
    Male;758,676;418,662;209,303;167,750;126,503;783,682;406,943;183,915;179,199;127,154
    Female;589,545;592,580;140,135;81,817;239,803;591,050;601,420;124,275;86,764;240,371
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);105,726;95,319;79,230;22,104;53,454;85,739;133,835;46,172;36,633;53,454
    White alone, not Hispanic;957,162;663,832;218,547;118,883;191,693;987,066;614,590;224,287;132,595;191,579
    Black alone, not Hispanic;73,107;33,902;11,074;7,461;48,503;89,585;26,885;8,668;406;48,503
    Asian alone, not Hispanic;134,995;148,761;30,370;15,881;59,371;142,662;160,560;11,298;14,153;60,704
    Two or more races + Other races, not Hispanic;77,232;69,428;10,217;85,239;13,285;69,681;72,493;17,765;82,177;13,285
Education ;;;;;;;;;;
    Less than high school;27,575;104,017;46,166;79,202;81,376;60,853;94,437;10,422;91,248;81,376
    High school or GED;299,609;283,111;67,795;51,548;90,502;306,740;252,733;89,344;53,246;90,502
    Some college/associate’s degree;359,113;219,612;145,725;81,691;120,231;368,582;237,023;111,142;89,589;120,037
    Bachelor’s degree or higher;661,925;404,501;89,753;37,126;74,196;638,558;424,171;97,282;31,880;75,609
Marital status ;;;;;;;;;;
    Married;799,634;516,456;141,268;69,966;116,002;843,448;504,050;120,243;57,859;117,726
    Widowed;72,073;17,965;3,020;1,670;8,121;77,397;9,615;3,620;3,606;8,609
    Divorced/separated;138,532;157,816;33,990;31,853;43,508;151,839;136,773;40,294;33,285;43,508
    Never married;336,207;317,499;159,324;146,078;192,256;298,124;346,645;143,126;171,212;192,256
    Did not report;1,776;1,506;11,836;-;6,419;3,923;11,281;907;-;5,427
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;427,813;328,528;94,419;74,937;137,553;436,574;350,777;86,959;50,996;137,944
    No children;920,408;682,714;255,019;174,631;228,752;938,158;657,587;221,232;214,967;229,582
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;496,668;478,740;223,465;175,254;149,373;550,588;446,758;186,107;191,356;148,691
    No;850,553;532,502;125,973;74,313;208,261;823,143;561,606;122,084;74,607;210,162
    Did not report;1,001;-;-;-;8,672;1,001;-;-;-;8,672
Respondent currently employed ;;;;;;;;;;
    Yes;808,856;583,604;180,029;111,467;144,781;846,454;599,327;149,813;86,950;146,194
    No;538,199;427,638;169,409;138,100;209,412;527,111;409,037;158,378;179,013;209,218
    Did not report;1,166;-;-;-;12,113;1,166;-;-;-;12,113
Household income ;;;;;;;;;;
    Less than $25,000;107,286;65,737;40,416;99,640;1,578;72,350;122,667;26,561;91,502;1,578
    $25,000 - $34,999;83,174;100,216;36,627;31,466;-;84,947;49,556;70,787;46,193;-
    $35,000 - $49,999;51,683;72,770;36,109;19,851;682;69,103;68,419;29,479;13,606;489
    $50,000 - $74,999;190,205;89,018;49,525;29,205;1,215;191,089;96,137;40,715;30,011;1,215
    $75,000 - $99,999;190,124;179,976;49,159;11,150;-;196,227;193,957;27,518;12,705;-
    $100,000 - $149,999;279,981;216,105;52,633;27,191;-;312,051;175,423;62,930;24,173;1,334
    $150,000 - $199,999;111,394;84,987;28,570;15,900;-;114,856;91,751;21,120;13,124;-
    $200,000 and above;285,843;156,141;21,749;8,890;-;280,536;160,761;25,041;5,894;390
    Did not report;48,532;46,293;34,650;6,276;362,831;53,572;49,694;4,040;28,755;362,521
