Health Table 3. Current Health Insurance Status, by Select Characteristics: Oregon;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;123,531;87,422;41,694;11,772;45,853
    25 - 34;590,110;475,371;154,347;38,522;100,650
    35 - 44;510,521;447,103;92,698;48,652;40,513
    45 - 64;872,119;733,327;214,635;55,266;90,006
    65 and over;729,046;419,744;638,910;374;45,792
Sex ;;;;;
    Male;1,373,318;1,147,573;528,503;97,850;142,978
    Female;1,452,009;1,015,394;613,782;56,736;179,836
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);265,155;228,167;65,260;43,354;70,413
    White alone, not Hispanic;2,260,279;1,709,508;961,171;92,054;211,226
    Black alone, not Hispanic;46,476;26,997;26,959;2,910;4,096
    Asian alone, not Hispanic;99,431;83,556;35,471;1,791;6,293
    Two or more races + Other races, not Hispanic;153,987;114,739;53,424;14,477;30,786
Education ;;;;;
    Less than high school;264,371;216,599;105,494;10,501;49,063
    High school or GED;612,397;423,760;274,467;59,148;93,942
    Some college/associate’s degree;979,223;681,425;455,649;63,884;125,149
    Bachelor’s degree or higher;969,336;841,184;306,674;21,054;54,660
Marital status ;;;;;
    Married;1,543,277;1,207,811;618,404;48,478;148,332
    Widowed;71,426;46,554;52,887;5,981;4,458
    Divorced/separated;484,623;353,706;231,294;22,263;33,613
    Never married;712,574;546,448;231,858;77,100;130,434
    Did not report;13,426;8,447;7,842;765;5,976
Presence of children under 18 years old ;;;;;
    Children in household;1,006,784;823,365;256,874;71,407;102,705
    No children;1,818,543;1,339,602;885,411;83,180;220,108
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,465,764;1,097,302;517,188;119,210;154,634
    No;1,357,008;1,063,974;624,093;35,377;163,660
    Did not report;2,555;1,691;1,004;-;4,520
Respondent currently employed ;;;;;
    Yes;1,396,181;1,298,590;242,769;74,265;186,629
    No;1,426,607;861,839;898,065;80,322;131,665
    Did not report;2,539;2,539;1,450;-;4,520
Household income ;;;;;
    Less than $25,000;384,147;187,233;267,149;35,983;7,187
    $25,000 - $34,999;254,428;174,665;160,846;36,532;1,183
    $35,000 - $49,999;390,773;276,054;185,923;9,225;7,652
    $50,000 - $74,999;478,958;313,432;229,722;26,207;5,242
    $75,000 - $99,999;459,698;429,495;119,919;16,318;24,120
    $100,000 - $149,999;474,027;435,480;102,185;24,240;6,728
    $150,000 - $199,999;149,112;134,784;30,345;2,636;1,099
    $200,000 and above;154,576;135,702;26,553;163;89
    Did not report;79,608;76,122;19,640;3,282;269,515
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
