Standard Error Health Table 3. Current Health Insurance Status, by Select Characteristics: Oregon;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured;Insured;Insured;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;48,135;64,542;49,184;34,794;41,435
Age ;;;;;
    18 - 24;35,825;31,611;26,778;11,047;28,665
    25 - 34;36,122;31,123;34,178;14,627;18,625
    35 - 44;24,195;24,870;16,787;22,192;16,239
    45 - 64;26,085;32,153;29,514;19,535;16,433
    65 and over;14,613;34,194;24,696;347;12,813
Sex ;;;;;
    Male;42,971;45,170;42,044;33,084;36,995
    Female;25,845;37,961;34,827;18,014;19,240
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);26,273;26,306;29,885;23,806;15,656
    White alone, not Hispanic;42,895;55,285;43,689;25,661;35,111
    Black alone, not Hispanic;24,253;21,634;13,071;1,452;-
    Asian alone, not Hispanic;22,216;22,429;9,399;4,207;4,364
    Two or more races + Other races, not Hispanic;27,478;25,141;15,541;1,337;11,174
Education ;;;;;
    Less than high school;35,092;34,704;22,149;20,810;29,959
    High school or GED;52,109;52,015;49,350;25,438;24,258
    Some college/associate’s degree;31,340;40,940;27,040;16,463;23,829
    Bachelor’s degree or higher;12,846;23,068;17,443;9,446;11,962
Marital status ;;;;;
    Married;53,596;50,575;58,684;24,918;23,831
    Widowed;37,175;36,825;41,062;2,862;5,710
    Divorced/separated;35,855;28,768;35,800;15,920;13,918
    Never married;48,854;50,024;37,038;21,743;30,377
    Did not report;9,489;9,489;9,053;-;4,147
Presence of children under 18 years old ;;;;;
    Children in household;46,031;49,707;38,499;23,883;37,272
    No children;54,696;56,559;45,299;27,678;24,390
Respondent or household member experienced loss of employment income ;;;;;
    Yes;59,163;56,397;42,903;31,362;34,768
    No;67,966;61,171;58,173;19,059;25,701
    Did not report;528;528;528;-;3,776
Respondent currently employed ;;;;;
    Yes;63,455;64,577;50,431;25,939;32,958
    No;52,868;49,969;51,038;26,129;26,741
    Did not report;6,848;2,725;6,566;-;3,783
Household income ;;;;;
    Less than $25,000;61,673;51,096;61,108;16,192;2,817
    $25,000 - $34,999;40,265;29,234;34,909;13,162;7,451
    $35,000 - $49,999;43,251;39,873;29,893;20,244;7,485
    $50,000 - $74,999;36,505;33,887;28,373;17,366;1,273
    $75,000 - $99,999;50,252;48,158;22,590;18,197;-
    $100,000 - $149,999;34,831;33,650;17,399;6,359;-
    $150,000 - $199,999;31,767;31,899;18,382;-;-
    $200,000 and above;25,418;25,412;9,318;1,391;599
    Did not report;14,293;8,100;12,335;2,442;41,129
