Health Table 3. Current Health Insurance Status, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Total;3,705,284;3,143,532;1,304,958;151,918;325,992
Age ;;;;;
    18 - 24;141,454;133,912;42,509;10,880;24,597
    25 - 34;864,402;704,776;177,862;75,358;115,771
    35 - 44;717,504;647,018;81,931;50,995;56,642
    45 - 64;1,135,615;1,091,853;252,379;14,685;65,775
    65 and over;846,310;565,974;750,278;-;63,207
Sex ;;;;;
    Male;1,905,052;1,666,313;461,890;47,561;165,108
    Female;1,800,232;1,477,219;843,068;104,356;160,884
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);722,774;523,222;261,058;54,341;79,398
    White alone, not Hispanic;1,566,467;1,367,722;465,481;10,328;127,328
    Black alone, not Hispanic;293,785;291,756;184,262;18,700;25,421
    Asian alone, not Hispanic;971,628;820,847;360,106;67,549;59,180
    Two or more races + Other races, not Hispanic;150,631;139,984;34,051;1,000;34,665
Education ;;;;;
    Less than high school;290,844;286,512;171,965;18,426;30,513
    High school or GED;862,323;613,692;473,267;9,310;95,564
    Some college/associate’s degree;829,396;663,524;304,728;75,234;49,463
    Bachelor’s degree or higher;1,722,721;1,579,803;354,998;48,948;150,451
Marital status ;;;;;
    Married;1,952,898;1,711,696;516,476;50,500;106,130
    Widowed;99,363;65,739;87,271;-;3,388
    Divorced/separated;359,848;296,998;181,182;13,166;78,525
    Never married;1,292,304;1,068,228;520,030;88,251;134,762
    Did not report;872;872;-;-;3,187
Presence of children under 18 years old ;;;;;
    Children in household;1,151,725;1,052,120;334,783;83,214;159,844
    No children;2,553,559;2,091,412;970,175;68,704;166,148
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,732,744;1,475,433;408,386;140,446;152,134
    No;1,972,541;1,668,099;896,572;11,472;169,383
    Did not report;-;-;-;-;4,475
Respondent currently employed ;;;;;
    Yes;2,049,301;1,964,918;204,878;44,476;174,160
    No;1,655,983;1,178,614;1,100,080;107,442;147,357
    Did not report;-;-;-;-;4,475
Household income ;;;;;
    Less than $25,000;444,547;239,110;385,997;19,234;21,578
    $25,000 - $34,999;169,205;41,599;143,816;22,082;-
    $35,000 - $49,999;521,417;490,598;221,084;11,459;-
    $50,000 - $74,999;409,838;352,207;178,562;15,615;17,262
    $75,000 - $99,999;354,636;295,976;102,084;4,694;-
    $100,000 - $149,999;606,664;555,383;140,968;53,888;-
    $150,000 - $199,999;260,833;254,571;38,128;20,206;3,123
    $200,000 and above;854,194;831,905;50,462;1,703;1,034
    Did not report;83,950;82,183;43,858;3,038;282,995
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
