Health Table 3. Current Health Insurance Status, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;
Total Population 18 Years and Older;;;;;
Select characteristics;Insured *;Insured *;Insured *;Uninsured;Did not report or don’t know
;Total;Private;Public;;
;;;;;
Age ;;;;;
    18 - 24;168,975;155,570;25,546;9,763;75,968
    25 - 34;614,556;568,065;191,010;66,992;55,374
    35 - 44;450,185;419,896;63,264;28,855;31,341
    45 - 64;897,555;837,758;159,739;60,742;60,139
    65 and over;529,938;361,436;483,345;19,107;28,812
Sex ;;;;;
    Male;1,364,344;1,251,180;481,335;139,211;133,486
    Female;1,296,866;1,091,546;441,568;46,248;118,148
Hispanic origin and Race ;;;;;
    Hispanic or Latino (may be of any race);280,779;262,980;50,599;18,195;45,296
    White alone, not Hispanic;1,688,155;1,491,496;618,252;134,696;149,827
    Black alone, not Hispanic;170,872;118,634;85,396;5,752;13,751
    Asian alone, not Hispanic;345,765;309,470;107,073;13,864;27,210
    Two or more races + Other races, not Hispanic;175,639;160,145;61,582;12,953;15,550
Education ;;;;;
    Less than high school;135,541;105,601;39,178;40,938;33,966
    High school or GED;502,323;380,815;298,612;22,881;89,451
    Some college/associate’s degree;881,682;811,013;297,850;56,189;91,345
    Bachelor’s degree or higher;1,141,663;1,045,296;287,263;65,451;36,872
Marital status ;;;;;
    Married;1,536,467;1,390,635;475,678;66,027;86,291
    Widowed;71,502;67,193;51,555;-;7,077
    Divorced/separated;308,634;228,372;157,509;55,174;24,250
    Never married;739,272;651,284;237,943;59,290;123,712
    Did not report;5,335;5,241;217;4,968;10,304
Presence of children under 18 years old ;;;;;
    Children in household;784,710;678,605;225,691;24,729;111,109
    No children;1,876,500;1,664,120;697,212;160,730;140,525
Respondent or household member experienced loss of employment income ;;;;;
    Yes;1,093,544;914,468;350,486;157,748;127,643
    No;1,567,389;1,428,205;572,141;27,711;121,829
    Did not report;276;52;276;-;2,161
Respondent currently employed ;;;;;
    Yes;1,553,495;1,516,112;306,748;72,448;144,071
    No;1,107,505;826,547;616,012;112,803;103,827
    Did not report;209;66;143;208;3,736
Household income ;;;;;
    Less than $25,000;155,463;79,053;93,861;16,596;975
    $25,000 - $34,999;183,232;150,056;133,879;20,745;8,112
    $35,000 - $49,999;205,511;174,576;117,577;13,885;225
    $50,000 - $74,999;470,704;354,338;309,472;35,882;343
    $75,000 - $99,999;343,627;324,001;84,012;40,639;-
    $100,000 - $149,999;520,071;498,462;94,180;54,325;145
    $150,000 - $199,999;240,556;230,982;32,993;792;127
    $200,000 and above;488,350;481,270;38,571;399;3,520
    Did not report;53,694;49,987;18,358;2,197;238,188
* Totals may not sum to 100% as the question allowed for multiple categories to be marked.;;;;;
