Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;4,795,315;1,334,607;3,094,383;184,617;181,707;-;1,103,529
Age ;;;;;;;
    18 - 24;289,634;-;218,710;-;70,924;-;42,570
    25 - 39;994,142;147,358;695,432;151,351;-;-;367,654
    40 - 54;1,184,171;133,732;999,137;23,746;27,556;-;377,949
    55 - 64;1,039,576;464,110;491,827;8,234;75,405;-;207,606
    65 and above;1,287,792;589,406;689,277;1,286;7,822;-;107,749
Sex ;;;;;;;
    Male;2,449,210;521,057;1,764,941;147,703;15,509;-;412,042
    Female;2,346,105;813,550;1,329,443;36,914;166,198;-;691,487
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);1,865,307;449,514;1,381,797;-;33,997;-;558,660
    White alone, not Hispanic;1,710,322;548,633;1,121,042;28,548;12,099;-;245,279
    Black alone, not Hispanic;51,014;7,790;38,507;4,717;-;-;18,543
    Asian alone, not Hispanic;985,276;245,675;457,572;146,417;135,611;-;246,505
    Two or more races + Other races, not Hispanic;183,396;82,996;95,465;4,934;-;-;34,542
Education ;;;;;;;
    Less than high school;768,081;340,382;356,775;-;70,924;-;289,681
    High school or GED;1,330,169;195,335;921,926;148,221;64,687;-;171,896
    Some college/associate’s degree;1,043,512;370,844;644,209;19,922;8,536;-;347,241
    Bachelor’s degree or higher;1,653,553;428,045;1,171,473;16,474;37,560;-;294,710
Marital status ;;;;;;;
    Married;2,991,609;840,131;2,015,078;27,711;108,689;-;398,380
    Widowed;218,256;157,243;61,013;-;-;-;17,716
    Divorced/separated;521,117;153,426;215,501;152,189;-;-;213,923
    Never married;1,064,333;183,806;802,791;4,717;73,018;-;448,246
    Did not report;-;-;-;-;-;-;25,264
Presence of children under 18 years old ;;;;;;;
    Children in household;1,613,460;163,911;1,352,372;26,253;70,924;-;541,122
    No children;3,181,855;1,170,696;1,742,012;158,364;110,783;-;562,406
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;2,103,408;559,811;1,194,729;167,160;181,707;-;569,096
    No;2,675,181;758,070;1,899,654;17,457;-;-;509,169
    Did not report;16,726;16,726;-;-;-;-;25,264
Respondent currently employed ;;;;;;;
    Yes;2,647,489;458,711;2,064,162;22,391;102,225;-;569,449
    No;2,118,010;875,897;1,000,405;162,226;79,483;-;508,816
    Did not report;29,816;-;29,816;-;-;-;25,264
Household income ;;;;;;;
    Less than $25,000;239,798;70,024;161,540;8,234;-;-;-
    $25,000 - $34,999;615,321;156,109;307,646;151,565;-;-;-
    $35,000 - $49,999;543,730;174,838;368,892;-;-;-;18,064
    $50,000 - $74,999;700,324;105,156;514,829;4,934;75,405;-;-
    $75,000 - $99,999;872,208;448,469;411,391;10,254;2,094;-;29,532
    $100,000 - $149,999;574,398;131,403;404,871;9,630;28,493;-;-
    $150,000 - $199,999;351,357;75,090;271,476;-;4,791;-;-
    $200,000 and above;736,518;139,933;596,586;-;-;-;-
    Did not report;161,661;33,585;57,151;-;70,924;-;1,055,932
