Standard Error Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;255,213;140,966;221,370;67,692;42,760;11,028;239,538
Age ;;;;;;;
    18 - 24;122,006;102,964;81,374;23,698;7,815;-;130,156
    25 - 39;117,135;51,569;96,983;29,253;18,659;9,704;123,663
    40 - 54;163,879;71,784;135,393;40,930;22,641;4,874;81,954
    55 - 64;113,481;68,018;68,273;44,195;37,640;-;69,380
    65 and above;143,924;60,057;137,678;5,389;946;-;88,014
Sex ;;;;;;;
    Male;235,080;85,545;196,646;48,321;34,225;3,681;212,576
    Female;198,013;123,623;168,135;52,176;25,432;10,073;102,586
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);191,788;124,049;160,483;46,112;39,740;8,873;168,892
    White alone, not Hispanic;126,592;55,053;97,294;55,041;22,706;4,874;66,514
    Black alone, not Hispanic;56,246;47,801;22,255;4,408;7,704;-;14,500
    Asian alone, not Hispanic;144,260;50,642;127,019;8,588;5,964;3,461;83,381
    Two or more races + Other races, not Hispanic;38,006;12,959;30,188;22,867;-;-;71,746
Education ;;;;;;;
    Less than high school;158,063;20,110;148,651;51,028;-;-;139,067
    High school or GED;179,895;108,229;153,218;32,615;12,067;-;124,368
    Some college/associate’s degree;119,342;86,386;108,794;24,790;36,550;-;81,965
    Bachelor’s degree or higher;113,368;85,135;77,712;25,611;26,139;11,028;47,275
Marital status ;;;;;;;
    Married;179,895;84,108;167,151;36,767;28,690;4,874;96,372
    Widowed;30,279;14,428;30,166;-;946;-;7,481
    Divorced/separated;141,519;39,344;128,977;38,047;239;-;26,132
    Never married;201,927;131,569;138,293;50,648;37,941;9,704;242,823
    Did not report;7,808;-;3,347;6,950;-;-;7,414
Presence of children under 18 years old ;;;;;;;
    Children in household;184,571;76,275;171,099;40,938;26,997;4,648;175,357
    No children;197,844;126,089;154,535;57,675;40,614;9,784;149,830
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;257,137;97,887;207,469;63,611;40,285;8,873;149,871
    No;170,758;124,941;122,635;28,656;14,037;6,190;185,875
    Did not report;6,075;2,261;5,828;-;-;-;9,615
Respondent currently employed ;;;;;;;
    Yes;190,247;99,068;142,698;56,950;26,939;11,028;121,809
    No;249,112;121,766;191,969;50,085;40,200;-;196,250
    Did not report;-;-;-;-;-;-;66,755
Household income ;;;;;;;
    Less than $25,000;121,838;108,098;57,740;21,173;-;-;8,415
    $25,000 - $34,999;81,707;29,645;68,796;5,934;33,897;-;-
    $35,000 - $49,999;135,177;48,103;88,376;54,000;8,409;8,873;-
    $50,000 - $74,999;141,483;40,067;135,161;1,973;13,749;-;-
    $75,000 - $99,999;96,683;62,056;70,975;25,857;15,167;3,461;-
    $100,000 - $149,999;117,842;45,671;120,978;21,681;12,463;-;-
    $150,000 - $199,999;55,188;19,973;54,505;7,742;937;-;1,244
    $200,000 and above;79,283;45,247;53,234;23,867;22,569;-;-
    Did not report;77,049;26,565;72,311;662;-;4,874;238,080
