Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;1,810,832;570,177;1,152,463;33,060;37,675;17,457;414,052
Age ;;;;;;;
    18 - 24;53,164;17,751;17,919;-;4,111;13,383;55,000
    25 - 39;349,546;44,276;281,761;9,104;11,399;3,005;141,348
    40 - 54;449,202;60,521;363,944;14,799;9,681;257;92,754
    55 - 64;361,465;85,239;266,055;7,112;2,248;812;49,969
    65 and above;597,455;362,390;222,783;2,046;10,236;-;74,982
Sex ;;;;;;;
    Male;853,164;277,272;537,348;18,272;6,889;13,383;247,343
    Female;957,668;292,905;615,114;14,788;30,786;4,074;166,710
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);148,219;21,337;119,908;2,640;4,333;-;25,213
    White alone, not Hispanic;1,521,708;501,078;956,993;29,876;29,687;4,074;308,525
    Black alone, not Hispanic;6,738;-;4,408;544;1,786;-;16,043
    Asian alone, not Hispanic;81,476;27,113;39,525;-;1,455;13,383;34,196
    Two or more races + Other races, not Hispanic;52,691;20,649;31,629;-;413;-;30,076
Education ;;;;;;;
    Less than high school;107,373;14,853;90,432;-;-;2,089;8,346
    High school or GED;406,344;166,022;219,036;2,459;5,444;13,383;162,445
    Some college/associate’s degree;625,215;195,471;391,006;18,735;20,003;-;142,885
    Bachelor’s degree or higher;671,899;193,831;451,989;11,866;12,229;1,985;100,377
Marital status ;;;;;;;
    Married;1,194,750;390,989;756,012;16,261;27,414;4,074;195,400
    Widowed;78,478;42,518;35,511;385;64;-;2,759
    Divorced/separated;245,055;60,169;172,754;9,341;2,791;-;63,075
    Never married;285,181;71,860;185,459;7,073;7,406;13,383;143,128
    Did not report;7,367;4,640;2,727;-;-;-;9,691
Presence of children under 18 years old ;;;;;;;
    Children in household;606,545;75,733;496,355;18,133;15,407;916;165,639
    No children;1,204,287;494,444;656,108;14,927;22,268;16,540;248,414
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;763,464;158,920;543,535;20,323;25,319;15,368;158,505
    No;1,047,368;411,257;608,928;12,737;12,356;2,089;247,798
    Did not report;-;-;-;-;-;-;7,749
Respondent currently employed ;;;;;;;
    Yes;924,849;162,998;712,210;13,074;20,027;16,540;240,962
    No;883,412;405,951;438,910;19,986;17,649;916;166,719
    Did not report;2,571;1,228;1,343;-;-;-;6,372
Household income ;;;;;;;
    Less than $25,000;150,857;69,906;73,130;4,747;3,075;-;-
    $25,000 - $34,999;146,855;73,278;67,543;2,459;3,576;-;-
    $35,000 - $49,999;179,738;71,472;91,362;10,452;6,452;-;-
    $50,000 - $74,999;292,483;100,274;173,416;4,839;572;13,383;-
    $75,000 - $99,999;325,420;64,964;251,006;2,332;7,118;-;-
    $100,000 - $149,999;339,946;81,040;244,489;5,521;8,896;-;-
    $150,000 - $199,999;189,306;67,728;112,630;1,514;7,434;-;350
    $200,000 and above;123,282;33,308;89,368;349;-;257;-
    Did not report;62,943;8,208;49,519;847;553;3,817;413,702
