Standard Error Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;69,497;46,846;60,888;9,554;10,334;26,884;32,872
Age ;;;;;;;
    18 - 24;36,156;13,229;30,801;-;1,774;26,689;15,283
    25 - 39;34,680;10,363;34,687;5,978;2,478;483;20,946
    40 - 54;24,927;27,657;22,404;5,569;9,838;2,442;12,726
    55 - 64;19,148;18,362;22,062;988;4,387;-;9,913
    65 and above;38,081;32,237;35,550;4,629;6,010;-;13,685
Sex ;;;;;;;
    Male;43,447;38,119;46,697;3,798;9,824;26,834;25,568
    Female;52,728;29,396;44,709;8,637;4,511;483;18,846
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);18,045;17,961;15,122;3,182;9,695;483;14,815
    White alone, not Hispanic;58,406;43,602;53,936;7,142;7,243;26,834;27,095
    Black alone, not Hispanic;3,801;356;3,933;1,351;-;-;585
    Asian alone, not Hispanic;15,600;8,979;10,178;2,817;3,364;-;3,551
    Two or more races + Other races, not Hispanic;24,799;11,161;22,491;3,000;1,984;-;11,007
Education ;;;;;;;
    Less than high school;34,667;17,279;25,781;2,892;-;26,682;10,999
    High school or GED;46,396;28,774;40,045;2,543;4,387;2,442;20,552
    Some college/associate’s degree;33,220;29,353;37,478;7,609;8,735;3,121;20,789
    Bachelor’s degree or higher;17,064;21,840;24,831;3,159;3,999;-;11,894
Marital status ;;;;;;;
    Married;57,076;41,514;52,576;4,246;7,721;3,983;18,911
    Widowed;13,657;8,528;10,287;-;-;-;5,031
    Divorced/separated;29,133;16,899;16,294;7,097;2,507;-;13,924
    Never married;46,215;20,942;37,725;4,664;10,129;26,682;23,128
    Did not report;442;-;442;-;-;-;4,147
Presence of children under 18 years old ;;;;;;;
    Children in household;46,251;28,024;33,703;5,695;7,241;26,734;26,782
    No children;55,010;38,995;56,360;7,383;10,806;3,968;21,948
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;56,808;32,729;51,119;8,655;8,374;26,834;24,583
    No;61,618;38,959;55,225;2,083;9,740;483;22,040
    Did not report;528;-;528;-;-;-;3,776
Respondent currently employed ;;;;;;;
    Yes;57,899;33,260;45,534;4,474;2,613;26,737;22,023
    No;51,527;35,799;41,597;7,361;9,992;2,442;25,150
    Did not report;6,848;6,536;2,725;-;-;-;3,783
Household income ;;;;;;;
    Less than $25,000;23,451;11,138;24,066;3,158;3,944;-;-
    $25,000 - $34,999;34,890;15,408;30,085;2,801;631;-;-
    $35,000 - $49,999;33,063;25,209;27,849;5,185;1,325;-;-
    $50,000 - $74,999;32,875;16,109;26,887;2,386;9,348;-;349
    $75,000 - $99,999;40,898;25,865;32,128;5,544;6,534;-;665
    $100,000 - $149,999;34,503;16,984;32,228;427;1,895;-;93
    $150,000 - $199,999;30,758;18,997;20,829;-;1,017;-;-
    $200,000 and above;24,230;15,657;15,932;-;419;-;-
    Did not report;30,518;9,226;3,797;-;-;26,884;32,855
