Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Renter occupied;Did not respond to tenure
;;;Yes;No;Mortgage payment was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;296,088;43,624;231,078;-;21,386;-;270,309;36,869
    25 - 39;462,073;42,370;379,827;30,189;5,737;3,949;523,434;91,241
    40 - 54;605,477;98,037;403,478;90,760;13,201;-;348,259;92,496
    55 - 64;589,976;238,785;323,351;6,724;21,115;-;220,242;63,504
    65 and above;730,680;362,198;290,618;75,547;565;1,752;161,008;85,475
Sex ;;;;;;;;
    Male;1,367,273;348,753;884,714;99,484;32,570;1,752;829,029;156,554
    Female;1,317,021;436,261;743,638;103,737;29,435;3,949;694,221;213,031
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);1,090,268;277,348;610,437;176,956;25,526;-;762,114;186,422
    White alone, not Hispanic;1,171,514;432,868;694,788;19,427;22,679;1,752;445,968;150,324
    Black alone, not Hispanic;152,957;19,366;132,313;1,279;-;-;202,723;14,445
    Asian alone, not Hispanic;211,150;41,164;150,626;5,559;13,800;-;54,659;15,877
    Two or more races + Other races, not Hispanic;58,405;14,268;40,187;-;-;3,949;57,787;2,516
Education ;;;;;;;;
    Less than high school;671,228;367,253;159,976;122,883;21,115;-;445,161;98,873
    High school or GED;640,730;99,092;518,326;5,052;16,508;1,752;435,254;106,488
    Some college/associate’s degree;802,911;178,490;547,806;63,827;12,788;-;468,132;110,052
    Bachelor’s degree or higher;569,425;140,179;402,244;11,459;11,594;3,949;174,703;54,172
Marital status ;;;;;;;;
    Married;1,582,078;456,063;1,005,924;71,069;49,022;-;623,097;162,943
    Widowed;272,275;184,738;87,537;-;-;-;22,948;29,135
    Divorced/separated;292,119;55,956;156,239;76,153;3,770;-;260,157;85,166
    Never married;530,705;85,995;375,549;55,998;9,213;3,949;605,493;80,305
    Did not report;7,117;2,261;3,103;-;-;1,752;11,556;12,036
Presence of children under 18 years old ;;;;;;;;
    Children in household;1,203,767;172,008;854,129;162,833;13,044;1,752;956,796;162,684
    No children;1,480,527;613,006;774,223;40,387;48,961;3,949;566,454;206,900
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;1,314,868;241,335;823,816;197,219;52,498;-;897,151;159,589
    No;1,365,412;541,418;804,536;6,002;9,508;3,949;624,836;187,047
    Did not report;4,014;2,261;-;-;-;1,752;1,264;22,949
Respondent currently employed ;;;;;;;;
    Yes;1,012,622;151,591;744,065;89,772;23,244;3,949;747,865;159,271
    No;1,667,659;631,162;884,287;113,448;38,761;-;775,385;184,215
    Did not report;4,014;2,261;-;-;-;1,752;-;26,099
Household income ;;;;;;;;
    Less than $25,000;342,075;156,959;65,191;117,771;2,154;-;245,638;-
    $25,000 - $34,999;270,460;71,820;132,545;28,472;37,623;-;321,371;-
    $35,000 - $49,999;457,911;242,866;198,612;15,051;1,382;-;364,887;3,226
    $50,000 - $74,999;359,194;78,602;255,117;9,526;15,949;-;241,017;5,148
    $75,000 - $99,999;464,407;103,211;344,697;16,499;-;-;186,213;-
    $100,000 - $149,999;437,386;67,822;351,882;12,786;4,897;-;114,231;-
    $150,000 - $199,999;131,488;25,416;102,956;3,115;-;-;8,942;999
    $200,000 and above;138,366;24,434;113,931;-;-;-;12,704;-
    Did not report;83,007;13,884;63,422;-;-;5,702;28,248;360,212
