Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;2,004,304;476,836;1,355,080;108,566;57,279;6,543;1,058,505
Age ;;;;;;;
    18 - 24;113,090;21,428;88,255;-;3,408;-;153,119
    25 - 39;519,459;65,393;411,671;36,839;5,555;-;206,043
    40 - 54;545,417;73,800;401,814;36,415;32,238;1,150;159,500
    55 - 64;415,923;130,410;254,908;23,971;6,635;-;130,296
    65 and above;410,414;185,806;198,432;11,340;9,443;5,393;409,547
Sex ;;;;;;;
    Male;1,054,592;238,452;741,246;59,162;15,732;-;693,585
    Female;949,712;238,384;613,834;49,404;41,547;6,543;364,920
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);706,807;125,564;513,389;49,866;17,988;-;633,243
    White alone, not Hispanic;788,396;278,299;469,142;25,019;14,415;1,520;196,994
    Black alone, not Hispanic;260,380;18,642;204,343;12,062;22,437;2,897;79,497
    Asian alone, not Hispanic;166,959;53,097;93,918;16,482;1,337;2,126;127,663
    Two or more races + Other races, not Hispanic;81,762;1,234;74,288;5,136;1,102;-;21,108
Education ;;;;;;;
    Less than high school;234,087;18,609;196,934;18,544;-;-;469,739
    High school or GED;464,815;126,514;278,459;50,961;8,882;-;189,395
    Some college/associate’s degree;703,988;207,552;456,214;26,771;12,302;1,150;212,095
    Bachelor’s degree or higher;601,413;124,161;423,473;12,290;36,096;5,393;187,275
Marital status ;;;;;;;
    Married;1,278,440;262,739;902,310;67,714;41,631;4,047;620,421
    Widowed;86,374;43,638;38,583;802;1,226;2,126;34,663
    Divorced/separated;207,970;68,643;126,328;4,545;8,085;370;83,833
    Never married;423,824;100,286;287,204;29,997;6,338;-;313,034
    Did not report;7,695;1,531;655;5,509;-;-;6,555
Presence of children under 18 years old ;;;;;;;
    Children in household;768,606;99,320;576,492;69,060;20,459;3,276;311,838
    No children;1,235,698;377,516;778,588;39,506;36,821;3,267;746,667
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;1,014,867;183,063;697,664;94,468;35,625;4,047;791,878
    No;989,177;293,513;657,416;14,098;21,654;2,496;260,785
    Did not report;260;260;-;-;-;-;5,842
Respondent currently employed ;;;;;;;
    Yes;1,071,384;175,702;811,585;50,070;31,901;2,126;595,026
    No;932,919;301,134;543,495;58,495;25,378;4,417;448,585
    Did not report;-;-;-;-;-;-;14,895
Household income ;;;;;;;
    Less than $25,000;162,545;77,046;40,680;39,906;4,913;-;-
    $25,000 - $34,999;189,484;55,588;121,024;8,352;4,520;-;-
    $35,000 - $49,999;210,734;82,300;101,880;15,455;8,974;2,126;-
    $50,000 - $74,999;247,214;37,381;190,213;12,648;6,972;-;-
    $75,000 - $99,999;342,170;74,457;245,318;17,653;4,743;-;-
    $100,000 - $149,999;381,825;67,044;277,958;11,105;25,718;-;213
    $150,000 - $199,999;274,802;29,716;245,086;-;-;-;-
    $200,000 and above;109,556;27,599;77,652;2,866;1,439;-;-
    Did not report;85,972;25,706;55,269;581;-;4,417;1,058,291
