Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;2,222,073;651,671;1,444,156;17,787;105,459;3,001;287,442
Age ;;;;;;;
    18 - 24;45,285;4,584;40,701;-;-;-;24,597
    25 - 39;560,231;33,735;524,430;-;2,066;-;94,792
    40 - 54;443,376;53,520;371,771;12,913;2,171;3,001;76,487
    55 - 64;376,393;137,143;156,675;1,405;81,170;-;27,424
    65 and above;796,788;422,688;350,578;3,468;20,053;-;64,141
Sex ;;;;;;;
    Male;1,290,382;375,947;825,945;8,426;80,065;-;154,247
    Female;931,690;275,724;618,211;9,360;25,394;3,001;133,195
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);342,626;43,457;223,936;1,413;73,820;-;58,522
    White alone, not Hispanic;938,055;399,956;513,594;1,858;22,647;-;124,549
    Black alone, not Hispanic;38,670;2,216;36,454;-;-;-;20,275
    Asian alone, not Hispanic;840,933;179,165;635,259;14,515;8,992;3,001;50,133
    Two or more races + Other races, not Hispanic;61,789;26,877;34,913;-;-;-;33,963
Education ;;;;;;;
    Less than high school;19,127;-;19,127;-;-;-;30,513
    High school or GED;553,606;189,805;275,758;-;88,042;-;72,789
    Some college/associate’s degree;509,767;154,607;352,387;2,773;-;-;49,463
    Bachelor’s degree or higher;1,139,573;307,258;796,883;15,013;17,417;3,001;134,677
Marital status ;;;;;;;
    Married;1,427,900;461,396;862,243;13,609;87,651;3,001;103,106
    Widowed;90,519;42,026;47,730;763;-;-;3,388
    Divorced/separated;179,042;108,492;51,337;1,405;17,809;-;73,248
    Never married;523,740;39,482;482,248;2,010;-;-;104,514
    Did not report;872;274;597;-;-;-;3,187
Presence of children under 18 years old ;;;;;;;
    Children in household;643,351;57,747;552,298;9,316;23,990;-;131,061
    No children;1,578,722;593,923;891,857;8,471;81,469;3,001;156,381
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;970,073;153,438;698,561;13,426;101,647;3,001;122,786
    No;1,251,999;498,232;745,595;4,361;3,812;-;160,883
    Did not report;-;-;-;-;-;-;3,773
Respondent currently employed ;;;;;;;
    Yes;1,126,324;175,254;932,257;12,343;3,470;3,001;169,774
    No;1,095,749;476,417;511,899;5,444;101,989;-;113,895
    Did not report;-;-;-;-;-;-;3,773
Household income ;;;;;;;
    Less than $25,000;121,200;112,561;6,432;2,207;-;-;4,475
    $25,000 - $34,999;47,928;36,498;11,430;-;-;-;-
    $35,000 - $49,999;300,516;66,309;232,039;2,168;-;-;-
    $50,000 - $74,999;324,061;101,989;213,080;-;8,992;-;-
    $75,000 - $99,999;188,226;66,604;99,399;4,415;17,809;-;-
    $100,000 - $149,999;404,347;77,808;252,236;571;70,731;3,001;-
    $150,000 - $199,999;170,690;72,165;94,268;1,095;3,162;-;1,366
    $200,000 and above;609,696;100,120;497,480;7,331;4,765;-;-
    Did not report;55,409;17,616;37,793;-;-;-;281,601
