Standard Error Housing Table 1a. Last Month's Payment Status for Owner-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;
Select characteristics;Total;Owned free and clear;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Mortgage payment was deferred;Did not report;
;;;;;;;
Total;137,250;76,870;94,984;3,271;54,170;5,443;71,362
Age ;;;;;;;
    18 - 24;46,355;24,655;22,974;-;33,600;-;43,415
    25 - 39;75,090;24,439;73,884;-;4,484;4,094;35,571
    40 - 54;43,366;14,414;37,778;876;7,176;3,363;36,054
    55 - 64;59,300;45,293;29,094;1,814;35,423;1,118;9,629
    65 and above;61,780;44,432;30,293;2,588;14,334;46;10,211
Sex ;;;;;;;
    Male;105,857;55,499;78,129;3,005;54,673;-;56,623
    Female;79,104;56,854;40,285;1,369;5,564;5,443;48,084
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);92,044;36,082;74,734;-;959;-;39,846
    White alone, not Hispanic;60,976;48,188;38,649;3,075;4,795;1,119;18,452
    Black alone, not Hispanic;12,213;4,224;10,809;871;4,121;-;33,331
    Asian alone, not Hispanic;60,375;25,277;29,978;-;54,146;5,349;31,899
    Two or more races + Other races, not Hispanic;39,628;35,374;16,425;-;3,339;-;33,951
Education ;;;;;;;
    Less than high school;54,529;40,451;14,041;-;35,470;-;45,536
    High school or GED;48,499;39,447;24,640;-;-;-;53,683
    Some college/associate’s degree;60,154;30,724;43,774;2,767;36,335;3,363;19,384
    Bachelor’s degree or higher;76,903;31,989;80,832;1,726;6,510;4,226;20,418
Marital status ;;;;;;;
    Married;76,508;47,939;51,860;3,075;36,953;3,538;16,805
    Widowed;6,635;4,625;4,149;-;-;-;4,108
    Divorced/separated;47,972;40,470;22,418;871;694;46;13,003
    Never married;98,031;43,377;75,986;-;34,060;4,094;67,158
    Did not report;2,461;376;2,431;-;-;-;13,236
Presence of children under 18 years old ;;;;;;;
    Children in household;45,342;27,326;37,040;861;6,371;1,118;65,251
    No children;116,763;65,063;84,218;3,143;54,491;5,344;30,809
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;116,777;53,719;82,499;2,764;54,133;4,226;64,364
    No;70,267;51,156;40,199;1,712;2,598;3,363;26,691
    Did not report;-;-;-;-;-;-;16,554
Respondent currently employed ;;;;;;;
    Yes;106,172;59,897;77,369;3,099;53,019;5,349;63,613
    No;77,314;51,177;51,354;951;15,046;1,119;35,128
    Did not report;2,411;2,411;-;-;-;-;13,378
Household income ;;;;;;;
    Less than $25,000;27,924;9,853;25,813;-;214;-;-
    $25,000 - $34,999;15,786;5,620;14,595;-;-;-;-
    $35,000 - $49,999;28,068;22,598;4,874;649;14,941;-;-
    $50,000 - $74,999;33,902;22,302;20,836;2,588;1,906;-;-
    $75,000 - $99,999;43,379;22,734;23,126;720;34,070;46;-
    $100,000 - $149,999;61,360;45,392;25,394;-;35,423;-;-
    $150,000 - $199,999;72,915;28,382;65,030;714;1,805;1,118;-
    $200,000 and above;39,942;22,640;37,577;1,583;1,790;-;-
    Did not report;19,873;17,320;8,479;-;-;5,349;71,362
