Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;4,643,155;352,215;3,693,443;442,092;115,476;39,929;1,434,781
Age ;;;;;;;
    18 - 24;531,704;-;519,295;1,558;10,851;-;290,494
    25 - 39;1,497,390;20,017;1,296,140;110,903;64,556;5,773;486,604
    40 - 54;1,471,329;24,439;1,128,947;269,894;13,894;34,155;193,191
    55 - 64;421,358;19,593;345,417;30,173;26,176;-;141,080
    65 and above;721,375;288,166;403,645;29,564;-;-;323,412
Sex ;;;;;;;
    Male;2,180,021;33,280;1,793,155;248,041;71,389;34,155;643,870
    Female;2,463,135;318,934;1,900,289;194,051;44,087;5,773;790,911
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);2,418,569;288,782;1,737,935;326,053;25,870;39,929;425,142
    White alone, not Hispanic;1,217,555;17,673;1,106,410;38,988;54,484;-;531,085
    Black alone, not Hispanic;345,261;25,492;248,036;41,693;30,039;-;88,682
    Asian alone, not Hispanic;466,795;18,146;420,142;23,424;5,084;-;347,598
    Two or more races + Other races, not Hispanic;194,975;2,122;180,920;11,934;-;-;42,273
Education ;;;;;;;
    Less than high school;1,191,294;275,461;617,161;264,517;-;34,155;276,525
    High school or GED;855,839;3,139;800,624;23,873;22,430;5,773;315,003
    Some college/associate’s degree;1,370,167;38,955;1,154,603;108,193;68,416;-;514,195
    Bachelor’s degree or higher;1,225,855;34,660;1,121,056;45,509;24,631;-;329,058
Marital status ;;;;;;;
    Married;1,779,304;27,577;1,401,456;246,899;69,217;34,155;526,747
    Widowed;496,200;274,855;220,347;999;-;-;55,722
    Divorced/separated;653,848;9,989;574,229;66,433;3,197;-;110,266
    Never married;1,704,535;39,794;1,488,145;127,761;43,062;5,773;698,633
    Did not report;9,268;-;9,268;-;-;-;43,412
Presence of children under 18 years old ;;;;;;;
    Children in household;1,747,430;12,769;1,261,397;354,608;78,728;39,929;645,633
    No children;2,895,725;339,446;2,432,047;87,484;36,748;-;789,148
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;3,245,333;334,475;2,372,804;392,380;111,519;34,155;906,748
    No;1,393,016;17,740;1,317,919;47,626;3,957;5,773;502,676
    Did not report;4,806;-;2,720;2,086;-;-;25,357
Respondent currently employed ;;;;;;;
    Yes;2,187,058;297,052;1,658,302;165,562;31,986;34,155;674,515
    No;2,453,390;55,163;2,033,891;276,530;82,033;5,773;729,322
    Did not report;2,707;-;1,250;-;1,457;-;30,944
Household income ;;;;;;;
    Less than $25,000;1,440,473;303,286;977,182;134,401;19,831;5,773;234
    $25,000 - $34,999;748,215;8,348;531,539;163,553;44,776;-;-
    $35,000 - $49,999;472,254;8,854;398,310;56,109;8,980;-;-
    $50,000 - $74,999;595,524;6,364;522,474;59,282;7,403;-;-
    $75,000 - $99,999;483,682;9,132;452,702;20,248;1,600;-;1,529
    $100,000 - $149,999;468,998;1,212;417,145;2,276;14,209;34,155;-
    $150,000 - $199,999;208,249;2,761;201,352;4,137;-;-;-
    $200,000 and above;154,077;12,258;141,819;-;-;-;-
    Did not report;71,683;-;50,919;2,086;18,678;-;1,433,017
