Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;983,676;10,620;747,207;142,641;19,711;63,497;199,926
Age ;;;;;;;
    18 - 24;90,131;-;31,959;8,365;-;49,807;45,753
    25 - 39;463,582;5,445;338,845;103,770;15,522;-;49,022
    40 - 54;291,158;1,346;248,190;27,931;-;13,691;27,807
    55 - 64;59,298;3,428;51,575;2,575;1,721;-;59,689
    65 and above;79,507;401;76,639;-;2,468;-;17,655
Sex ;;;;;;;
    Male;436,196;1,112;299,219;81,805;4,253;49,807;96,224
    Female;547,480;9,508;447,988;60,836;15,458;13,691;103,702
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);217,619;-;106,624;56,301;4,888;49,807;3,866
    White alone, not Hispanic;665,660;10,620;560,260;67,930;13,160;13,691;153,775
    Black alone, not Hispanic;24,061;-;24,061;-;-;-;3,327
    Asian alone, not Hispanic;29,063;-;20,697;8,365;-;-;2,787
    Two or more races + Other races, not Hispanic;47,273;-;35,565;10,045;1,663;-;36,171
Education ;;;;;;;
    Less than high school;41,934;-;23,726;18,209;-;-;17,074
    High school or GED;377,446;7,455;214,567;91,927;-;63,497;80,595
    Some college/associate’s degree;347,668;-;319,973;19,711;7,983;-;77,667
    Bachelor’s degree or higher;216,628;3,165;188,941;12,795;11,727;-;24,590
Marital status ;;;;;;;
    Married;316,999;-;280,968;22,173;13,859;-;103,504
    Widowed;27,029;-;27,029;-;-;-;4,874
    Divorced/separated;196,912;8,090;165,313;5,631;4,189;13,691;26,249
    Never married;442,735;2,530;273,897;114,837;1,663;49,807;64,497
    Did not report;-;-;-;-;-;-;802
Presence of children under 18 years old ;;;;;;;
    Children in household;352,432;5,373;274,651;61,385;11,023;-;88,837
    No children;631,243;5,247;472,556;81,255;8,688;63,497;111,089
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;620,546;6,791;406,450;142,137;15,361;49,807;106,528
    No;363,129;3,829;340,757;504;4,349;13,691;92,597
    Did not report;-;-;-;-;-;-;802
Respondent currently employed ;;;;;;;
    Yes;547,236;3,428;406,132;76,544;11,327;49,807;70,800
    No;436,439;7,192;341,075;66,097;8,384;13,691;128,324
    Did not report;-;-;-;-;-;-;802
Household income ;;;;;;;
    Less than $25,000;358,496;7,689;189,220;111,380;401;49,807;5,751
    $25,000 - $34,999;155,606;-;140,931;985;-;13,691;-
    $35,000 - $49,999;149,300;1,819;131,379;9,782;6,320;-;-
    $50,000 - $74,999;150,735;-;142,220;2,295;6,221;-;-
    $75,000 - $99,999;70,242;1,112;57,103;10,145;1,882;-;-
    $100,000 - $149,999;71,871;-;63,817;8,054;-;-;-
    $150,000 - $199,999;13,223;-;8,335;-;4,888;-;-
    $200,000 and above;14,201;-;14,201;-;-;-;-
    Did not report;-;-;-;-;-;-;194,175
