Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Owner occupied;Did not respond to tenure
;;;Yes;No;Rent was deferred;Did not respond;;
;;;;;;;;
Age ;;;;;;;;
    18 - 24;188,975;-;150,793;31,889;-;6,292;187,727;114,269
    25 - 39;459,927;4,459;317,798;131,432;5,795;441;417,787;137,556
    40 - 54;299,187;6,375;249,171;35,245;8,397;-;559,695;130,081
    55 - 64;255,382;74,460;163,512;13,722;3,689;-;616,469;55,845
    65 and above;218,142;13,404;204,701;38;-;-;432,345;39,303
Sex ;;;;;;;;
    Male;697,637;80,692;541,073;64,655;4,924;6,292;1,146,812;282,778
    Female;723,977;18,005;544,902;147,671;12,957;441;1,067,210;194,277
Hispanic origin and Race ;;;;;;;;
    Hispanic or Latino (may be of any race);704,804;7,709;591,055;96,434;2,872;6,734;974,892;293,403
    White alone, not Hispanic;406,084;12,699;294,393;85,233;13,758;-;869,701;81,782
    Black alone, not Hispanic;203,732;77,163;111,902;13,656;1,010;-;180,199;38,342
    Asian alone, not Hispanic;52,838;1,126;50,192;1,519;-;-;124,113;47,880
    Two or more races + Other races, not Hispanic;54,156;-;38,432;15,483;241;-;65,117;15,646
Education ;;;;;;;;
    Less than high school;277,437;-;229,165;41,979;-;6,292;294,951;153,709
    High school or GED;424,420;79,769;326,064;18,289;298;-;682,595;106,834
    Some college/associate’s degree;514,138;11,720;355,148;139,126;8,144;-;677,744;179,271
    Bachelor’s degree or higher;205,618;7,208;175,598;12,932;9,439;441;558,733;37,240
Marital status ;;;;;;;;
    Married;450,625;2,725;375,732;67,408;4,759;-;1,386,715;233,620
    Widowed;117,934;6,463;108,311;-;3,161;-;166,644;6,681
    Divorced/separated;292,725;82,554;154,071;49,831;5,827;441;287,083;63,419
    Never married;552,117;6,955;442,226;92,509;4,135;6,292;367,522;165,232
    Did not report;8,212;-;5,635;2,577;-;-;6,058;8,102
Presence of children under 18 years old ;;;;;;;;
    Children in household;768,928;77,070;531,136;145,789;8,642;6,292;946,920;288,455
    No children;652,686;21,628;554,839;66,537;9,239;441;1,267,103;188,599
Respondent or household member experienced loss of employment income ;;;;;;;;
    Yes;975,144;75,173;685,171;193,619;14,447;6,734;1,208,932;302,497
    No;440,835;23,524;395,170;18,707;3,434;-;1,005,091;169,008
    Did not report;5,635;-;5,635;-;-;-;-;5,550
Respondent currently employed ;;;;;;;;
    Yes;659,308;13,240;564,784;71,396;3,596;6,292;1,120,471;241,157
    No;756,671;85,457;515,557;140,931;14,285;441;1,093,551;229,455
    Did not report;5,635;-;5,635;-;-;-;-;6,443
Household income ;;;;;;;;
    Less than $25,000;324,929;86,381;211,230;23,591;3,727;-;236,131;-
    $25,000 - $34,999;203,050;2,180;119,472;74,242;7,156;-;231,378;-
    $35,000 - $49,999;223,058;3,413;193,724;25,822;99;-;300,431;-
    $50,000 - $74,999;279,566;5,509;223,990;48,335;1,733;-;364,214;1,730
    $75,000 - $99,999;241,902;811;231,495;9,429;167;-;363,139;-
    $100,000 - $149,999;69,755;-;53,959;11,095;4,701;-;376,598;-
    $150,000 - $199,999;21,292;-;21,292;-;-;-;211,612;-
    $200,000 and above;19,167;-;3,486;15,681;-;-;87,218;452
    Did not report;38,893;405;27,327;4,130;298;6,734;43,302;474,872
