Housing Table 1b. Last Month's Payment Status for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;
Select characteristics;Total;Occupied without rent;Last month’s payment status;Last month’s payment status;Last month’s payment status;Last month’s payment status;Did not report to tenure
;;;Yes;No;Rent was deferred;Did not report;
;;;;;;;
Total;1,508,610;46,923;1,246,364;199,026;10,842;5,456;572,372
Age ;;;;;;;
    18 - 24;174,182;-;154,680;14,420;-;5,081;70,255
    25 - 39;803,044;33,673;686,495;77,259;5,618;-;149,733
    40 - 54;320,870;3,918;229,996;82,973;3,984;-;96,778
    55 - 64;101,523;5,365;86,393;8,524;1,240;-;99,173
    65 and above;108,993;3,968;88,800;15,850;-;375;156,432
Sex ;;;;;;;
    Male;636,911;28,507;501,420;94,218;7,310;5,456;295,134
    Female;871,699;18,416;744,944;104,808;3,531;-;277,238
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);489,264;28,415;380,364;75,858;4,627;-;135,489
    White alone, not Hispanic;586,380;9,921;552,101;15,932;2,969;5,456;178,854
    Black alone, not Hispanic;135,200;499;78,525;56,177;-;-;64,918
    Asian alone, not Hispanic;255,510;6,654;204,146;41,465;3,245;-;121,498
    Two or more races + Other races, not Hispanic;42,256;1,433;31,228;9,594;-;-;71,613
Education ;;;;;;;
    Less than high school;218,818;-;157,949;55,788;-;5,081;119,735
    High school or GED;250,454;16,915;186,934;46,093;512;-;157,847
    Some college/associate’s degree;458,428;10,002;367,127;73,104;8,195;-;164,562
    Bachelor’s degree or higher;580,911;20,006;534,355;24,040;2,135;375;130,228
Marital status ;;;;;;;
    Married;457,294;33,439;355,792;66,190;1,498;375;268,424
    Widowed;2,285;125;2,160;-;-;-;19,220
    Divorced/separated;218,885;3,108;178,782;34,059;2,935;-;74,077
    Never married;828,455;10,251;709,630;97,085;6,408;5,081;179,952
    Did not report;1,691;-;-;1,691;-;-;30,700
Presence of children under 18 years old ;;;;;;;
    Children in household;564,690;18,747;439,025;106,237;682;-;246,244
    No children;943,920;28,176;807,339;92,789;10,160;5,456;326,127
Respondent or household member experienced loss of employment income ;;;;;;;
    Yes;930,824;24,158;730,697;162,576;8,312;5,081;313,630
    No;577,068;22,765;514,948;36,450;2,530;375;232,571
    Did not report;719;-;719;-;-;-;26,171
Respondent currently employed ;;;;;;;
    Yes;841,388;19,919;724,714;83,201;8,098;5,456;205,372
    No;667,222;27,004;521,650;115,825;2,743;-;328,631
    Did not report;-;-;-;-;-;-;38,368
Household income ;;;;;;;
    Less than $25,000;322,310;6,744;249,785;65,269;512;-;-
    $25,000 - $34,999;231,965;27,819;155,582;47,560;1,004;-;-
    $35,000 - $49,999;170,448;5,568;135,040;29,840;-;-;5,727
    $50,000 - $74,999;167,769;1,357;144,790;18,261;3,361;-;3,259
    $75,000 - $99,999;176,757;1,368;144,558;29,118;1,713;-;443
    $100,000 - $149,999;171,419;1,453;160,657;4,682;4,252;375;-
    $150,000 - $199,999;98,950;-;98,599;350;-;-;-
    $200,000 and above;145,943;2,615;143,044;285;-;-;397
    Did not report;23,050;-;14,309;3,660;-;5,081;562,546
