Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Renter occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;296,088;43,624;-;95,786;39,605;117,073;-;-;270,309;36,869
    25 - 39;462,073;42,370;18,065;90,423;149,417;147,482;10,366;3,949;523,434;91,241
    40 - 54;605,477;98,037;53,387;31,840;177,773;233,729;10,710;-;348,259;92,496
    55 - 64;589,976;238,785;5,148;49,626;78,792;209,553;8,073;-;220,242;63,504
    65 and above;730,680;362,198;1,552;79,677;18,992;262,201;2,158;3,903;161,008;85,475
Sex ;;;;;;;;;;
    Male;1,367,273;348,753;57,371;117,179;296,258;541,701;4,260;1,752;829,029;156,554
    Female;1,317,021;436,261;20,780;230,173;168,321;428,338;27,046;6,100;694,221;213,031
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);1,090,268;277,348;66,880;243,167;268,486;219,983;14,403;-;762,114;186,422
    White alone, not Hispanic;1,171,514;432,868;9,609;59,808;90,915;570,535;3,876;3,903;445,968;150,324
    Black alone, not Hispanic;152,957;19,366;-;11,068;25,691;85,188;11,645;-;202,723;14,445
    Asian alone, not Hispanic;211,150;41,164;1,662;33,309;67,194;66,437;1,382;-;54,659;15,877
    Two or more races + Other races, not Hispanic;58,405;14,268;-;-;12,293;27,894;-;3,949;57,787;2,516
Education ;;;;;;;;;;
    Less than high school;671,228;367,253;32,406;144,899;47,476;79,193;-;-;445,161;98,873
    High school or GED;640,730;99,092;15,239;59,400;93,700;364,194;7,352;1,752;435,254;106,488
    Some college/associate’s degree;802,911;178,490;24,072;89,635;235,081;266,431;7,051;2,151;468,132;110,052
    Bachelor’s degree or higher;569,425;140,179;6,434;53,417;88,322;260,220;16,903;3,949;174,703;54,172
Marital status ;;;;;;;;;;
    Married;1,582,078;456,063;61,685;149,981;257,890;643,285;11,024;2,151;623,097;162,943
    Widowed;272,275;184,738;5,039;3,236;2,136;77,125;-;-;22,948;29,135
    Divorced/separated;292,119;55,956;10,257;87,445;59,467;70,363;8,631;-;260,157;85,166
    Never married;530,705;85,995;1,170;106,691;145,086;176,162;11,652;3,949;605,493;80,305
    Did not report;7,117;2,261;-;-;-;3,103;-;1,752;11,556;12,036
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;1,203,767;172,008;71,827;188,361;329,987;428,943;10,889;1,752;956,796;162,684
    No children;1,480,527;613,006;6,324;158,991;134,592;541,096;20,418;6,100;566,454;206,900
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,314,868;241,335;72,821;259,536;327,740;384,441;28,994;-;897,151;159,589
    No;1,365,412;541,418;5,330;87,816;136,839;585,597;2,312;6,100;624,836;187,047
    Did not report;4,014;2,261;-;-;-;-;-;1,752;1,264;22,949
Respondent currently employed ;;;;;;;;;;
    Yes;1,012,622;151,591;42,226;100,749;273,997;437,832;2,277;3,949;747,865;159,271
    No;1,667,659;631,162;35,925;246,604;190,582;532,207;29,029;2,151;775,385;184,215
    Did not report;4,014;2,261;-;-;-;-;-;1,752;-;26,099
Household income ;;;;;;;;;;
    Less than $25,000;342,075;156,959;27,294;80,940;36,699;38,028;2,154;-;245,638;-
    $25,000 - $34,999;270,460;71,820;9,735;81,443;42,932;64,531;-;-;321,371;-
    $35,000 - $49,999;457,911;242,866;16,193;12,984;54,724;129,762;1,382;-;364,887;3,226
    $50,000 - $74,999;359,194;78,602;1,170;46,587;90,122;139,870;2,842;-;241,017;5,148
    $75,000 - $99,999;464,407;103,211;6,899;90,127;80,153;182,425;1,592;-;186,213;-
    $100,000 - $149,999;437,386;67,822;16,860;15,942;95,695;236,170;4,897;-;114,231;-
    $150,000 - $199,999;131,488;25,416;-;3,144;20,127;74,729;8,073;-;8,942;999
    $200,000 and above;138,366;24,434;-;12,520;25,206;65,840;10,366;-;12,704;-
    Did not report;83,007;13,884;-;3,665;18,921;38,685;-;7,853;28,248;360,212
