Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;2,371,043;362,194;106,405;420,157;350,878;1,088,540;29,420;13,449;567,144
Age ;;;;;;;;;
    18 - 24;181,449;46,975;-;15,425;32,555;74,227;1,736;10,531;136,199
    25 - 39;561,388;32,644;28,106;153,650;79,175;250,753;14,992;2,068;155,472
    40 - 54;715,603;46,193;36,079;183,305;113,619;326,877;9,530;-;101,277
    55 - 64;348,307;64,949;15,234;59,790;42,096;164,349;1,039;850;67,669
    65 and above;564,295;171,433;26,986;7,987;83,432;272,334;2,124;-;106,526
Sex ;;;;;;;;;
    Male;1,128,136;215,837;58,108;200,182;146,123;496,628;7,794;3,465;296,151
    Female;1,242,907;146,357;48,296;219,975;204,755;591,913;21,626;9,984;270,993
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);1,303,381;124,152;52,636;364,521;233,526;501,293;19,989;7,265;302,130
    White alone, not Hispanic;758,642;197,875;45,607;48,558;70,956;387,247;7,064;1,333;143,142
    Black alone, not Hispanic;167,312;8,821;-;1,061;12,710;144,567;-;153;40,199
    Asian alone, not Hispanic;99,435;26,694;6,669;3,886;18,211;40,374;2,367;1,233;57,772
    Two or more races + Other races, not Hispanic;42,273;4,653;1,492;2,130;15,474;15,059;-;3,465;23,901
Education ;;;;;;;;;
    Less than high school;449,637;41,641;43,539;97,367;88,186;178,904;-;-;139,333
    High school or GED;639,002;81,818;16,474;131,498;132,751;245,772;20,157;10,531;207,911
    Some college/associate’s degree;724,885;134,438;29,557;176,874;90,274;288,030;4,378;1,333;148,591
    Bachelor’s degree or higher;557,519;104,298;16,834;14,418;39,667;375,834;4,884;1,585;71,308
Marital status ;;;;;;;;;
    Married;1,406,357;176,851;62,303;294,460;164,135;681,104;26,457;1,048;219,312
    Widowed;83,769;30,642;-;2,191;13,777;36,439;721;-;21,094
    Divorced/separated;261,282;58,379;19,908;16,745;35,957;126,976;2,084;1,233;81,121
    Never married;616,567;93,254;24,194;106,761;137,009;244,022;158;11,168;235,281
    Did not report;3,068;3,068;-;-;-;-;-;-;10,336
Presence of children under 18 years old ;;;;;;;;;
    Children in household;915,853;74,189;79,950;202,534;112,097;410,186;25,377;11,520;294,222
    No children;1,455,190;288,006;26,455;217,623;238,781;678,354;4,043;1,929;272,922
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;1,407,434;164,395;104,537;380,894;184,932;540,425;20,036;12,216;333,267
    No;962,986;197,799;1,868;39,263;165,946;547,494;9,384;1,233;224,692
    Did not report;622;-;-;-;-;622;-;-;9,185
Respondent currently employed ;;;;;;;;;
    Yes;1,102,666;120,282;39,976;214,831;115,658;584,297;26,191;1,431;234,704
    No;1,268,376;241,913;66,428;205,325;235,220;504,243;3,229;12,018;322,179
    Did not report;-;-;-;-;-;-;-;-;10,260
Household income ;;;;;;;;;
    Less than $25,000;253,124;47,428;47,409;100,187;19,700;38,400;-;-;1,654
    $25,000 - $34,999;403,187;48,710;6,759;124,868;159,599;63,251;-;-;180
    $35,000 - $49,999;195,901;54,709;14,242;19,484;20,893;83,679;2,895;-;-
    $50,000 - $74,999;422,558;54,472;27,015;50,596;40,718;230,496;19,262;-;-
    $75,000 - $99,999;395,581;67,970;3,929;63,807;41,943;215,711;2,220;-;1,762
    $100,000 - $149,999;309,406;35,592;4,642;56,986;35,191;173,787;3,208;-;-
    $150,000 - $199,999;220,449;16,639;-;2,916;17,024;183,711;158;-;-
    $200,000 and above;95,223;17,122;2,409;-;696;74,399;596;-;-
    Did not report;75,614;19,552;-;1,313;15,113;25,106;1,081;13,449;563,548
