Standard Error Housing Table 2a. Confidence in Ability to Make Next Month's Payment for Owner-Occupied Housing Units, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older in Owner-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Owned free and clear;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Confidence in ability to pay next month's mortgage;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;159,509;97,007;32,184;34,070;97,483;100,597;19,874;3,062;119,476
Age ;;;;;;;;;
    18 - 24;65,378;56,150;-;-;26,935;19,279;-;-;69,204
    25 - 39;74,798;7,770;26,326;17,652;17,678;61,209;3,263;3,062;48,089
    40 - 54;93,129;20,627;18,690;28,728;79,257;47,673;11,039;-;47,479
    55 - 64;74,648;72,498;1,418;7,672;41,878;33,349;10,253;-;15,835
    65 and above;79,003;32,552;2,389;7,823;16,373;69,244;13,122;-;53,109
Sex ;;;;;;;;;
    Male;147,861;70,513;21,893;18,903;92,448;91,613;14,764;-;96,697
    Female;104,609;74,828;25,696;30,775;25,942;57,531;13,972;3,062;59,976
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);166,067;94,355;27,690;25,234;89,781;91,651;16,248;3,062;96,239
    White alone, not Hispanic;65,545;38,617;5,142;24,432;13,770;38,780;1,989;-;41,364
    Black alone, not Hispanic;53,966;12,342;3,319;-;8,506;52,190;-;-;16,264
    Asian alone, not Hispanic;32,684;20,627;14,285;8,983;14,643;10,591;10,650;-;40,174
    Two or more races + Other races, not Hispanic;30,523;10,932;7,178;3,999;24,493;12,599;2,002;-;23,266
Education ;;;;;;;;;
    Less than high school;100,103;14,336;26,157;10,569;91,337;14,955;-;-;64,239
    High school or GED;113,204;86,230;10,077;26,644;35,684;71,049;17,314;3,062;73,957
    Some college/associate’s degree;60,140;27,982;16,558;13,085;19,493;41,513;9,860;-;41,393
    Bachelor’s degree or higher;75,875;40,194;3,767;16,778;19,320;62,088;3,689;-;9,918
Marital status ;;;;;;;;;
    Married;130,986;44,256;23,208;34,010;87,467;89,783;11,488;3,062;46,186
    Widowed;26,145;8,686;-;2,119;8,214;13,201;13,852;-;1,967
    Divorced/separated;81,496;69,680;21,873;1,486;12,323;31,051;9,544;-;15,828
    Never married;71,357;56,602;9,579;1,010;30,949;27,639;793;-;110,127
    Did not report;15,119;13,455;-;-;2,394;6,175;-;-;9,114
Presence of children under 18 years old ;;;;;;;;;
    Children in household;134,626;21,411;30,953;24,392;90,985;81,250;17,612;3,062;87,542
    No children;113,648;93,998;8,949;25,670;23,776;74,192;9,639;-;77,572
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;125,440;73,670;27,526;33,666;86,383;62,778;19,801;3,062;98,419
    No;111,497;63,928;16,694;8,626;55,257;88,396;1,627;-;55,600
    Did not report;-;-;-;-;-;-;-;-;7,580
Respondent currently employed ;;;;;;;;;
    Yes;104,080;41,411;15,773;30,646;81,017;71,425;9,826;-;51,781
    No;130,962;88,504;29,004;18,978;64,754;72,941;17,624;3,062;105,542
    Did not report;-;-;-;-;-;-;-;-;8,454
Household income ;;;;;;;;;
    Less than $25,000;31,490;17,460;3,746;4,436;15,967;18,979;-;-;-
    $25,000 - $34,999;93,644;14,246;16,451;27,809;94,977;17,757;-;-;-
    $35,000 - $49,999;44,166;18,590;10,336;3,093;28,310;17,113;2,067;-;-
    $50,000 - $74,999;104,766;92,079;3,731;12,470;29,308;65,516;16,201;-;-
    $75,000 - $99,999;53,769;30,990;21,202;7,690;22,661;32,651;1,923;-;-
    $100,000 - $149,999;39,408;20,132;15,902;6,634;11,656;25,044;1,606;-;806
    $150,000 - $199,999;36,891;5,017;3,319;15,177;9,956;29,901;10,869;-;-
    $200,000 and above;53,278;6,462;-;-;3,654;52,806;3,263;-;-
    Did not report;13,862;6,995;-;2,726;4,371;10,498;-;3,062;119,553
