Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;722,534;-;23,804;115,397;272,890;310,442;-;-;164,016;142,606
    25 - 39;2,551,319;106,226;259,798;393,334;709,764;1,024,395;57,802;-;1,116,427;286,568
    40 - 54;1,280,791;105,381;235,930;194,431;166,622;487,474;39,974;50,979;1,171,634;327,344
    55 - 64;387,524;15,426;55,768;76,243;90,775;149,312;-;-;907,400;124,750
    65 and above;354,809;7,388;11,175;7,118;47,227;211,660;577;69,664;1,450,721;76,733
Sex ;;;;;;;;;;
    Male;2,711,773;202,434;314,343;296,908;578,743;1,236,967;82,378;-;2,319,121;367,385
    Female;2,585,203;31,988;272,133;489,614;708,536;946,316;15,974;120,643;2,491,077;590,616
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);2,427,407;83,561;426,270;342,937;715,475;791,851;3,050;64,263;1,685,942;500,536
    White alone, not Hispanic;1,363,351;38,815;116,700;151,894;239,365;727,803;32,395;56,380;1,607,098;196,935
    Black alone, not Hispanic;434,714;82,647;15,138;40,305;116,701;117,447;62,476;-;195,759;96,348
    Asian alone, not Hispanic;870,297;26,155;10,937;170,059;171,206;491,941;-;-;1,143,524;155,725
    Two or more races + Other races, not Hispanic;201,208;3,244;17,431;81,328;44,532;54,241;431;-;177,873;8,458
Education ;;;;;;;;;;
    Less than high school;899,932;114,611;107,359;112,042;200,866;274,305;-;90,747;709,542;127,610
    High school or GED;1,424,809;32,090;260,257;304,647;181,285;601,069;20,541;24,921;823,615;298,355
    Some college/associate’s degree;1,708,266;31,493;165,379;268,177;587,679;580,621;69,942;4,975;1,229,814;320,388
    Bachelor’s degree or higher;1,263,969;56,227;53,481;101,657;317,448;727,287;7,869;-;2,047,226;211,649
Marital status ;;;;;;;;;;
    Married;1,706,773;37,969;295,227;201,274;313,673;778,213;32,765;47,652;3,260,740;430,181
    Widowed;29,562;-;-;-;15,705;13,857;-;-;183,414;28,503
    Divorced/separated;936,572;21,850;90,212;220,083;172,942;367,319;7,786;56,380;463,478;162,180
    Never married;2,570,158;142,513;201,037;365,165;775,505;1,011,524;57,802;16,611;853,942;302,045
    Did not report;53,911;32,090;-;-;9,453;12,369;-;-;48,623;35,092
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;2,422,038;175,426;244,610;361,143;493,250;1,069,653;31,953;46,003;1,990,851;447,244
    No children;2,874,938;58,995;341,866;425,380;794,029;1,113,630;66,399;74,639;2,819,347;510,758
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;3,476,297;45,333;522,283;684,264;884,581;1,134,555;97,921;107,358;2,358,537;593,911
    No;1,811,574;189,088;64,192;102,258;402,698;1,039,622;431;13,284;2,450,360;308,422
    Did not report;9,105;-;-;-;-;9,105;-;-;1,300;55,668
Respondent currently employed ;;;;;;;;;;
    Yes;2,772,151;49,304;150,670;291,662;773,424;1,429,269;72,847;4,975;2,870,334;368,983
    No;2,518,389;185,118;435,806;488,424;513,854;754,014;25,506;115,668;1,933,177;533,350
    Did not report;6,436;-;-;6,436;-;-;-;-;6,687;55,668
Household income ;;;;;;;;;;
    Less than $25,000;1,312,192;127,333;226,998;257,333;358,417;329,898;577;11,636;373,969;-
    $25,000 - $34,999;765,538;33,557;162,170;127,435;202,798;237,765;1,812;-;366,474;-
    $35,000 - $49,999;683,112;9,849;36,204;87,425;198,139;350,628;868;-;462,875;-
    $50,000 - $74,999;931,204;40,780;135,494;155,231;258,454;314,307;26,938;-;811,275;2,908
    $75,000 - $99,999;639,823;8,283;13,243;129,485;72,250;357,432;59,129;-;576,578;-
    $100,000 - $149,999;463,894;-;2,186;19,739;78,915;299,355;7,321;56,380;745,996;-
    $150,000 - $199,999;202,849;6,685;1,864;1,348;69,998;121,246;1,708;-;594,741;-
    $200,000 and above;81,728;4,072;-;1,558;10,919;65,179;-;-;791,963;-
    Did not report;216,636;3,862;8,316;6,969;37,390;107,473;-;52,627;86,327;955,093
