Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,202,876;69,779;77,351;173,337;230,662;647,570;3,037;1,140;292,215
Age ;;;;;;;;;
    18 - 24;107,914;19,170;3,035;2,856;16,468;66,384;-;-;42,554
    25 - 39;495,073;26,626;36,262;79,319;70,505;278,184;3,037;1,140;104,048
    40 - 54;290,830;4,741;23,999;83,171;86,677;92,242;-;-;57,271
    55 - 64;152,641;6,987;12,952;6,407;35,994;90,301;-;-;40,865
    65 and above;156,418;12,254;1,104;1,584;21,017;120,458;-;-;47,478
Sex ;;;;;;;;;
    Male;535,419;47,413;46,185;64,739;137,217;237,447;2,417;-;168,795
    Female;667,457;22,366;31,166;108,598;93,444;410,123;620;1,140;123,420
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);203,442;28,797;19,902;47,855;21,749;85,139;-;-;47,494
    White alone, not Hispanic;816,782;36,680;48,387;114,015;124,826;489,838;3,037;-;211,433
    Black alone, not Hispanic;58,812;-;4,666;2,439;24,590;27,117;-;-;498
    Asian alone, not Hispanic;47,681;3,136;-;4,530;32,899;5,977;-;1,140;6,007
    Two or more races + Other races, not Hispanic;76,159;1,166;4,397;4,498;26,598;39,500;-;-;26,783
Education ;;;;;;;;;
    Less than high school;95,865;-;34,119;32,498;5,240;24,007;-;-;27,877
    High school or GED;447,041;46,403;14,121;63,318;81,636;241,563;-;-;67,213
    Some college/associate’s degree;401,478;13,373;16,977;64,997;85,962;215,993;3,037;1,140;134,744
    Bachelor’s degree or higher;258,492;10,004;12,134;12,523;57,825;166,007;-;-;62,381
Marital status ;;;;;;;;;
    Married;358,364;18,223;23,423;48,069;56,692;211,958;-;-;121,975
    Widowed;105,996;521;-;8,160;1,972;95,343;-;-;9,682
    Divorced/separated;267,504;18,386;38,729;42,921;54,218;110,833;2,417;-;34,072
    Never married;461,433;32,649;15,200;64,950;117,438;229,437;620;1,140;117,756
    Did not report;9,579;-;-;9,237;342;-;-;-;8,730
Presence of children under 18 years old ;;;;;;;;;
    Children in household;430,888;40,475;40,416;82,340;57,921;207,319;2,417;-;138,189
    No children;771,988;29,304;36,935;90,997;172,740;440,251;620;1,140;154,026
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;655,888;28,242;65,883;154,321;143,244;262,437;620;1,140;146,240
    No;546,988;41,537;11,468;19,016;87,418;385,133;2,417;-;138,790
    Did not report;-;-;-;-;-;-;-;-;7,185
Respondent currently employed ;;;;;;;;;
    Yes;656,108;15,093;15,631;97,235;121,134;402,837;3,037;1,140;146,285
    No;546,768;54,686;61,720;76,101;109,527;244,733;-;-;138,410
    Did not report;-;-;-;-;-;-;-;-;7,520
Household income ;;;;;;;;;
    Less than $25,000;401,954;39,335;43,202;48,993;47,878;222,547;-;-;-
    $25,000 - $34,999;193,605;9,145;16,175;40,933;54,226;73,126;-;-;-
    $35,000 - $49,999;188,170;7,408;15,268;51,999;27,147;83,931;2,417;-;-
    $50,000 - $74,999;190,057;2,891;1,022;23,766;43,529;118,228;620;-;317
    $75,000 - $99,999;107,428;670;295;1,392;33,774;71,297;-;-;576
    $100,000 - $149,999;65,238;-;-;6,253;4,242;54,742;-;-;93
    $150,000 - $199,999;19,356;-;-;-;6,635;12,721;-;-;-
    $200,000 and above;15,271;3,940;-;-;6,798;4,533;-;-;-
    Did not report;21,798;6,390;1,389;-;6,433;6,446;-;1,140;291,229
