Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;84,540;-;-;32,656;15,397;36,488;-;-;60,686;75,656
    25 - 39;779,212;7,020;43,150;93,915;118,662;513,047;-;3,417;347,957;81,048
    40 - 54;262,903;13,867;15,596;23,488;72,594;137,357;-;-;456,383;71,591
    55 - 64;161,593;8,929;28,337;17,945;25,391;80,991;-;-;409,633;65,697
    65 and above;77,423;3,812;-;2,483;25,359;41,319;4,450;-;465,643;31,095
Sex ;;;;;;;;;;
    Male;642,484;8,355;63,971;78,447;97,948;389,313;4,450;-;970,753;165,614
    Female;723,187;25,273;23,113;92,041;159,455;419,888;-;3,417;769,550;159,472
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);230,439;11,018;11,516;34,207;66,669;103,614;-;3,417;236,678;88,582
    White alone, not Hispanic;662,480;14,113;40,344;19,524;105,663;478,385;4,450;-;819,707;88,532
    Black alone, not Hispanic;163,993;3,920;8,906;56,233;22,355;72,579;-;-;33,926;27,731
    Asian alone, not Hispanic;192,913;3,767;10,468;56,755;33,494;88,430;-;-;554,348;62,083
    Two or more races + Other races, not Hispanic;115,846;810;15,850;3,769;29,222;66,195;-;-;95,644;58,158
Education ;;;;;;;;;;
    Less than high school;61,242;4,806;30,412;23,389;2,634;-;-;-;23,411;41,474
    High school or GED;232,542;3,550;18,639;64,419;46,568;99,366;-;-;172,824;67,822
    Some college/associate’s degree;408,883;18,067;26,566;47,521;89,545;223,767;-;3,417;483,189;94,809
    Bachelor’s degree or higher;663,003;7,204;11,467;35,158;118,655;486,069;4,450;-;1,060,878;120,981
Marital status ;;;;;;;;;;
    Married;485,733;11,596;16,705;30,073;86,772;336,137;4,450;-;1,171,025;132,734
    Widowed;24,979;-;481;7,936;14,613;1,949;-;-;84,311;8,631
    Divorced/separated;144,484;12,601;4,727;13,855;35,033;74,850;-;3,417;124,496;30,725
    Never married;708,448;9,431;65,171;118,623;118,957;396,265;-;-;334,442;133,621
    Did not report;2,027;-;-;-;2,027;-;-;-;26,029;19,375
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;430,053;13,391;28,301;85,571;88,664;210,709;-;3,417;616,492;105,435
    No children;935,617;20,237;58,783;84,917;168,738;598,493;4,450;-;1,123,811;219,651
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;686,945;28,557;80,552;150,267;173,457;246,246;4,450;3,417;770,950;122,906
    No;678,725;5,071;6,532;20,221;83,945;562,956;-;-;966,926;187,719
    Did not report;-;-;-;-;-;-;-;-;2,427;14,461
Respondent currently employed ;;;;;;;;;;
    Yes;886,475;11,176;51,056;66,397;164,927;585,052;4,450;3,417;1,043,397;149,203
    No;478,090;22,452;36,029;102,985;92,475;224,150;-;-;696,906;161,422
    Did not report;1,106;-;-;1,106;-;-;-;-;-;14,461
Household income ;;;;;;;;;;
    Less than $25,000;116,622;13,328;5,732;44,714;29,349;23,500;-;-;94,250;2,532
    $25,000 - $34,999;124,594;5,435;-;51,199;8,938;59,021;-;-;49,899;-
    $35,000 - $49,999;144,765;3,508;32,120;17,930;39,325;51,883;-;-;82,088;-
    $50,000 - $74,999;143,657;-;13,034;33,602;46,157;50,865;-;-;211,895;-
    $75,000 - $99,999;168,738;2,126;5,006;6,045;32,480;123,080;-;-;143,611;8,116
    $100,000 - $149,999;288,991;5,681;31,192;12,710;53,267;186,140;-;-;331,752;-
    $150,000 - $199,999;99,435;-;-;3,215;15,494;80,726;-;-;233,956;885
    $200,000 and above;255,269;-;-;1,074;23,282;226,463;4,450;-;535,054;-
    Did not report;23,599;3,550;-;-;9,109;7,523;-;3,417;57,796;313,553
