Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,673,680;20,411;194,119;264,616;443,022;716,222;32,330;2,961;287,442
Age ;;;;;;;;;
    18 - 24;107,049;-;-;-;33,502;58,909;14,638;-;24,597
    25 - 39;854,473;10,997;145,796;196,349;74,834;413,751;11,759;989;94,792
    40 - 54;324,172;3,115;45,159;60,617;98,076;111,273;5,933;-;76,487
    55 - 64;339,397;592;3,164;7,649;216,230;109,790;-;1,972;27,424
    65 and above;48,588;5,707;-;-;20,380;22,500;-;-;64,141
Sex ;;;;;;;;;
    Male;673,093;1,433;70,260;68,272;66,269;436,680;28,207;1,972;154,247
    Female;1,000,587;18,978;123,859;196,344;376,753;279,542;4,124;989;133,195
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);455,363;3,115;65,517;152,053;61,210;153,325;18,172;1,972;58,522
    White alone, not Hispanic;641,519;15,369;63,829;38,559;73,983;435,621;14,158;-;124,549
    Black alone, not Hispanic;278,962;-;60,881;2,794;186,167;29,120;-;-;20,275
    Asian alone, not Hispanic;207,291;1,433;1,405;26,401;86,194;90,870;-;989;50,133
    Two or more races + Other races, not Hispanic;90,545;494;2,488;44,810;35,468;7,286;-;-;33,963
Education ;;;;;;;;;
    Less than high school;290,144;-;105,591;12,588;167,633;4,332;-;-;30,513
    High school or GED;340,803;3,388;33,964;128,120;88,556;83,241;3,534;-;72,789
    Some college/associate’s degree;394,862;13,617;26,509;57,728;122,253;172,783;-;1,972;49,463
    Bachelor’s degree or higher;647,871;3,406;28,055;66,180;64,579;455,866;28,796;989;134,677
Marital status ;;;;;;;;;
    Married;578,523;15,915;35,793;83,638;38,679;377,111;26,397;989;103,106
    Widowed;8,844;-;-;-;8,591;253;-;-;3,388
    Divorced/separated;199,250;4,001;21,784;3,465;76,813;89,653;3,534;-;73,248
    Never married;887,063;494;136,542;177,512;318,939;249,205;2,399;1,972;104,514
    Did not report;-;-;-;-;-;-;-;-;3,187
Presence of children under 18 years old ;;;;;;;;;
    Children in household;620,371;10,997;104,204;54,509;225,305;224,367;-;989;131,061
    No children;1,053,308;9,414;89,914;210,106;217,716;491,855;32,330;1,972;156,381
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;932,464;13,617;168,584;178,314;222,947;334,299;14,704;-;122,786
    No;740,513;6,794;24,833;86,302;220,075;381,923;17,626;2,961;160,883
    Did not report;702;-;702;-;-;-;-;-;3,773
Respondent currently employed ;;;;;;;;;
    Yes;971,839;12,475;74,245;149,579;102,345;602,426;28,796;1,972;169,774
    No;701,138;7,935;119,171;115,037;340,677;113,796;3,534;989;113,895
    Did not report;702;-;702;-;-;-;-;-;3,773
Household income ;;;;;;;;;
    Less than $25,000;359,683;592;49,790;28,342;248,762;30,225;-;1,972;4,475
    $25,000 - $34,999;143,359;3,115;20,584;104,828;4,485;10,347;-;-;-
    $35,000 - $49,999;232,360;4,274;55,831;58,930;72,423;37,368;3,534;-;-
    $50,000 - $74,999;118,653;494;5,278;13,159;18,082;81,640;-;-;-
    $75,000 - $99,999;171,105;10,502;56,522;37,213;19,397;47,470;-;-;-
    $100,000 - $149,999;256,204;-;968;20,777;21,838;200,862;11,759;-;-
    $150,000 - $199,999;112,107;-;-;1,366;18,112;77,991;14,638;-;1,366
    $200,000 and above;247,235;1,433;-;-;18,055;225,347;2,399;-;-
    Did not report;32,973;-;5,147;-;21,867;4,972;-;989;281,601
