Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Owner occupied;Did not respond to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not respond;;
;;;;;;;;;;
Age ;;;;;;;;;;
    18 - 24;95,093;-;23,127;44,430;8,714;14,501;154;4,168;101,716;114,565
    25 - 39;776,191;3,915;115,480;170,144;100,536;383,356;2,700;61;309,958;257,679
    40 - 54;406,236;73,487;42,755;45,932;101,824;130,231;6,558;5,449;481,064;180,971
    55 - 64;147,387;12,298;12,145;27,134;46,505;48,990;314;-;300,047;37,323
    65 and above;131,796;3,317;24,426;1,278;17,871;84,557;347;-;880,824;53,755
Sex ;;;;;;;;;;
    Male;604,624;17,058;113,148;54,311;88,346;325,531;3,669;2,561;1,051,545;282,499
    Female;952,078;75,959;104,783;234,608;187,103;336,104;6,405;7,116;1,022,064;361,794
Hispanic origin and Race ;;;;;;;;;;
    Hispanic or Latino (may be of any race);616,616;70,841;74,565;216,032;70,726;181,189;375;2,888;190,908;202,425
    White alone, not Hispanic;575,731;8,357;115,919;16,087;110,323;321,909;3,136;-;970,551;83,635
    Black alone, not Hispanic;74,361;267;1,403;4,294;33,934;30,715;1,187;2,561;72,950;143,694
    Asian alone, not Hispanic;245,690;11,809;23,886;40,255;58,011;107,438;123;4,168;762,686;127,724
    Two or more races + Other races, not Hispanic;44,305;1,743;2,159;12,250;2,456;20,383;5,253;61;76,513;86,817
Education ;;;;;;;;;;
    Less than high school;238,638;71,514;114,236;12,669;27,001;6,162;-;7,055;19,837;273,739
    High school or GED;333,828;2,042;26,799;141,313;90,370;69,798;944;2,561;410,813;123,818
    Some college/associate’s degree;387,147;5,276;64,609;89,377;69,483;156,942;1,460;-;529,052;107,196
    Bachelor’s degree or higher;597,089;14,184;12,287;45,559;88,595;428,734;7,670;61;1,113,908;139,540
Marital status ;;;;;;;;;;
    Married;497,532;13,019;78,015;40,610;71,663;282,313;6,464;5,449;1,404,768;173,934
    Widowed;14,976;233;518;11,127;2,810;289;-;-;106,673;11,175
    Divorced/separated;256,188;74,802;20,179;31,417;48,046;81,256;487;-;260,686;127,978
    Never married;787,541;4,921;119,220;205,483;152,931;297,715;3,044;4,228;298,369;321,217
    Did not report;465;42;-;282;-;63;79;-;3,115;9,988
Presence of children under 18 years old ;;;;;;;;;;
    Children in household;489,022;75,515;80,955;55,641;67,077;193,837;6,381;9,616;648,639;317,981
    No children;1,067,680;17,502;136,977;233,277;208,372;467,798;3,693;61;1,424,971;326,313
Respondent or household member experienced loss of employment income ;;;;;;;;;;
    Yes;1,030,052;77,454;212,949;256,858;223,209;252,714;3,980;2,888;582,583;327,024
    No;526,650;15,563;4,982;32,061;52,240;408,921;6,094;6,789;1,490,641;301,677
    Did not report;-;-;-;-;-;-;-;-;385;15,592
Respondent currently employed ;;;;;;;;;;
    Yes;696,377;16,384;8,656;83,957;110,531;462,067;7,994;6,789;921,917;292,973
    No;858,306;76,633;209,275;204,962;164,919;197,549;2,080;2,888;1,151,423;335,230
    Did not report;2,019;-;-;-;-;2,019;-;-;269;16,091
Household income ;;;;;;;;;;
    Less than $25,000;236,585;76,534;70,304;47,532;28,362;12,208;1,647;-;192,912;1,634
    $25,000 - $34,999;236,016;8,918;24,773;149,140;25,885;26,789;512;-;59,262;-
    $35,000 - $49,999;204,167;419;4,604;23,291;102,710;73,021;123;-;137,221;-
    $50,000 - $74,999;113,048;3,877;27,362;42,753;7,385;30,485;1,187;-;322,801;296
    $75,000 - $99,999;127,147;2,213;3,499;3,382;52,507;65,546;-;-;214,265;-
    $100,000 - $149,999;277,709;113;85,650;19,950;41,941;130,055;-;-;363,426;260
    $150,000 - $199,999;115,751;500;1,029;2,286;3,171;108,628;137;-;153,398;560
    $200,000 and above;231,190;444;137;-;11,253;213,164;6,193;-;581,336;-
    Did not report;15,089;-;574;586;2,236;1,740;276;9,677;48,988;641,543
