Housing Table 2b. Confidence in Ability to Make Next Month's Payment for Renter-Occupied Housing Units, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;;
Total Population 18 Years and Older in Renter-Occupied Housing Units;;;;;;;;;
Select characteristics;Total;Occupied without rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Confidence to pay next month’s rent;Did not report to tenure
;;;No confidence;Slight confidence;Moderate confidence;High confidence;Payment is/will be deferred;Did not report;
;;;;;;;;;
Total;1,109,070;37,318;64,580;142,934;253,298;592,834;12,057;6,048;218,977
Age ;;;;;;;;;
    18 - 24;73,313;-;-;-;10,865;58,115;4,332;-;20,568
    25 - 39;639,109;35,761;3,165;82,391;151,502;365,400;-;889;131,358
    40 - 54;219,275;-;12,484;41,604;72,042;87,872;1,211;4,062;38,659
    55 - 64;89,893;1,557;19,805;16,456;17,619;33,360;-;1,097;18,057
    65 and above;87,481;-;29,127;2,483;1,270;48,087;6,513;-;10,334
Sex ;;;;;;;;;
    Male;505,734;35,397;1,870;85,132;139,256;235,580;6,513;1,986;151,338
    Female;603,336;1,921;62,710;57,802;114,043;357,254;5,543;4,062;67,638
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);160,550;29,281;31,786;29,503;20,287;38,848;10,845;-;57,883
    White alone, not Hispanic;705,696;1,921;27,392;80,635;128,680;459,809;1,211;6,048;116,006
    Black alone, not Hispanic;26,816;-;959;3,700;-;22,156;-;-;885
    Asian alone, not Hispanic;133,185;6,116;2,995;23,213;56,281;44,580;-;-;28,319
    Two or more races + Other races, not Hispanic;82,823;-;1,448;5,883;48,050;27,441;-;-;15,882
Education ;;;;;;;;;
    Less than high school;88,910;-;43,529;-;-;45,381;-;-;-
    High school or GED;249,034;-;8,536;108,389;67,446;60,601;-;4,062;87,557
    Some college/associate’s degree;396,209;37,318;8,237;23,173;124,147;195,609;7,724;-;44,379
    Bachelor’s degree or higher;374,917;-;4,278;11,372;61,705;291,244;4,332;1,986;87,041
Marital status ;;;;;;;;;
    Married;480,793;6,116;31,360;51,071;109,175;280,970;1,211;889;118,302
    Widowed;15,408;1,557;-;-;-;13,851;-;-;631
    Divorced/separated;171,099;364;30,391;19,130;45,326;69,375;6,513;-;19,512
    Never married;438,167;29,281;2,830;72,733;98,797;225,034;4,332;5,159;72,231
    Did not report;3,603;-;-;-;-;3,603;-;-;8,300
Presence of children under 18 years old ;;;;;;;;;
    Children in household;304,884;6,480;55,890;24,258;56,835;161,421;-;-;52,947
    No children;804,186;30,838;8,690;118,676;196,464;431,413;12,057;6,048;166,029
Respondent or household member experienced loss of employment income ;;;;;;;;;
    Yes;568,827;35,761;61,245;69,889;180,943;214,619;1,211;5,159;84,367
    No;540,243;1,557;3,336;73,045;72,355;378,215;10,845;889;129,600
    Did not report;-;-;-;-;-;-;-;-;5,009
Respondent currently employed ;;;;;;;;;
    Yes;687,202;30,838;10,107;46,833;187,105;399,488;10,845;1,986;180,935
    No;421,868;6,480;54,473;96,101;66,194;193,347;1,211;4,062;33,032
    Did not report;-;-;-;-;-;-;-;-;5,009
Household income ;;;;;;;;;
    Less than $25,000;86,601;-;36,338;8,241;23,298;18,724;-;-;40,286
    $25,000 - $34,999;210,498;6,480;1,870;85,684;35,602;80,862;-;-;-
    $35,000 - $49,999;123,299;29,281;2,377;5,422;18,345;63,543;4,332;-;-
    $50,000 - $74,999;207,180;1,557;22,783;31,525;57,419;93,896;-;-;13,660
    $75,000 - $99,999;144,182;-;-;5,988;77,998;60,196;-;-;-
    $100,000 - $149,999;213,813;-;-;6,074;28,607;176,823;1,211;1,097;-
    $150,000 - $199,999;68,240;-;-;-;12,029;55,321;-;889;-
    $200,000 and above;42,523;-;-;-;-;42,523;-;-;-
    Did not report;12,735;-;1,213;-;-;947;6,513;4,062;165,031
