Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;1,217,173;725,035;479,203;12,935;331,829;872,408;12,935
    25 - 39;3,502,316;2,586,798;908,719;6,799;1,874,525;1,568,483;59,308
    40 - 54;3,114,318;2,019,240;1,093,323;1,756;1,680,197;1,432,381;1,741
    55 - 64;1,517,782;786,434;725,193;6,155;665,251;846,437;6,095
    65 and above;1,822,815;743,085;1,068,589;11,141;734,373;1,074,514;13,928
Sex ;;;;;;;
    Male;5,679,861;3,843,406;1,817,758;18,697;3,076,263;2,585,574;18,024
    Female;5,494,543;3,017,185;2,457,270;20,089;2,209,911;3,208,649;75,983
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);4,979,215;3,666,614;1,305,149;7,452;2,890,901;2,023,884;64,431
    White alone, not Hispanic;3,489,184;1,960,930;1,516,275;11,980;1,258,726;2,219,564;10,894
    Black alone, not Hispanic;561,520;295,106;249,721;16,693;304,933;239,894;16,693
    Asian alone, not Hispanic;1,758,269;783,573;972,035;2,661;702,456;1,053,825;1,989
    Two or more races + Other races, not Hispanic;386,216;154,369;231,847;-;129,160;257,056;-
Education ;;;;;;;
    Less than high school;2,044,863;1,475,295;563,070;6,498;1,440,116;598,248;6,498
    High school or GED;2,566,950;1,860,412;685,184;21,354;1,470,400;1,023,008;73,542
    Some college/associate’s degree;3,024,155;1,835,014;1,181,073;8,068;1,157,003;1,856,357;10,795
    Bachelor’s degree or higher;3,538,436;1,689,870;1,845,701;2,865;1,218,655;2,316,609;3,172
Marital status ;;;;;;;
    Married;4,782,576;3,153,071;1,627,519;1,986;2,385,226;2,394,769;2,581
    Widowed;207,730;83,350;124,380;-;72,208;133,390;2,131
    Divorced/separated;1,380,308;717,115;663,194;-;597,673;730,401;52,234
    Never married;4,625,170;2,891,172;1,733,937;60;2,215,184;2,409,665;321
    Did not report;178,621;15,883;125,998;36,739;15,883;125,998;36,739
Presence of children under 18 years old ;;;;;;;
    Children in household;4,127,412;2,559,179;1,567,477;757;2,099,939;1,974,542;52,931
    No children;7,046,992;4,301,412;2,707,551;38,029;3,186,235;3,819,681;41,076
Health status ;;;;;;;
    Excellent;1,848,918;1,011,691;837,227;-;710,034;1,138,884;-
    Very good;3,112,314;1,755,143;1,356,145;1,025;1,438,914;1,618,468;54,932
    Good;3,051,175;1,950,208;1,100,294;673;1,492,418;1,558,710;46
    Fair;1,726,092;1,393,197;332,895;-;1,156,939;567,472;1,681
    Poor;209,781;98,912;110,809;60;91,148;118,633;-
    Did not report;1,226,124;651,440;537,657;37,028;396,721;792,055;37,348
Household income ;;;;;;;
    Less than $25,000;1,450,771;884,322;565,776;673;699,269;751,502;-
    $25,000 - $34,999;1,641,906;1,325,850;316,055;-;1,190,005;451,900;-
    $35,000 - $49,999;830,349;490,581;339,768;-;407,061;423,288;-
    $50,000 - $74,999;1,186,253;774,305;411,947;-;477,244;705,151;3,858
    $75,000 - $99,999;1,590,504;1,062,233;528,272;-;986,836;603,056;612
    $100,000 - $149,999;1,148,245;540,151;608,094;-;402,484;745,761;-
    $150,000 - $199,999;569,630;285,229;284,401;-;205,192;364,438;-
    $200,000 and above;954,483;406,377;548,105;-;273,402;681,081;-
    Did not report;1,802,263;1,091,541;672,609;38,113;644,681;1,068,045;89,537
