Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Oregon;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;181,156;134,573;46,583;-;38,064;143,092;-
    25 - 39;1,043,833;637,195;404,727;1,911;503,776;537,931;2,126
    40 - 54;765,206;480,863;282,175;2,169;331,599;431,413;2,194
    55 - 64;537,320;265,252;271,208;861;208,384;328,423;513
    65 and above;775,211;221,726;551,352;2,133;151,424;614,533;9,254
Sex ;;;;;;;
    Male;1,614,146;896,385;715,419;2,342;668,730;936,399;9,017
    Female;1,688,581;843,223;840,626;4,733;564,518;1,118,993;5,070
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);378,921;219,521;157,182;2,218;214,633;162,070;2,218
    White alone, not Hispanic;2,563,559;1,314,435;1,244,423;4,701;895,066;1,657,139;11,354
    Black alone, not Hispanic;53,482;44,790;8,692;-;28,118;25,364;-
    Asian alone, not Hispanic;107,514;50,930;56,429;156;40,837;66,163;515
    Two or more races + Other races, not Hispanic;199,250;109,933;89,318;-;54,594;144,657;-
Education ;;;;;;;
    Less than high school;323,934;242,953;80,982;-;147,948;175,986;-
    High school or GED;765,486;433,096;327,951;4,440;282,877;478,169;4,440
    Some college/associate’s degree;1,168,256;659,609;507,078;1,568;473,791;686,337;8,128
    Bachelor’s degree or higher;1,045,050;403,949;640,034;1,067;328,631;714,899;1,519
Marital status ;;;;;;;
    Married;1,740,086;819,937;918,460;1,689;602,084;1,129,373;8,629
    Widowed;81,866;16,921;64,898;47;22,068;59,797;-
    Divorced/separated;540,499;333,153;207,346;-;186,508;353,966;25
    Never married;920,109;563,709;356,400;-;420,546;499,563;-
    Did not report;20,167;5,888;8,940;5,339;2,042;12,693;5,432
Presence of children under 18 years old ;;;;;;;
    Children in household;1,180,896;792,810;387,416;669;541,658;638,548;690
    No children;2,121,831;946,797;1,168,629;6,405;691,590;1,416,844;13,397
Health status ;;;;;;;
    Excellent;694,904;355,497;338,897;510;215,174;479,705;25
    Very good;1,099,312;538,781;559,443;1,088;356,341;741,291;1,680
    Good;880,162;496,843;382,362;957;395,836;476,557;7,768
    Fair;292,674;198,571;94,104;-;158,651;133,930;93
    Poor;82,246;43,444;38,802;-;40,697;41,549;-
    Did not report;253,429;106,472;142,437;4,520;66,548;182,360;4,520
Household income ;;;;;;;
    Less than $25,000;427,317;255,160;172,157;-;219,966;207,236;115
    $25,000 - $34,999;292,143;184,829;107,313;-;161,465;123,655;7,023
    $35,000 - $49,999;407,649;256,003;151,646;-;204,651;202,854;144
    $50,000 - $74,999;510,407;245,691;263,497;1,219;164,756;344,787;864
    $75,000 - $99,999;500,136;271,251;228,884;-;149,514;350,596;25
    $100,000 - $149,999;504,995;248,704;256,136;154;160,618;344,163;215
    $150,000 - $199,999;152,847;51,859;100,988;-;41,114;111,733;-
    $200,000 and above;154,829;74,604;80,131;93;49,936;104,893;-
    Did not report;352,406;151,506;195,292;5,608;81,229;265,475;5,701
