Standard Error Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;261,828;212,076;158,583;8,483;168,338;229,583;8,567
Age ;;;;;;;
    18 - 24;162,104;130,286;111,554;-;64,121;152,780;-
    25 - 39;124,823;100,569;84,125;3,459;67,988;115,045;3,770
    40 - 54;131,855;119,201;53,728;1,620;109,760;64,298;2,202
    55 - 64;92,857;90,813;66,504;563;92,521;76,573;563
    65 and above;117,068;84,708;81,522;6,773;75,418;100,856;6,773
Sex ;;;;;;;
    Male;242,980;177,354;147,404;6,773;126,229;224,708;6,773
    Female;167,582;139,898;76,373;3,889;124,922;113,426;3,888
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);204,763;164,070;142,443;1,835;134,949;164,178;1,835
    White alone, not Hispanic;178,353;148,064;58,958;7,175;85,058;146,961;7,209
    Black alone, not Hispanic;68,214;29,693;66,737;-;30,358;67,402;1,709
    Asian alone, not Hispanic;58,872;45,109;38,511;1,058;45,186;43,341;1,058
    Two or more races + Other races, not Hispanic;64,748;26,930;53,061;-;48,305;39,154;-
Education ;;;;;;;
    Less than high school;151,740;115,495;92,880;-;110,450;99,856;-
    High school or GED;195,305;183,713;136,249;6,750;108,632;190,375;6,989
    Some college/associate’s degree;85,521;75,435;56,470;3,744;68,450;55,586;3,744
    Bachelor’s degree or higher;78,737;50,297;58,137;1,114;38,948;65,365;2,064
Marital status ;;;;;;;
    Married;169,663;133,624;110,401;342;119,914;142,074;1,750
    Widowed;80,809;77,232;15,980;-;77,162;16,506;-
    Divorced/separated;99,207;87,604;52,793;-;82,200;59,136;1,544
    Never married;201,025;155,400;120,196;-;98,776;172,314;-
    Did not report;18,468;2,891;16,216;8,471;2,891;16,216;8,471
Presence of children under 18 years old ;;;;;;;
    Children in household;168,667;155,403;118,115;563;120,333;149,659;563
    No children;225,872;196,435;96,781;8,440;137,562;180,587;8,520
Health status ;;;;;;;
    Excellent;119,806;102,219;60,242;-;52,035;107,807;-
    Very good;124,144;83,548;90,488;1,611;42,031;112,685;2,343
    Good;167,721;154,574;94,810;-;111,885;136,683;-
    Fair;94,669;77,797;59,350;-;70,857;65,320;-
    Poor;87,794;81,574;32,552;-;70,292;56,428;-
    Did not report;97,237;71,592;54,931;7,202;68,969;62,222;7,239
Household income ;;;;;;;
    Less than $25,000;101,656;87,368;41,902;-;83,366;47,577;-
    $25,000 - $34,999;122,603;116,584;75,184;-;88,017;96,518;-
    $35,000 - $49,999;113,416;106,242;45,152;-;23,845;110,474;-
    $50,000 - $74,999;114,566;86,063;94,340;-;82,046;99,112;-
    $75,000 - $99,999;73,336;58,713;51,371;-;53,305;59,019;-
    $100,000 - $149,999;45,180;36,515;29,300;1,058;29,561;35,988;1,058
    $150,000 - $199,999;37,581;33,607;17,223;-;21,213;29,159;-
    $200,000 and above;54,871;14,338;52,408;-;13,832;52,911;-
    Did not report;150,205;123,867;60,441;7,580;85,759;125,289;7,677
