Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not respond;Yes;No;Did not respond
;;;;;;;
Age ;;;;;;;
    18 - 24;220,882;104,035;116,847;-;113,715;107,168;-
    25 - 39;1,208,217;602,494;604,037;1,686;578,501;628,030;1,686
    40 - 54;790,877;353,979;430,615;6,283;315,537;469,057;6,283
    55 - 64;636,922;355,715;277,167;4,041;193,863;437,595;5,464
    65 and above;574,161;164,577;404,705;4,879;166,531;404,269;3,361
Sex ;;;;;;;
    Male;1,778,851;802,618;964,257;11,976;648,502;1,118,012;12,337
    Female;1,652,209;778,184;869,113;4,912;719,645;928,107;4,457
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);555,699;288,188;261,773;5,737;280,001;269,960;5,737
    White alone, not Hispanic;1,570,718;726,870;836,990;6,859;612,318;953,059;5,341
    Black alone, not Hispanic;225,650;117,987;107,663;-;80,102;145,548;-
    Asian alone, not Hispanic;809,345;317,803;487,250;4,292;267,125;536,503;5,716
    Two or more races + Other races, not Hispanic;269,648;129,953;139,695;-;128,599;141,049;-
Education ;;;;;;;
    Less than high school;126,128;92,836;33,292;-;52,112;74,016;-
    High school or GED;473,188;301,438;171,749;-;248,942;224,246;-
    Some college/associate’s degree;986,881;505,497;475,103;6,281;458,882;521,718;6,281
    Bachelor’s degree or higher;1,844,863;681,030;1,153,226;10,607;608,211;1,226,139;10,513
Marital status ;;;;;;;
    Married;1,789,492;744,177;1,040,890;4,424;595,016;1,191,115;3,361
    Widowed;117,921;49,976;67,945;-;38,666;79,254;-
    Divorced/separated;299,705;153,167;146,538;-;106,439;193,266;-
    Never married;1,176,511;618,980;557,077;455;620,866;555,645;-
    Did not report;47,431;14,501;20,920;12,009;7,159;26,838;13,433
Presence of children under 18 years old ;;;;;;;
    Children in household;1,151,980;616,738;535,242;-;510,830;639,726;1,424
    No children;2,279,079;964,063;1,298,128;16,888;857,316;1,406,393;15,370
Health status ;;;;;;;
    Excellent;893,186;283,156;608,967;1,063;342,008;551,178;-
    Very good;1,183,767;574,634;608,224;909;490,038;691,396;2,333
    Good;795,043;465,465;329,577;-;313,675;481,367;-
    Fair;255,112;152,026;102,632;455;126,569;128,543;-
    Poor;21,589;8,695;12,894;-;12,459;9,130;-
    Did not report;282,363;96,826;171,076;14,461;83,397;184,505;14,461
Household income ;;;;;;;
    Less than $25,000;213,405;159,970;53,435;-;109,361;104,044;-
    $25,000 - $34,999;174,493;103,132;71,361;-;61,830;112,663;-
    $35,000 - $49,999;226,854;163,679;63,175;-;136,981;89,873;-
    $50,000 - $74,999;355,553;188,190;167,363;-;170,197;185,356;-
    $75,000 - $99,999;320,465;124,924;195,540;-;200,511;119,954;-
    $100,000 - $149,999;620,743;265,743;353,635;1,364;232,648;387,185;909
    $150,000 - $199,999;334,277;152,958;181,319;-;133,858;198,995;1,424
    $200,000 and above;790,323;264,489;524,770;1,063;187,378;602,945;-
    Did not report;394,948;157,716;222,771;14,461;135,382;245,105;14,461
