Employment Table 1. Experienced and Expected Loss of Employment Income, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;
Total Population 18 Years and Older;;;;;;;
Select characteristics;Total;Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Experienced loss of employment income since March 13, 2020 (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member);Expected loss of employment income in next 4-weeks (for self or household member)
;;Yes;No;Did not report;Yes;No;Did not report
;;;;;;;
Total;3,324,775;1,523,500;1,791,602;9,672;1,013,694;2,300,682;10,399
Age ;;;;;;;
    18 - 24;293,776;162,592;131,184;-;77,491;216,285;-
    25 - 39;1,218,951;566,901;646,518;5,532;441,050;772,370;5,532
    40 - 54;824,674;404,965;417,791;1,918;213,770;608,987;1,918
    55 - 64;481,087;298,541;181,022;1,524;202,831;276,181;2,074
    65 and above;506,287;90,501;415,086;699;78,553;426,859;875
Sex ;;;;;;;
    Male;1,680,894;789,782;885,193;5,919;547,575;1,127,399;5,919
    Female;1,643,881;733,719;906,409;3,753;466,119;1,173,283;4,480
Hispanic origin and Race ;;;;;;;
    Hispanic or Latino (may be of any race);355,833;173,772;180,320;1,740;145,895;208,197;1,740
    White alone, not Hispanic;2,150,117;945,853;1,197,666;6,598;561,025;1,582,319;6,774
    Black alone, not Hispanic;174,047;75,068;98,979;-;58,074;115,973;-
    Asian alone, not Hispanic;389,378;160,278;228,227;872;133,178;255,327;872
    Two or more races + Other races, not Hispanic;255,401;168,529;86,410;462;115,522;138,866;1,012
Education ;;;;;;;
    Less than high school;338,337;215,514;122,823;-;162,853;175,484;-
    High school or GED;792,565;435,194;357,372;-;229,908;562,657;-
    Some college/associate’s degree;926,372;469,178;449,544;7,650;342,337;575,836;8,200
    Bachelor’s degree or higher;1,267,501;403,615;861,863;2,023;278,596;986,706;2,199
Marital status ;;;;;;;
    Married;1,643,327;738,761;904,474;92;441,677;1,201,557;92
    Widowed;102,848;25,634;77,214;-;30,534;72,314;-
    Divorced/separated;405,698;173,482;229,995;2,221;101,425;301,326;2,947
    Never married;1,151,364;572,422;576,678;2,264;427,538;721,562;2,264
    Did not report;21,537;13,201;3,241;5,096;12,519;3,923;5,096
Presence of children under 18 years old ;;;;;;;
    Children in household;1,063,250;454,294;608,162;794;320,451;742,005;794
    No children;2,261,525;1,069,206;1,183,440;8,879;693,243;1,558,677;9,605
Health status ;;;;;;;
    Excellent;797,722;274,599;523,124;-;235,010;562,712;-
    Very good;1,135,666;479,490;655,176;1,001;303,736;830,930;1,001
    Good;667,151;374,835;292,316;-;205,226;461,749;176
    Fair;316,769;230,152;86,616;-;162,933;153,835;-
    Poor;44,830;14,500;30,329;-;15,150;29,680;-
    Did not report;362,637;149,924;204,041;8,672;91,639;261,776;9,222
Household income ;;;;;;;
    Less than $25,000;314,656;185,582;129,074;-;189,561;125,095;-
    $25,000 - $34,999;251,483;122,644;128,839;-;69,624;181,859;-
    $35,000 - $49,999;181,095;93,921;87,174;-;82,150;98,945;-
    $50,000 - $74,999;359,167;221,766;137,401;-;150,304;208,863;-
    $75,000 - $99,999;430,408;234,839;194,569;1,001;124,673;304,735;1,001
    $100,000 - $149,999;575,910;269,635;306,275;-;171,441;404,469;-
    $150,000 - $199,999;240,851;88,598;152,253;-;46,656;194,195;-
    $200,000 and above;472,623;99,584;373,038;-;60,815;411,808;-
    Did not report;498,582;206,932;282,978;8,672;118,469;370,714;9,398
