Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;1,217,173;11,679;430,552;18,158;45,395;4,877;1,880;691,697;12,935
    25 - 39;3,502,316;123,168;1,638,638;228,791;118,293;40,133;15,272;1,331,223;6,799
    40 - 54;3,114,318;308,157;1,036,651;156,403;98,332;21,212;9,875;1,449,461;34,227
    55 - 64;1,517,782;96,025;529,457;29,835;116,174;76,782;1,340;662,073;6,095
    65 and above;1,822,815;28,046;146,798;28,361;37,490;8,223;8,790;1,554,991;10,116
Sex ;;;;;;;;;
    Male;5,679,861;209,492;1,899,708;94,708;264,766;86,906;7,982;3,098,276;18,024
    Female;5,494,543;357,584;1,882,389;366,840;150,917;64,320;29,175;2,591,170;52,148
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);4,979,215;223,349;1,579,733;117,442;73,223;109,258;19,530;2,816,431;40,250
    White alone, not Hispanic;3,489,184;166,118;1,210,070;188,943;119,361;24,857;10,200;1,758,395;11,240
    Black alone, not Hispanic;561,520;38,517;276,383;2,611;48,211;368;4,672;174,065;16,693
    Asian alone, not Hispanic;1,758,269;129,855;620,490;88,796;153,675;15,928;2,755;744,782;1,989
    Two or more races + Other races, not Hispanic;386,216;9,237;95,422;63,756;21,213;815;-;195,773;-
Education ;;;;;;;;;
    Less than high school;2,044,863;62,547;332,819;31,781;70,300;80,497;6,771;1,420,851;39,296
    High school or GED;2,566,950;49,774;729,590;14,506;11,596;16,043;19,505;1,704,583;21,354
    Some college/associate’s degree;3,024,155;99,136;1,283,220;68,387;168,918;32,827;8,425;1,356,872;6,370
    Bachelor’s degree or higher;3,538,436;355,618;1,436,468;346,874;164,870;21,859;2,456;1,207,139;3,151
Marital status ;;;;;;;;;
    Married;4,782,576;297,965;1,277,597;158,113;195,316;21,357;15,817;2,815,835;577
    Widowed;207,730;29,285;30,684;2,660;453;7,593;125;136,929;-
    Divorced/separated;1,380,308;77,192;491,122;77,182;16,968;12,030;7,785;665,172;32,856
    Never married;4,625,170;162,565;1,978,671;223,593;202,946;110,245;13,430;1,933,720;-
    Did not report;178,621;69;4,023;-;-;-;-;137,789;36,739
Presence of children under 18 years old ;;;;;;;;;
    Children in household;4,127,412;233,654;1,604,877;156,752;124,221;94,273;10,810;1,868,985;33,841
    No children;7,046,992;333,422;2,177,220;304,796;291,462;56,953;26,347;3,820,461;36,331
Health status ;;;;;;;;;
    Excellent;1,848,918;78,869;823,283;125,324;64,252;21,493;2,644;732,996;57
    Very good;3,112,314;243,090;1,157,008;159,618;110,081;8,870;8,886;1,424,761;-
    Good;3,051,175;111,409;1,129,863;155,145;192,867;25,615;8,771;1,427,505;-
    Fair;1,726,092;52,801;257,943;10,682;26,901;73,225;-;1,304,541;-
    Poor;209,781;24,366;17,687;510;12,286;-;-;154,932;-
    Did not report;1,226,124;56,541;396,313;10,270;9,298;22,023;16,856;644,710;70,115
Household income ;;;;;;;;;
    Less than $25,000;1,450,771;7,130;258,499;44,024;108,767;77,339;-;955,012;-
    $25,000 - $34,999;1,641,906;7,548;493,106;20,071;105,441;4,820;-;1,010,919;-
    $35,000 - $49,999;830,349;80,508;198,488;94,894;6,845;8,268;3,078;438,268;-
    $50,000 - $74,999;1,186,253;55,805;424,026;53,183;43,072;4,423;23,269;582,473;-
    $75,000 - $99,999;1,590,504;172,027;464,163;28,929;33,735;4,526;431;886,694;-
    $100,000 - $149,999;1,148,245;65,437;433,609;88,122;27,415;11,095;774;521,736;57
    $150,000 - $199,999;569,630;24,301;317,301;29,909;9,190;8,336;1,094;179,500;-
    $200,000 and above;954,483;54,055;474,261;63,614;61,501;4,366;445;296,241;-
    Did not report;1,802,263;100,265;718,644;38,802;19,717;28,051;8,066;818,603;70,115
