Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Oregon;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,302,727;252,398;960,137;183,582;243,276;81,762;19,593;1,550,084;11,895
Age ;;;;;;;;;
    18 - 24;274,451;36,247;56,156;15,638;14,074;7,382;8,806;136,148;-
    25 - 39;930,568;77,996;445,825;64,691;45,546;23,233;970;269,678;2,629
    40 - 54;774,451;76,979;237,943;58,483;99,974;20,770;8,179;268,718;3,405
    55 - 64;541,808;39,334;158,017;20,532;50,777;17,229;1,639;254,279;-
    65 and above;781,449;21,842;62,197;24,237;32,905;13,148;-;621,261;5,860
Sex ;;;;;;;;;
    Male;1,614,146;75,250;559,121;58,516;115,878;44,154;1,248;755,268;4,711
    Female;1,688,581;177,148;401,016;125,066;127,398;37,608;18,345;794,816;7,183
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);378,921;30,742;154,499;9,480;21,944;6,016;5,839;148,292;2,110
    White alone, not Hispanic;2,563,559;194,036;729,723;161,410;178,299;56,293;3,638;1,231,854;8,307
    Black alone, not Hispanic;54,892;8,035;22,672;3,648;1,463;-;737;18,337;-
    Asian alone, not Hispanic;98,273;7,330;22,930;5,818;9,244;707;574;50,193;1,478
    Two or more races + Other races, not Hispanic;207,082;12,256;30,314;3,227;32,326;18,745;8,806;101,409;-
Education ;;;;;;;;;
    Less than high school;185,230;2,905;65,305;-;13,413;7,066;-;96,541;-
    High school or GED;904,960;44,648;243,832;28,588;53,110;25,491;4,913;498,562;5,816
    Some college/associate’s degree;1,167,615;47,237;339,514;52,757;74,662;33,236;11,303;606,165;2,741
    Bachelor’s degree or higher;1,044,922;157,608;311,486;102,238;102,090;15,969;3,377;348,816;3,338
Marital status ;;;;;;;;;
    Married;1,669,524;120,983;566,265;101,787;144,559;25,837;8,640;698,676;2,777
    Widowed;124,317;3,373;7,062;931;1,461;8,287;-;103,202;-
    Divorced/separated;568,843;39,407;108,560;48,385;37,763;4,699;177;329,853;-
    Never married;924,437;88,634;276,306;32,059;59,000;42,939;10,776;414,436;287
    Did not report;15,606;-;1,944;421;493;-;-;3,917;8,831
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,097,861;99,902;391,076;49,992;93,412;33,112;8,932;416,779;4,656
    No children;2,204,866;152,496;569,061;133,590;149,864;48,650;10,661;1,133,306;7,238
Health status ;;;;;;;;;
    Excellent;536,012;52,054;167,744;42,313;52,518;15,132;-;204,897;1,354
    Very good;1,033,566;88,905;372,740;83,724;76,476;18,341;13,539;379,840;-
    Good;909,049;67,671;266,007;30,533;67,372;30,012;1,497;445,958;-
    Fair;412,509;28,906;59,054;8,621;16,172;10,771;4,558;283,237;1,191
    Poor;79,559;3,184;5,525;-;-;-;-;70,850;-
    Did not report;332,032;11,678;89,067;18,391;30,738;7,506;-;165,302;9,350
Household income ;;;;;;;;;
    Less than $25,000;393,512;14,032;71,070;17,430;27,453;2,769;1,000;259,399;359
    $25,000 - $34,999;328,226;32,197;96,530;2,410;18,623;2,126;1,220;175,120;-
    $35,000 - $49,999;423,196;24,288;77,594;25,141;25,901;11,566;1,093;256,422;1,191
    $50,000 - $74,999;473,493;32,782;151,768;21,046;25,021;17,568;4,011;221,296;-
    $75,000 - $99,999;373,124;36,645;122,346;25,476;39,283;3,117;-;146,256;-
    $100,000 - $149,999;451,715;52,639;160,769;47,032;32,769;8,497;2,625;146,387;995
    $150,000 - $199,999;184,547;26,961;73,068;7,910;12,517;8,491;-;55,599;-
    $200,000 and above;163,941;7,246;62,090;15,366;19,633;12,738;574;46,293;-
    Did not report;510,975;25,607;144,901;21,771;42,076;14,889;9,069;243,312;9,350
