Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;4,260,691;508,054;1,065,628;124,927;243,458;264,826;24,512;2,014,392;14,895
Age ;;;;;;;;;
    18 - 24;363,066;46,198;104,285;-;-;-;-;212,582;-
    25 - 39;1,180,493;203,873;514,425;21,544;38,610;10,401;8,557;376,483;6,600
    40 - 54;1,021,389;87,820;278,994;38,678;96,181;7,240;10,062;499,114;3,299
    55 - 64;748,414;150,300;130,029;47,944;87,810;374;2,098;325,402;4,457
    65 and above;947,330;19,862;37,894;16,761;20,858;246,811;3,796;600,811;539
Sex ;;;;;;;;;
    Male;2,391,226;315,541;612,433;33,899;165,664;257,893;13,798;985,926;6,071
    Female;1,869,466;192,513;453,195;91,029;77,793;6,933;10,714;1,028,466;8,823
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);1,899,471;102,285;556,996;71,950;100,426;246,269;12,363;798,600;10,581
    White alone, not Hispanic;1,325,048;147,231;316,051;28,246;66,168;9,378;10,180;744,267;3,526
    Black alone, not Hispanic;425,364;214,767;55,502;11,615;33,605;-;-;109,876;-
    Asian alone, not Hispanic;353,822;25,078;66,409;12,790;6,900;-;1,968;239,890;787
    Two or more races + Other races, not Hispanic;256,986;18,694;70,670;326;36,359;9,178;-;121,759;-
Education ;;;;;;;;;
    Less than high school;1,062,675;9,899;86,036;39,441;53,030;242,902;-;621,096;10,270
    High school or GED;936,498;50,421;318,577;10,523;53,267;11,462;11,813;478,294;2,141
    Some college/associate’s degree;1,339,342;105,572;457,086;27,041;65,027;3,199;8,714;671,598;1,105
    Bachelor’s degree or higher;922,176;342,161;203,929;47,922;72,134;7,262;3,985;243,404;1,379
Marital status ;;;;;;;;;
    Married;2,263,650;346,747;507,425;65,139;119,426;251,074;18,492;948,747;6,600
    Widowed;165,159;11,326;9,201;1,578;28,150;880;-;114,023;-
    Divorced/separated;634,938;53,128;98,443;40,308;44,482;5,293;129;392,876;279
    Never married;1,182,693;96,854;450,016;17,789;51,399;7,578;5,890;551,026;2,141
    Did not report;14,251;-;543;112;-;-;-;7,720;5,875
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,713,337;170,699;581,996;46,730;99,069;7,240;3,872;802,989;740
    No children;2,547,355;337,355;483,632;78,197;144,388;257,585;20,640;1,211,403;14,155
Health status ;;;;;;;;;
    Excellent;607,122;96,043;221,536;24,782;55,646;6,014;572;202,530;-
    Very good;914,852;188,561;231,684;22,087;30,608;5,851;8,856;427,206;-
    Good;1,031,305;91,494;249,436;60,463;101,413;10,059;6,910;511,529;-
    Fair;484,384;33,893;108,623;7,517;33,870;-;6,652;293,829;-
    Poor;204,172;2,799;50,336;1,776;8,874;-;-;140,386;-
    Did not report;1,018,856;95,264;204,013;8,302;13,046;242,902;1,523;438,912;14,895
Household income ;;;;;;;;;
    Less than $25,000;543,772;16,203;62,907;1,687;13,649;709;-;448,616;-
    $25,000 - $34,999;450,284;13,288;106,086;17,317;74,293;-;4,368;234,933;-
    $35,000 - $49,999;308,407;11,844;111,093;29,301;7,938;-;3,638;144,593;-
    $50,000 - $74,999;443,701;44,311;61,187;17,687;52,582;7,230;2,441;258,263;-
    $75,000 - $99,999;516,438;22,667;227,051;17,896;18,013;4,590;8,686;217,535;-
    $100,000 - $149,999;421,332;99,735;140,368;16,517;36,722;-;3,856;124,133;-
    $150,000 - $199,999;285,485;177,560;46,037;7,288;13,512;2,842;-;38,246;-
    $200,000 and above;111,653;8,672;65,273;4,170;9,896;6,553;-;17,090;-
    Did not report;1,179,619;113,774;245,626;13,064;16,852;242,902;1,523;530,983;14,895
