Standard Error Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;261,828;73,517;184,176;58,369;80,662;18,847;7,918;197,186;9,258
Age ;;;;;;;;;
    18 - 24;162,104;36,462;127,153;-;-;13,680;8,148;118,055;-
    25 - 39;124,823;22,546;90,115;54,701;4,142;1,646;5,649;78,694;5,020
    40 - 54;131,855;32,185;58,456;17,992;74,903;12,207;2,974;91,469;1,620
    55 - 64;92,857;35,766;24,730;4,283;25,185;744;783;90,668;563
    65 and above;117,068;5,788;8,516;3,143;14,246;2,505;-;113,212;6,750
Sex ;;;;;;;;;
    Male;242,980;62,593;166,283;52,623;77,788;18,686;8,418;161,640;6,750
    Female;167,582;38,800;62,053;24,014;18,658;4,270;5,901;147,922;5,318
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);204,763;54,674;110,783;15,870;77,149;12,006;5,719;169,190;3,982
    White alone, not Hispanic;178,353;28,599;122,941;16,004;21,782;3,780;8,480;105,667;7,151
    Black alone, not Hispanic;68,214;9,726;12,305;53,733;2,859;6,343;1,064;44,485;-
    Asian alone, not Hispanic;58,872;16,495;17,605;1,700;1,419;10,520;-;55,145;1,058
    Two or more races + Other races, not Hispanic;64,748;14,811;44,578;3,053;9,534;6,463;-;29,052;-
Education ;;;;;;;;;
    Less than high school;151,740;4,469;71,678;6,258;75,252;10,423;5,649;120,319;3,115
    High school or GED;195,305;41,204;142,324;6,715;14,904;1,255;2,683;139,719;6,750
    Some college/associate’s degree;85,521;45,515;46,454;4,750;15,469;13,721;8,189;66,318;3,744
    Bachelor’s degree or higher;78,737;35,949;24,727;56,210;9,494;6,489;1,323;29,587;1,058
Marital status ;;;;;;;;;
    Married;169,663;49,322;112,441;56,563;79,397;12,839;7,902;113,180;3,115
    Widowed;80,809;7,034;28,162;-;6,128;-;-;73,432;-
    Divorced/separated;99,207;17,827;39,379;4,770;5,928;2,314;498;83,570;-
    Never married;201,025;38,542;124,836;13,031;17,511;13,599;-;160,220;-
    Did not report;18,468;6,175;2,394;-;-;-;-;15,361;8,471
Presence of children under 18 years old ;;;;;;;;;
    Children in household;168,667;43,001;128,728;19,221;79,071;11,966;6,432;140,854;3,179
    No children;225,872;52,634;131,948;54,546;20,448;14,356;8,186;146,151;8,427
Health status ;;;;;;;;;
    Excellent;119,806;23,523;84,966;54,008;17,832;6,513;379;49,431;-
    Very good;124,144;28,168;80,122;4,631;11,554;2,838;8,148;97,960;1,611
    Good;167,721;30,626;137,535;19,104;75,656;12,656;1,247;115,513;-
    Fair;94,669;4,842;36,475;3,668;12,105;1,255;-;81,204;-
    Poor;87,794;31,738;2,646;-;-;-;-;84,878;-
    Did not report;97,237;34,643;29,322;7,852;14,377;12,006;6,328;81,511;8,122
Household income ;;;;;;;;;
    Less than $25,000;101,656;5,426;37,535;766;18,031;-;-;82,702;-
    $25,000 - $34,999;122,603;16,011;89,243;3,356;76,015;170;-;93,434;-
    $35,000 - $49,999;113,416;6,554;105,470;1,518;3,921;1,255;567;43,066;-
    $50,000 - $74,999;114,566;26,728;40,032;9,407;3,658;10,520;8,148;111,042;-
    $75,000 - $99,999;73,336;34,897;48,168;11,122;9,177;2,017;-;48,286;-
    $100,000 - $149,999;45,180;18,767;21,699;4,762;8,225;6,513;602;27,897;1,058
    $150,000 - $199,999;37,581;25,466;9,073;15,460;2,390;-;1,023;14,892;-
    $200,000 and above;54,871;13,447;11,059;52,953;3,770;-;-;6,353;-
    Did not report;150,205;35,218;88,354;7,660;15,778;13,735;6,328;106,258;8,454
