Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not respond
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not respond;;
;;;;;;;;;
Age ;;;;;;;;;
    18 - 24;220,882;3,484;82,506;9,679;9,679;-;-;115,535;-
    25 - 39;1,208,217;130,347;469,293;154,916;35,765;28,039;13,250;374,921;1,686
    40 - 54;790,877;83,725;378,604;66,708;36,770;1,784;8,205;207,694;7,388
    55 - 64;636,922;108,632;214,218;44,334;39,495;5,960;-;220,243;4,041
    65 and above;574,161;52,107;40,594;18,100;41,821;1,063;-;418,024;2,452
Sex ;;;;;;;;;
    Male;1,778,851;182,539;711,205;146,945;87,520;33,390;650;605,688;10,913
    Female;1,652,209;195,755;474,009;146,791;76,010;3,456;20,805;730,730;4,654
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);555,699;61,445;203,117;46,608;29,463;10,312;12,033;186,984;5,737
    White alone, not Hispanic;1,570,718;113,394;598,091;109,703;78,334;4,519;-;662,245;4,432
    Black alone, not Hispanic;225,650;48,071;27,422;27,722;15,650;-;1,112;105,673;-
    Asian alone, not Hispanic;809,345;124,656;261,846;88,053;30,455;6,165;8,310;285,567;4,292
    Two or more races + Other races, not Hispanic;269,648;30,727;94,738;21,650;9,628;15,850;-;95,949;1,106
Education ;;;;;;;;;
    Less than high school;126,128;-;46,324;-;-;-;-;79,804;-
    High school or GED;473,188;47,557;89,369;41,814;10,018;15,850;10,612;257,967;-
    Some college/associate’s degree;986,881;77,668;280,778;67,961;59,420;11,984;2,533;479,150;7,387
    Bachelor’s degree or higher;1,844,863;253,069;768,743;183,961;94,091;9,012;8,310;519,497;8,180
Marital status ;;;;;;;;;
    Married;1,789,492;242,001;677,383;111,359;106,136;19,119;17,028;614,014;2,452
    Widowed;117,921;28,551;8,517;986;2,554;-;-;77,313;-
    Divorced/separated;299,705;27,219;88,234;39,325;23,086;1,672;-;120,168;-
    Never married;1,176,511;80,523;409,053;141,157;26,745;16,055;4,426;497,446;1,106
    Did not report;47,431;-;2,027;909;5,009;-;-;27,477;12,009
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,151,980;137,995;449,029;94,732;46,630;23,594;15,172;383,723;1,106
    No children;2,279,079;240,299;736,185;199,004;116,900;13,252;6,283;952,695;14,461
Health status ;;;;;;;;;
    Excellent;893,186;82,577;413,304;70,466;39,738;1,268;10,150;275,684;-
    Very good;1,183,767;130,607;390,677;121,523;72,188;22,702;7,660;438,410;-
    Good;795,043;106,797;230,239;72,304;22,388;11,204;3,645;348,464;-
    Fair;255,112;13,492;93,535;14,098;16,236;-;-;116,645;1,106
    Poor;21,589;-;-;-;3,597;-;-;17,992;-
    Did not report;282,363;44,821;57,460;15,344;9,382;1,672;-;139,224;14,461
Household income ;;;;;;;;;
    Less than $25,000;213,405;816;57,277;5,351;18,422;-;-;130,434;1,106
    $25,000 - $34,999;174,493;9,210;48,013;28,398;5,691;205;1,112;81,865;-
    $35,000 - $49,999;226,854;29,526;46,590;12,321;1,475;15,850;-;121,091;-
    $50,000 - $74,999;355,553;76,749;54,276;64,958;21,042;10,312;9,500;118,716;-
    $75,000 - $99,999;320,465;40,544;76,471;21,503;16,830;-;-;165,117;-
    $100,000 - $149,999;620,743;72,085;217,360;69,913;26,592;892;781;233,119;-
    $150,000 - $199,999;334,277;40,825;131,010;21,579;24,515;712;-;115,636;-
    $200,000 and above;790,323;62,625;445,692;51,052;32,352;7,203;7,528;183,869;-
    Did not report;394,948;45,913;108,525;18,661;16,611;1,672;2,533;186,572;14,461
