Standard Error Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 6.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;195,733;38,743;137,384;25,008;43,323;16,739;3,280;130,282;13,992
Age ;;;;;;;;;
    18 - 24;74,229;22,064;42,625;7,831;-;-;-;51,920;-
    25 - 39;117,899;21,250;116,832;12,646;20,332;8,184;2,962;45,810;12,717
    40 - 54;78,874;16,023;54,494;12,867;13,219;3,543;-;31,216;5,012
    55 - 64;79,305;17,172;45,193;13,982;36,702;14,726;1,439;42,675;2,521
    65 and above;95,011;8,981;16,796;4,027;5,440;2,192;-;91,592;2,522
Sex ;;;;;;;;;
    Male;131,886;20,651;106,307;11,060;38,722;2,505;-;79,423;10,576
    Female;163,435;32,928;110,438;21,955;19,266;16,522;3,280;103,008;6,541
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);130,015;5,954;88,272;6,425;14,458;7,062;2,226;84,875;11,419
    White alone, not Hispanic;83,684;13,237;44,812;15,403;21,201;14,836;1,439;56,642;2,648
    Black alone, not Hispanic;63,541;23,775;37,370;7,002;-;-;-;38,609;2,309
    Asian alone, not Hispanic;79,672;24,558;43,654;16,141;36,051;5,254;3,087;50,328;2,513
    Two or more races + Other races, not Hispanic;108,988;9,914;107,749;5,715;6,312;-;-;18,187;-
Education ;;;;;;;;;
    Less than high school;98,407;3,704;49,274;-;35,470;-;2,962;77,944;4,391
    High school or GED;85,036;-;64,678;-;4,412;15,730;-;61,283;2,487
    Some college/associate’s degree;118,958;24,706;100,163;14,134;12,936;2,315;-;66,434;12,282
    Bachelor’s degree or higher;75,655;27,355;74,075;21,180;21,862;5,819;1,439;37,670;2,712
Marital status ;;;;;;;;;
    Married;81,911;22,311;48,281;17,967;36,890;16,201;3,280;59,125;3,563
    Widowed;7,294;2,974;3,830;1,237;769;-;-;6,000;-
    Divorced/separated;91,871;8,592;46,424;5,350;13,129;-;-;78,783;-
    Never married;150,969;30,579;125,669;15,093;17,005;4,211;-;71,489;2,487
    Did not report;13,477;-;-;-;-;-;-;2,567;13,183
Presence of children under 18 years old ;;;;;;;;;
    Children in household;103,474;25,826;73,198;12,875;17,349;7,111;3,280;64,477;496
    No children;177,602;28,504;124,741;21,790;40,931;15,459;-;100,564;14,036
Health status ;;;;;;;;;
    Excellent;64,080;12,186;49,036;11,732;18,270;4,765;3,087;37,769;2,487
    Very good;139,067;26,996;110,013;9,981;7,911;15,719;-;65,358;2,411
    Good;116,168;12,637;66,451;17,172;37,528;2,324;-;77,571;-
    Fair;42,243;22,877;6,826;5,230;10,929;-;2,226;33,558;-
    Poor;20,436;-;17,517;5,661;3,582;-;-;11,066;-
    Did not report;53,364;6,921;36,841;4,171;4,079;3,166;1,439;35,252;13,378
Household income ;;;;;;;;;
    Less than $25,000;85,772;-;15,699;2,293;6,338;-;-;82,810;-
    $25,000 - $34,999;26,950;3,843;7,647;2,766;5,256;-;3,087;25,311;-
    $35,000 - $49,999;34,648;1,334;19,615;2,493;2,760;4,211;-;29,305;-
    $50,000 - $74,999;48,294;8,944;33,778;8,962;11,860;-;-;31,699;3,459
    $75,000 - $99,999;107,747;8,241;101,829;6,011;16,891;7,068;2,226;22,932;-
    $100,000 - $149,999;72,367;13,746;48,187;10,434;35,754;2,192;-;39,287;-
    $150,000 - $199,999;86,932;18,112;76,311;5,474;3,493;2,461;-;17,276;-
    $200,000 and above;50,349;11,519;39,090;16,200;11,575;14,384;-;20,528;-
    Did not report;76,023;22,398;58,102;3,563;5,545;3,166;1,439;43,421;13,378
