Employment Table 2. Employment Status and Sector of Employment, by Select Characteristics: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;;;;
Total Population 18 Years and Older;;;;;;;;;
Select characteristics;Total;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days;Employed in the last 7 days
;;Yes;Yes;Yes;Yes;Yes;Yes;No;Did not report
;;Government;Private company;Nonprofit organization;Self-employed;Family business;Did not report;;
;;;;;;;;;
Total;3,324,775;223,927;1,200,713;184,634;162,255;42,406;14,803;1,482,757;13,280
Age ;;;;;;;;;
    18 - 24;293,776;28,427;71,692;6,327;3,018;4,898;7,459;171,956;-
    25 - 39;1,218,951;71,796;531,604;75,529;65,198;16,773;2,696;448,246;7,109
    40 - 54;824,674;80,852;375,719;64,870;44,701;13,674;4,648;236,912;3,298
    55 - 64;481,087;37,501;203,512;33,265;30,415;5,287;-;169,583;1,524
    65 and above;506,287;5,351;18,187;4,643;18,922;1,774;-;456,061;1,348
Sex ;;;;;;;;;
    Male;1,680,894;93,544;712,624;52,455;107,019;6,106;2,275;699,570;7,300
    Female;1,643,881;130,383;488,089;132,179;55,235;36,300;12,527;783,187;5,980
Hispanic origin and Race ;;;;;;;;;
    Hispanic or Latino (may be of any race);355,833;19,199;131,746;12,493;12,190;15,510;1,380;161,574;1,740
    White alone, not Hispanic;2,150,117;155,751;793,808;146,690;103,781;21,682;12,207;907,371;8,825
    Black alone, not Hispanic;174,047;15,862;45,128;1,091;22,246;-;-;88,506;1,215
    Asian alone, not Hispanic;389,378;13,508;189,067;15,935;15,687;5,214;475;148,454;1,038
    Two or more races + Other races, not Hispanic;255,401;19,606;40,964;8,425;8,351;-;740;176,852;462
Education ;;;;;;;;;
    Less than high school;338,337;-;76,830;2,224;10,175;15,510;-;233,598;-
    High school or GED;792,565;36,511;217,351;49,971;37,320;4,109;7,459;438,266;1,578
    Some college/associate’s degree;926,372;43,356;340,964;41,904;37,630;16,814;3,774;434,281;7,650
    Bachelor’s degree or higher;1,267,501;144,059;565,569;90,535;77,130;5,973;3,570;376,612;4,052
Marital status ;;;;;;;;;
    Married;1,643,327;129,349;658,886;117,392;102,113;29,355;2,930;603,044;258
    Widowed;102,848;2,842;20,797;1,170;6,344;-;-;71,694;-
    Divorced/separated;405,698;36,419;120,766;15,394;10,545;1,455;1,215;217,683;2,221
    Never married;1,151,364;54,634;399,621;50,366;43,253;11,596;10,658;576,180;5,056
    Did not report;21,537;682;643;311;-;-;-;14,156;5,745
Presence of children under 18 years old ;;;;;;;;;
    Children in household;1,063,250;88,441;364,928;60,205;63,384;18,545;3,488;463,464;794
    No children;2,261,525;135,485;835,785;124,429;98,871;23,861;11,315;1,019,293;12,486
Health status ;;;;;;;;;
    Excellent;797,722;41,853;341,436;52,319;81,908;9,362;10,517;258,946;1,380
    Very good;1,135,666;119,753;445,085;37,325;37,107;19,496;1,436;474,464;1,001
    Good;667,151;31,262;259,284;36,587;19,457;6,604;2,850;309,529;1,578
    Fair;316,769;10,172;55,738;44,050;9,155;543;-;197,111;-
    Poor;44,830;-;9,390;-;330;682;-;34,427;-
    Did not report;362,637;20,887;89,781;14,353;14,297;5,719;-;208,279;9,321
Household income ;;;;;;;;;
    Less than $25,000;314,656;7,550;40,572;654;7,750;10,039;-;246,513;1,578
    $25,000 - $34,999;251,483;12,118;57,602;1,787;6,208;-;7,459;166,309;-
    $35,000 - $49,999;181,095;4,805;32,135;12,259;17,564;7,109;740;106,483;-
    $50,000 - $74,999;359,167;32,351;109,226;29,384;41,345;-;2,109;143,536;1,215
    $75,000 - $99,999;430,408;11,443;157,911;23,404;21,181;1,172;344;213,952;1,001
    $100,000 - $149,999;575,910;62,130;281,394;52,155;24,792;7,458;641;147,176;166
    $150,000 - $199,999;240,851;31,982;130,695;16,508;11,790;9,847;204;39,826;-
    $200,000 and above;472,623;33,723;255,128;28,310;15,505;1,062;3,305;135,589;-
    Did not report;498,582;27,825;136,050;20,174;16,119;5,719;-;283,373;9,321
