Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 2.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Total;5,303,140;487,017;589,054;1,598,866;847,777;580,240;790,093;410,094
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;108,701;-;-;61,249;33,519;-;3,861;10,072
    I did not work because I am/was sick with coronavirus symptoms;116,040;-;-;86,055;29,985;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;106,227;-;-;71,144;-;24,899;10,185;-
    I did not work because I am/was caring for children not in school or daycare;372,535;126,229;-;132,930;33,424;9,415;8,464;62,073
    I did not work because I am/was caring for an elderly person;106,344;95,043;-;-;-;5,078;-;6,223
    I am/was sick (not coronavirus related) or disabled;147,370;62,539;13,238;13,830;12,009;20,649;19,234;5,871
    I am retired;1,034,721;-;94,774;238,242;204,289;135,878;225,772;135,768
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);942,478;24,810;-;507,200;140,972;101,428;124,550;43,517
    I am/was laid off due to coronavirus pandemic;700,602;-;315,572;176,053;8,364;34,302;105,839;60,472
    My employment closed temporarily due to the coronavirus pandemic;1,099,738;178,396;116,947;183,479;187,136;210,149;193,030;30,601
    My employment went out of business due to the coronavirus pandemic;127,668;-;40,927;29,204;41,954;3,963;-;11,620
    Other reason;440,714;-;7,596;99,481;156,124;34,478;99,158;43,876
    Did not report reason;-;-;-;-;-;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;163,999;-;-;-;96,852;51,908;4,779;10,460
    Yes, I received full pay but do not have to take leave;132,590;-;-;3,609;30,091;51,793;8,872;38,225
    Yes, I received partial pay;219,910;-;-;60,302;98,890;36,222;24,497;-
    No, I received no pay;4,623,581;487,017;575,816;1,449,037;614,181;420,532;743,357;333,641
    Did not report;163,060;-;13,238;85,918;7,762;19,786;8,587;27,768
