Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;124,574;-;36,684;25,714;35,278;18,014;8,883;-
    I did not work because I am/was sick with coronavirus symptoms;4,755;-;-;-;2,604;908;-;1,243
    I did not work because I am/was caring for someone with coronavirus symptoms;1,033;-;-;-;-;-;1,033;-
    I did not work because I am/was caring for children not in school or daycare;104,659;19,143;4,955;23,402;29,311;16,055;9,978;1,816
    I did not work because I am/was caring for an elderly person;142,759;-;132,989;2,614;5,460;-;565;1,131
    I am/was sick (not coronavirus related) or disabled;75,819;-;-;44,513;21,698;1,757;7,851;-
    I am retired;749,999;183,114;110,492;140,635;158,006;30,618;59,040;68,095
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);408,560;-;56,976;193,893;107,424;12,729;23,912;13,627
    I am/was laid off due to coronavirus pandemic;301,483;-;56,666;89,505;94,926;29,934;9,073;21,379
    My employment closed temporarily due to the coronavirus pandemic;370,827;15,336;114,257;72,346;103,866;7,935;42,676;14,412
    My employment went out of business due to the coronavirus pandemic;26,107;-;-;11,895;3,253;-;10,959;-
    Other reason;299,666;-;91,303;95,026;77,981;10,644;9,400;15,312
    Did not report reason;17,018;-;-;14,433;-;-;2,586;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;19,146;-;-;-;3,817;-;-;15,329
    Yes, I received full pay but do not have to take leave;179,052;19,143;43,412;64,337;33,931;-;11,851;6,378
    Yes, I received partial pay;54,860;-;-;16,818;26,135;2,665;4,944;4,298
    No, I received no pay;2,148,455;104,764;527,541;590,377;551,205;116,566;159,974;98,027
    Did not report;225,746;93,686;33,368;42,444;24,717;9,363;9,185;12,983
