Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: San Francisco-Oakland-Berkeley, CA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 3.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;287,000;-;26,475;127,378;101,082;3,808;14,945;13,312
    I did not work because I am/was sick with coronavirus symptoms;2,960;-;2,783;-;177;-;-;-
    I did not work because I am/was caring for someone with coronavirus symptoms;244;-;-;-;-;-;123;121
    I did not work because I am/was caring for children not in school or daycare;49,412;1,343;1,432;21,665;9,379;4,955;3,146;7,492
    I did not work because I am/was caring for an elderly person;20,932;-;-;1,548;14,129;1,240;4,015;-
    I am/was sick (not coronavirus related) or disabled;30,712;-;-;4,649;19,601;3,767;1,593;1,103
    I am retired;795,623;17,241;1,001;279,611;110,742;132,955;128,940;125,132
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);212,546;11,816;12,738;26,007;87,340;6,942;52,264;15,438
    I am/was laid off due to coronavirus pandemic;237,212;4,809;83,931;22,293;60,001;25,440;28,280;12,457
    My employment closed temporarily due to the coronavirus pandemic;378,388;74,917;16,843;123,486;64,541;25,629;38,060;34,912
    My employment went out of business due to the coronavirus pandemic;24,127;-;18,431;-;4,348;147;1,201;-
    Other reason;280,749;104,829;35,082;12,515;14,508;9,412;86,818;17,586
    Did not report reason;25,055;3,996;-;-;1,085;-;19,890;83
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;32,374;1,267;1,432;17,632;1,580;137;5,755;4,571
    Yes, I received full pay but do not have to take leave;108,380;919;-;1,202;39,329;2,271;39,336;25,324
    Yes, I received partial pay;60,066;-;-;4,279;21,424;6,278;21,374;6,711
    No, I received no pay;2,088,903;212,769;190,402;585,364;410,658;196,974;306,148;186,589
    Did not report;55,236;3,996;6,882;10,676;13,941;8,635;6,663;4,442
