Employment Table 3. Educational Attainment for Adults Not Working at Time of Survey, by Main Reason for Not Working and Paycheck Status While Not Working: Seattle-Tacoma-Bellevue, WA Metro Area;;;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 1.;;;;;;;;
Total Population 18 Years and Older Not Working at Time of Survey;;;;;;;;
Select characteristics;Total;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey;Education of adults not working at time of survey
;;Less than high school;Some high school;High school or equivalent;Some college, but degree not received or is in progress;Associate’s degree;Bachelor’s degree;Graduate degree
;;;;;;;;
Reason for not working ;;;;;;;;
    I did not want to be employed at this time;70,676;-;5,131;5,940;35,810;2,505;17,604;3,687
    I did not work because I am/was sick with coronavirus symptoms;1,241;-;-;-;876;-;365;-
    I did not work because I am/was caring for someone with coronavirus symptoms;1,441;-;-;-;-;-;569;872
    I did not work because I am/was caring for children not in school or daycare;53,647;-;10,828;7,455;18,754;5,746;7,780;3,084
    I did not work because I am/was caring for an elderly person;14,652;-;8,940;-;3,015;-;-;2,698
    I am/was sick (not coronavirus related) or disabled;31,930;-;-;8,323;13,401;3,665;1,201;5,341
    I am retired;465,176;-;-;177,135;106,930;35,058;70,801;75,251
    I did not have work due to coronavirus pandemic related reduction in business (including furlough);152,574;3,649;4,817;39,282;34,188;12,422;38,258;19,959
    I am/was laid off due to coronavirus pandemic;98,224;7,793;9,913;16,078;27,319;20,801;10,629;5,691
    My employment closed temporarily due to the coronavirus pandemic;289,311;-;44,447;128,158;49,071;23,121;32,830;11,685
    My employment went out of business due to the coronavirus pandemic;16,166;-;-;2,016;5,213;-;6,348;2,589
    Other reason;160,101;2,169;-;55,035;55,530;13,206;18,656;15,505
    Did not report reason;1,117;-;-;-;1,117;-;-;-
Receiving pay during time not working ;;;;;;;;
    Yes, I used paid leave;55,439;-;34,654;3,220;6,421;3,787;3,783;3,574
    Yes, I received full pay but do not have to take leave;59,048;-;-;24,808;25,763;2,675;3,887;1,915
    Yes, I received partial pay;51,619;937;9,913;16,986;10,370;2,756;7,702;2,954
    No, I received no pay;1,147,218;12,674;39,508;386,849;295,680;101,527;180,721;130,259
    Did not report;42,931;-;-;7,558;12,988;5,779;8,946;7,660
