Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Los Angeles-Long Beach-Anaheim, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 5.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;3,631,814;5,544,103;1,841,989;2,517,455;6,666,910;1,833,542
Age ;;;;;;
    18 - 29;485,974;1,184,396;744,678;333,552;1,336,818;744,678
    30 - 39;626,822;1,186,140;254,162;438,612;1,379,261;249,252
    40 - 49;513,827;1,085,918;172,270;451,219;1,147,360;173,435
    50 - 59;813,787;863,988;288,028;524,407;1,155,660;285,735
    60 - 69;604,627;710,014;196,281;469,760;844,881;196,281
    70 - 79;517,929;426,238;169,412;255,537;691,040;167,002
    80 and above;68,848;87,410;17,159;44,368;111,890;17,159
Sex ;;;;;;
    Male;1,707,984;3,003,315;1,084,538;1,204,190;3,505,802;1,085,846
    Female;1,923,830;2,540,788;757,452;1,313,266;3,161,108;747,696
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);1,216,412;2,354,806;776,360;741,274;2,833,539;772,765
    White alone, not Hispanic;1,385,448;1,791,892;470,714;1,025,921;2,150,110;472,023
    Black alone, not Hispanic;169,740;329,294;83,721;178,040;323,286;81,429
    Asian alone, not Hispanic;693,817;871,287;371,647;429,127;1,139,845;367,778
    Two or more races + Other races, not Hispanic;166,398;196,824;139,547;143,093;220,128;139,547
Education ;;;;;;
    Less than high school;655,529;1,027,809;308,735;264,999;1,423,250;303,824
    High school or GED;485,274;876,357;659,320;346,112;1,014,204;660,635
    Some college/associate’s degree;1,128,716;1,700,252;601,526;952,325;1,878,935;599,233
    Bachelor’s degree or higher;1,362,295;1,939,685;272,409;954,019;2,350,520;269,849
Marital status ;;;;;;
    Married;1,752,343;2,635,107;636,054;1,395,703;2,996,444;631,356
    Widowed;177,707;150,958;63,590;173,354;155,311;63,590
    Divorced/separated;504,559;676,875;240,546;288,116;895,611;238,253
    Never married;1,192,255;2,077,105;871,968;658,164;2,611,197;871,968
    Did not report;4,949;4,058;29,833;2,119;8,346;28,375
Presence of children under 18 years old ;;;;;;
    Children in household;1,266,679;2,114,804;842,031;846,702;2,537,069;839,744
    No children;2,365,135;3,429,299;999,959;1,670,753;4,129,841;993,798
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;1,884,933;3,176,508;964,473;1,429,965;3,637,364;958,585
    No;1,746,207;2,366,390;858,100;1,086,817;3,026,882;856,998
    Did not report;674;1,205;19,417;674;2,663;17,959
Respondent currently employed ;;;;;;
    Yes;1,844,035;2,527,159;699,992;1,375,349;2,994,530;701,306
    No;1,787,779;3,016,944;1,120,566;1,142,107;3,670,921;1,112,262
    Did not report;-;-;21,432;-;1,458;19,973
Household income ;;;;;;
    Less than $25,000;538,831;699,804;4,910;295,874;947,672;-
    $25,000 - $34,999;316,920;681,964;2,292;252,368;747,494;1,315
    $35,000 - $49,999;393,097;544,404;-;331,828;605,674;-
    $50,000 - $74,999;452,122;927,149;-;293,017;1,086,255;-
    $75,000 - $99,999;484,134;851,089;-;352,025;983,198;-
    $100,000 - $149,999;553,707;658,517;-;391,734;820,490;-
    $150,000 - $199,999;300,119;355,512;-;266,712;388,919;-
    $200,000 and above;282,295;627,409;-;219,397;688,998;1,308
    Did not report;310,588;198,255;1,834,787;114,501;398,210;1,830,919
