Health Table 1. COVID-19 Pandemic Related Problems with Access to Medical Care, in Last 4 weeks, by Select Characteristics: Riverside-San Bernardino-Ontario, CA Metro Area;;;;;;
Source: U.S. Census Bureau Household Pulse Survey, Week 4.;;;;;;
Total Population 18 Years and Older;;;;;;
Select characteristics;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…;In the last four weeks did you…
;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Delayed getting medical care because of COVID-19 pandemic;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it;Needed medical care for something unrelated to COVID-19, but did not get it
;Yes;No;Did not report;Yes;No;Did not report
;;;;;;
Total;1,170,761;2,034,775;1,055,155;1,100,371;2,114,693;1,045,627
Age ;;;;;;
    18 - 29;154,452;285,595;267,220;112,137;334,300;260,830
    30 - 39;210,452;541,213;84,626;245,820;504,314;86,156
    40 - 49;177,587;433,446;89,583;129,875;481,158;89,583
    50 - 59;273,977;284,453;101,908;274,203;284,448;101,687
    60 - 69;222,811;284,683;136,220;217,999;289,856;135,858
    70 - 79;100,870;171,612;369,008;92,507;184,060;364,923
    80 and above;30,612;33,773;6,589;27,830;36,556;6,589
Sex ;;;;;;
    Male;507,338;1,180,302;703,586;503,219;1,194,896;693,111
    Female;663,424;854,474;351,568;597,153;919,798;352,516
Hispanic origin and Race ;;;;;;
    Hispanic or Latino (may be of any race);437,316;842,617;619,538;421,209;857,764;620,498
    White alone, not Hispanic;472,431;648,266;204,350;475,891;651,508;197,649
    Black alone, not Hispanic;82,585;259,496;83,283;72,888;272,979;79,497
    Asian alone, not Hispanic;57,736;168,423;127,663;51,969;174,189;127,663
    Two or more races + Other races, not Hispanic;120,693;115,973;20,320;78,413;158,253;20,320
Education ;;;;;;
    Less than high school;207,616;399,025;456,034;209,461;397,180;456,034
    High school or GED;271,793;475,309;189,395;297,057;450,045;189,395
    Some college/associate’s degree;421,861;694,290;223,192;380,360;745,369;213,613
    Bachelor’s degree or higher;269,492;466,151;186,534;213,493;522,099;186,584
Marital status ;;;;;;
    Married;604,572;1,039,399;619,680;505,731;1,136,969;620,950
    Widowed;72,480;56,837;35,843;72,824;57,115;35,221
    Divorced/separated;228,086;319,454;87,398;254,480;296,625;83,833
    Never married;265,309;611,445;305,939;267,020;616,345;299,328
    Did not report;316;7,640;6,295;316;7,640;6,295
Presence of children under 18 years old ;;;;;;
    Children in household;431,799;967,329;314,209;403,378;1,000,610;309,349
    No children;738,962;1,067,447;740,946;696,993;1,114,084;736,278
Respondent or household member experienced loss of employment income ;;;;;;
    Yes;785,779;1,012,018;781,738;708,620;1,092,743;778,172
    No;384,982;1,022,757;267,315;391,752;1,021,690;261,612
    Did not report;-;-;6,102;-;260;5,842
Respondent currently employed ;;;;;;
    Yes;538,990;1,104,964;587,450;500,406;1,150,109;580,889
    No;631,771;929,811;452,810;599,965;964,584;449,843
    Did not report;-;-;14,895;-;-;14,895
Household income ;;;;;;
    Less than $25,000;209,153;334,619;-;160,277;383,495;-
    $25,000 - $34,999;137,182;312,842;260;169,378;280,906;-
    $35,000 - $49,999;129,044;179,363;-;128,736;179,671;-
    $50,000 - $74,999;180,460;259,195;4,046;172,693;270,437;570
    $75,000 - $99,999;166,674;349,764;-;183,257;332,220;960
    $100,000 - $149,999;188,213;233,119;-;135,292;286,040;-
    $150,000 - $199,999;88,175;197,310;-;82,870;202,615;-
    $200,000 and above;30,402;80,890;362;26,378;85,275;-
    Did not report;41,459;87,673;1,050,487;41,489;94,033;1,044,097
